# Sample orbit input file for use with the CmdLineAe9Ap9 application. 
# Any lines starting with a '#' are considered comments, and therefore ignored. 
# 
# Data lines in this file consist of a time value and three coordinate values.
# By default, they are expected to be coma-separated values (CSV) format, 
# with the date/time in Modified Julian Date, followed by the x,y,z coordinates
# in the GEI coordinate system, in units of Earth-radii
#
#  Other time forms, coordinate system/units/ordering and data delimiters 
#  are also supported for ephemeris file input when these parameters are also
#  specified in the model run input file:
# InTimeSpec    Form of time specification
#             *MJD, YrDDDFrac, YrDDDGmt, YrMoDaGmt, YrMoDaHrMnSc
# InCoordSys    Coordinate system of position values (Irbemlib names)
#             GEO,GEI,GDZ,GSM,GSE,SM,MAG,SPH,RLL
#              GEO - geographic cartesian (RE), 
#             *GEI - geocentric equatorial inertial (RE), sometimes called "ECI"
#              GDZ - geodetic (altitude Km, lat deg, lon deg), 
#              GSM - geocentric solar magnetospheric (RE),
#              GSE - geocentric solar ecliptic (RE) ,
#              SM  - solar magnetic (RE),
#              MAG - magnetic (RE), 
#              SPH - spherical (radius RE, colat deg, phi deg),
#              RLL - spherical (radius RE, lat deg, lon deg)
#             ( 1 RE is defined as 6371.2 km )
# InCoordUnits  Coordinate system position units (RE or km)
# InCoordOrder  Ordering of non-Cartesian coordinate values (Standard or Inverted)
#               *Standard='Dist,Lat,Lon', Inverted='Lat,Lon,Dist'
# InDataDelim   Data delimiter character (*comma, space, tab)
#
# All available keywords and their associated values are fully described in the
#  "AE9/AP9/SPM Radiation Environment Model User's Guide" document.
#
#-------------------------------------------------------------------
# To use this particular file as ephemeris input, the time format specification
# parameter would required to be set: "InTimeSpec: YrDDDGmt"
# (all other format specifications are at their default settings)
#-------------------------------------------------------------------
#
# Time format:              Year, day_of_year, GMT_seconds_of_day
# Coordinate system:        GEI (Geocentric Equatorial Inertial) cartesian in earth radii
# Data Delimiter:           comma
#
# datetime(year,ddd,gmtsec),posx(Re),posy(Re),posz(Re)
2010,19,8880.0,1.19634544,0.58337552,0.34701193
2010,19,9000.0,1.13224687,0.68642947,0.40598305
2010,19,9120.0,1.05869501,0.78375883,0.46156482
2010,19,9240.0,0.97650712,0.87470250,0.51338194
2010,19,9360.0,0.88655675,0.95870173,0.56111880
2010,19,9480.0,0.78975402,1.03530100,0.60451974
2010,19,9600.0,0.68702722,1.10414580,0.64338769
2010,19,9720.0,0.57930660,1.16497804,0.67758135
2010,19,9840.0,0.46751034,1.21762963,0.70701138
2010,19,9960.0,0.35253308,1.26201489,0.73163585
2010,19,10080.0,0.23523682,1.29812216,0.75145539
2010,19,10200.0,0.11644411,1.32600518,0.76650815
2010,19,10320.0,-0.00306670,1.34577462,0.77686479
2010,19,10440.0,-0.12256452,1.35758990,0.78262378
2010,19,10560.0,-0.24136703,1.36165155,0.78390699
2010,19,10680.0,-0.35884098,1.35819425,0.78085560
2010,19,10800.0,-0.47440164,1.34748061,0.77362655
2010,19,10920.0,-0.58751140,1.32979564,0.76238936
2010,19,11040.0,-0.69767800,1.30544193,0.74732332
2010,19,11160.0,-0.80445229,1.27473556,0.72861519
2010,19,11280.0,-0.90742583,1.23800259,0.70645715
2010,19,11400.0,-1.00622840,1.19557619,0.68104519
2010,19,11520.0,-1.10052545,1.14779415,0.65257767
2010,19,11640.0,-1.19001563,1.09499702,0.62125428
2010,19,11760.0,-1.27442835,1.03752652,0.58727511
2010,19,11880.0,-1.35352153,0.97572429,0.55084001
2010,19,12000.0,-1.42707943,0.90993103,0.51214804
2010,19,12120.0,-1.49491071,0.84048580,0.47139712
2010,19,12240.0,-1.55684658,0.76772557,0.42878374
2010,19,12360.0,-1.61273917,0.69198491,0.38450290
2010,19,12480.0,-1.66246007,0.61359591,0.33874792
2010,19,12600.0,-1.70589899,0.53288815,0.29171056
2010,19,12720.0,-1.74296266,0.45018877,0.24358103
2010,19,12840.0,-1.77357380,0.36582268,0.19454808
2010,19,12960.0,-1.79767033,0.28011281,0.14479920
2010,19,13080.0,-1.81520465,0.19338035,0.09452074
2010,19,13200.0,-1.82614318,0.10594517,0.04389816
2010,19,13320.0,-1.83046589,0.01812612,-0.00688379
2010,19,13440.0,-1.82816609,-0.06975857,-0.05764085
2010,19,13560.0,-1.81925034,-0.15739087,-0.10818899
2010,19,13680.0,-1.80373844,-0.24445257,-0.15834423
2010,19,13800.0,-1.78166362,-0.33062488,-0.20792235
2010,19,13920.0,-1.75307283,-0.41558806,-0.25673875
2010,19,14040.0,-1.71802721,-0.49902108,-0.30460820
2010,19,14160.0,-1.67660264,-0.58060125,-0.35134468
2010,19,14280.0,-1.62889051,-0.66000403,-0.39676124
2010,19,14400.0,-1.57499859,-0.73690273,-0.44066990
2010,19,14520.0,-1.51505205,-0.81096844,-0.48288152
2010,19,14640.0,-1.44919471,-0.88186995,-0.52320588
2010,19,14760.0,-1.37759035,-0.94927383,-0.56145165
2010,19,14880.0,-1.30042426,-1.01284458,-0.59742656
2010,19,15000.0,-1.21790493,-1.07224507,-0.63093761
2010,19,15120.0,-1.13026589,-1.12713699,-0.66179144
2010,19,15240.0,-1.03776773,-1.17718170,-0.68979475
2010,19,15360.0,-0.94070028,-1.22204123,-0.71475496
2010,19,15480.0,-0.83938487,-1.26137964,-0.73648099
2010,19,15600.0,-0.73417674,-1.29486473,-0.75478429
2010,19,15720.0,-0.62546746,-1.32217016,-0.76948012
2010,19,15840.0,-0.51368746,-1.34297806,-0.78038901
2010,19,15960.0,-0.39930836,-1.35698212,-0.78733867
2010,19,16080.0,-0.28284526,-1.36389139,-0.79016612
2010,19,16200.0,-0.16485870,-1.36343454,-0.78872025
2010,19,16320.0,-0.04595620,-1.35536498,-0.78286472
2010,19,16440.0,0.07320676,-1.33946664,-0.77248140
2010,19,16560.0,0.19192662,-1.31556040,-0.75747401
2010,19,16680.0,0.30945259,-1.28351134,-0.73777234
2010,19,16800.0,0.42498891,-1.24323646,-0.71333672
2010,19,16920.0,0.53769859,-1.19471301,-0.68416270
2010,19,17040.0,0.64670910,-1.13798695,-0.65028601
2010,19,17160.0,0.75112013,-1.07318145,-0.61178726
2010,19,17280.0,0.85001368,-1.00050492,-0.56879657
2010,19,17400.0,0.94246662,-0.92025815,-0.52149753
2010,19,17520.0,1.02756555,-0.83284000,-0.47013032
2010,19,17640.0,1.10442392,-0.73875107,-0.41499368
2010,19,17760.0,1.17220099,-0.63859469,-0.35644524
2010,19,17880.0,1.23012183,-0.53307478,-0.29490012
2010,19,18000.0,1.27749773,-0.42299012,-0.23082734
2010,19,18120.0,1.31374584,-0.30922482,-0.16474416
2010,19,18240.0,1.33840701,-0.19273502,-0.09720819
2010,19,18360.0,1.35116058,-0.07453223,-0.02880754
2010,19,18480.0,1.35183526,0.04433618,0.03985047
2010,19,18600.0,1.34041508,0.16280833,0.10815180
2010,19,18720.0,1.31704023,0.27982991,0.17548844
2010,19,18840.0,1.28200243,0.39437602,0.24127096
2010,19,18960.0,1.23573542,0.50547135,0.30494012
2010,19,19080.0,1.17880109,0.61220793,0.36597694
2010,19,19200.0,1.11187234,0.71375966,0.42391098
2010,19,19320.0,1.03571368,0.80939312,0.47832632
2010,19,19440.0,0.95116081,0.89847458,0.52886543
2010,19,19560.0,0.85910020,0.98047327,0.57523087
2010,19,19680.0,0.76044964,1.05496140,0.61718504
2010,19,19800.0,0.65614037,1.12161121,0.65454834
2010,19,19920.0,0.54710144,1.18018986,0.68719604
2010,19,20040.0,0.43424636,1.23055263,0.71505418
2010,19,20160.0,0.31846226,1.27263502,0.73809492
2010,19,20280.0,0.20060146,1.30644432,0.75633156
2010,19,20400.0,0.08147520,1.33205093,0.76981348
2010,19,20520.0,-0.03815060,1.34957997,0.77862122
2010,19,20640.0,-0.15755791,1.35920318,0.78286179
2010,19,20760.0,-0.27607779,1.36113150,0.78266436
2010,19,20880.0,-0.39309042,1.35560828,0.77817631
2010,19,21000.0,-0.50802425,1.34290322,0.76955978
2010,19,21120.0,-0.62035451,1.32330704,0.75698857
2010,19,21240.0,-0.72960127,1.29712685,0.74064550
2010,19,21360.0,-0.83532715,1.26468224,0.72072016
2010,19,21480.0,-0.93713487,1.22630193,0.69740702
2010,19,21600.0,-1.03466471,1.18232098,0.67090381
2010,19,21720.0,-1.12759201,1.13307854,0.64141027
2010,19,21840.0,-1.21562465,1.07891600,0.60912710
2010,19,21960.0,-1.29850068,1.02017552,0.57425514
2010,19,22080.0,-1.37598610,0.95719892,0.53699473
2010,19,22200.0,-1.44787272,0.89032682,0.49754525
2010,19,22320.0,-1.51397623,0.81989804,0.45610480
2010,19,22440.0,-1.57413445,0.74624917,0.41286996
2010,19,22560.0,-1.62820571,0.66971437,0.36803567
2010,19,22680.0,-1.67606742,0.59062524,0.32179520
2010,19,22800.0,-1.71761480,0.50931086,0.27434019
2010,19,22920.0,-1.75275981,0.42609792,0.22586068
2010,19,23040.0,-1.78143018,0.34131090,0.17654530
2010,19,23160.0,-1.80356861,0.25527232,0.12658135
2010,19,23280.0,-1.81913217,0.16830309,0.07615507
2010,19,23400.0,-1.82809178,0.08072281,0.02545176
2010,19,23520.0,-1.83043187,-0.00714984,-0.02534394
2010,19,23640.0,-1.82615014,-0.09499669,-0.07604786
2010,19,23760.0,-1.81525756,-0.18249971,-0.12647605
2010,19,23880.0,-1.79777833,-0.26934061,-0.17644458
2010,19,24000.0,-1.77375019,-0.35520043,-0.22576928
2010,19,24120.0,-1.74322469,-0.43975917,-0.27426555
2010,19,24240.0,-1.70626769,-0.52269550,-0.32174820
2010,19,24360.0,-1.66295999,-0.60368636,-0.36803123
2010,19,24480.0,-1.61339813,-0.68240679,-0.41292773
2010,19,24600.0,-1.55769527,-0.75852969,-0.45624975
2010,19,24720.0,-1.49598229,-0.83172572,-0.49780830
2010,19,24840.0,-1.42840905,-0.90166327,-0.53741328
2010,19,24960.0,-1.35514575,-0.96800858,-0.57487363
2010,19,25080.0,-1.27638454,-1.03042594,-0.60999744
2010,19,25200.0,-1.19234124,-1.08857812,-0.64259223
2010,19,25320.0,-1.10325720,-1.14212697,-0.67246531
2010,19,25440.0,-1.00940140,-1.19073427,-0.69942430
2010,19,25560.0,-0.91107262,-1.23406282,-0.72327780
2010,19,25680.0,-0.80860175,-1.27177792,-0.74383628
2010,19,25800.0,-0.70235419,-1.30354915,-0.76091312
2010,19,25920.0,-0.59273233,-1.32905263,-0.77432595
2010,19,26040.0,-0.48017798,-1.34797375,-0.78389829
2010,19,26160.0,-0.36517471,-1.36001046,-0.78946145
2010,19,26280.0,-0.24825007,-1.36487715,-0.79085681
2010,19,26400.0,-0.12997743,-1.36230916,-0.78793845
2010,19,26520.0,-0.01097738,-1.35206807,-0.78057626
2010,19,26640.0,0.10808153,-1.33394762,-0.76865931
2010,19,26760.0,0.22648287,-1.30778040,-0.75209976
2010,19,26880.0,0.34346359,-1.27344520,-0.73083709
2010,19,27000.0,0.45821665,-1.23087495,-0.70484263
2010,19,27120.0,0.56989523,-1.18006500,-0.67412433
2010,19,27240.0,0.67761900,-1.12108173,-0.63873164
2010,19,27360.0,0.78048249,-1.05407087,-0.59876019
2010,19,27480.0,0.87756581,-0.97926540,-0.55435625
2010,19,27600.0,0.96794782,-0.89699230,-0.50572047
2010,19,27720.0,1.05072169,-0.80767779,-0.45311068
2010,19,27840.0,1.12501252,-0.71185030,-0.39684340
2010,19,27960.0,1.18999659,-0.61014072,-0.33729373
2010,19,28080.0,1.24492160,-0.50327928,-0.27489333
2010,19,28200.0,1.28912695,-0.39208888,-0.21012621
2010,19,28320.0,1.32206299,-0.27747448,-0.14352248
2010,19,28440.0,1.34330815,-0.16040890,-0.07564981
2010,19,28560.0,1.35258272,-0.04191531,-0.00710321
2010,19,28680.0,1.34975846,0.07695282,0.06150674
2010,19,28800.0,1.33486325,0.19513347,0.12956647
2010,19,28920.0,1.30808033,0.31157810,0.19647219
2010,19,29040.0,1.26974240,0.42527322,0.26164225
2010,19,29160.0,1.22032077,0.53525999,0.32452835
2010,19,29280.0,1.16041052,0.64065118,0.38462517
2010,19,29400.0,1.09071262,0.74064473,0.44147795
2010,19,29520.0,1.01201413,0.83453358,0.49468796
2010,19,29640.0,0.92516764,0.92171162,0.54391564
2010,19,29760.0,0.83107106,1.00167612,0.58888179
2010,19,29880.0,0.73064847,1.07402680,0.62936676
2010,19,30000.0,0.62483285,1.13846233,0.66520824
2010,19,30120.0,0.51455102,1.19477466,0.69629775
2010,19,30240.0,0.40071092,1.24284187,0.72257639
2010,19,30360.0,0.28419150,1.28262009,0.74403003
2010,19,30480.0,0.16583484,1.31413491,0.76068422
2010,19,30600.0,0.04644051,1.33747282,0.77259920
2010,19,30720.0,-0.07323825,1.35277279,0.77986497
2010,19,30840.0,-0.19249665,1.36021837,0.78259672
2010,19,30960.0,-0.31067919,1.36003043,0.78093059
2010,19,31080.0,-0.42717944,1.35246054,0.77501984
2010,19,31200.0,-0.54143901,1.33778508,0.76503152
2010,19,31320.0,-0.65294585,1.31630014,0.75114346
2010,19,31440.0,-0.76123226,1.28831709,0.73354179
2010,19,31560.0,-0.86587246,1.25415877,0.71241875
2010,19,31680.0,-0.96648017,1.21415630,0.68797088
2010,19,31800.0,-1.06270604,1.16864652,0.66039755
2010,19,31920.0,-1.15423511,1.11796975,0.62989974
2010,19,32040.0,-1.24078435,1.06246811,0.59667905
2010,19,32160.0,-1.32210031,1.00248412,0.56093696
2010,19,32280.0,-1.39795692,0.93835969,0.52287425
2010,19,32400.0,-1.46815340,0.87043531,0.48269055
2010,19,32520.0,-1.53251237,0.79904950,0.44058408
2010,19,32640.0,-1.59087813,0.72453848,0.39675143
2010,19,32760.0,-1.64311512,0.64723592,0.35138749
2010,19,32880.0,-1.68910647,0.56747296,0.30468543
2010,19,33000.0,-1.72875286,0.48557819,0.25683671
2010,19,33120.0,-1.76197141,0.40187782,0.20803125
2010,19,33240.0,-1.78869477,0.31669590,0.15845747
2010,19,33360.0,-1.80887042,0.23035461,0.10830252
2010,19,33480.0,-1.82246003,0.14317452,0.05775246
2010,19,33600.0,-1.82943901,0.05547501,0.00699246
2010,19,33720.0,-1.82979622,-0.03242537,-0.04379297
2010,19,33840.0,-1.82353378,-0.12020853,-0.09441977
2010,19,33960.0,-1.81066702,-0.20755641,-0.14470407
2010,19,34080.0,-1.79122461,-0.29415061,-0.19446201
2010,19,34200.0,-1.76524879,-0.37967198,-0.24350947
2010,19,34320.0,-1.73279574,-0.46380029,-0.29166190
2010,19,34440.0,-1.69393609,-0.54621384,-0.33873413
2010,19,34560.0,-1.64875564,-0.62658923,-0.38454021
2010,19,34680.0,-1.59735612,-0.70460108,-0.42889328
2010,19,34800.0,-1.53985615,-0.77992187,-0.47160549
2010,19,34920.0,-1.47639241,-0.85222184,-0.51248797
2010,19,35040.0,-1.40712089,-0.92116901,-0.55135085
2010,19,35160.0,-1.33221833,-0.98642930,-0.58800336
2010,19,35280.0,-1.25188385,-1.04766684,-0.62225400
2010,19,35400.0,-1.16634072,-1.10454437,-0.65391087
2010,19,35520.0,-1.07583826,-1.15672398,-0.68278206
2010,19,35640.0,-0.98065397,-1.20386793,-0.70867619
2010,19,35760.0,-0.88109574,-1.24563995,-0.73140317
2010,19,35880.0,-0.77750415,-1.28170670,-0.75077511
2010,19,36000.0,-0.67025495,-1.31173971,-0.76660747
2010,19,36120.0,-0.55976145,-1.33541778,-0.77872046
2010,19,36240.0,-0.44647699,-1.35242982,-0.78694076
2010,19,36360.0,-0.33089724,-1.36247831,-0.79110351
2010,19,36480.0,-0.21356227,-1.36528332,-0.79105468
2010,19,36600.0,-0.09505833,-1.36058726,-0.78665388
2010,19,36720.0,0.02398093,-1.34816027,-0.77777745
2010,19,36840.0,0.14287393,-1.32780644,-0.76432205
2010,19,36960.0,0.26089156,-1.29937056,-0.74620863
2010,19,37080.0,0.37725878,-1.26274574,-0.72338671
2010,19,37200.0,0.49115761,-1.21788135,-0.69583904
2010,19,37320.0,0.60173197,-1.16479153,-0.66358633
2010,19,37440.0,0.70809442,-1.10356360,-0.62669209
2010,19,37560.0,0.80933516,-1.03436645,-0.58526733
2010,19,37680.0,0.90453344,-0.95745805,-0.53947471
2010,19,37800.0,0.99277136,-0.87319195,-0.48953210
2010,19,37920.0,1.07315002,-0.78202191,-0.43571504
2010,19,38040.0,1.14480757,-0.68450418,-0.37835776
2010,19,38160.0,1.20693888,-0.58129697,-0.31785259
2010,19,38280.0,1.25881581,-0.47315633,-0.25464729
2010,19,38400.0,1.29980730,-0.36092847,-0.18924029
2010,19,38520.0,1.32939820,-0.24553818,-0.12217374
2010,19,38640.0,1.34720550,-0.12797369,-0.05402451
2010,19,38760.0,1.35299117,-0.00926840,0.01460657
2010,19,38880.0,1.34667040,0.10951975,0.08310675
2010,19,39000.0,1.32831480,0.22733014,0.15086403
