# File: ../../samples/ephem_short.dat
#
# Ephemeris generated from specified elements
# Propagator: SGP4 (improved,WGS84)
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
55461.39583333,1.51806787,-0.30372621,-0.20359367
55461.39930556,1.55636433,-0.04993198,-0.02563230
55461.40277778,1.53770261,0.20568590,0.15326532
55461.40625000,1.46293369,0.45381155,0.32657450
55461.40972222,1.33550597,0.68563189,0.48813864
55461.41319444,1.16111759,0.89339154,0.63255617
55461.41666667,0.94718180,1.07079230,0.75545745
55461.42013889,0.70220886,1.21320326,0.85364841
55461.42361111,0.43520385,1.31769062,0.92512781
55461.42708333,0.15515212,1.38290703,0.96900670
55461.43055556,-0.12937206,1.40889252,0.98536648
55461.43402778,-0.41046870,1.39683572,0.97508995
55461.43750000,-0.68106292,1.34883281,0.93969140
55461.44097222,-0.93496853,1.26766793,0.88116227
55461.44444444,-1.16689049,1.15662700,0.80184061
55461.44791667,-1.37238949,1.01934837,0.70430648
55461.45138889,-1.54782668,0.85970833,0.59130202
55461.45486111,-1.69030168,0.68173706,0.46567279
55461.45833333,-1.79759278,0.48955943,0.33032657
55461.46180556,-1.86810489,0.28735501,0.18820553
55461.46527778,-1.90082883,0.07933219,0.04226825
55461.46875000,-1.89531360,-0.13028827,-0.10452173
55461.47222222,-1.85165296,-0.33728429,-0.24920374
55461.47569444,-1.77048634,-0.53744209,-0.38882685
55461.47916667,-1.65301425,-0.72656798,-0.52045834
55461.48263889,-1.50102759,-0.90050625,-0.64119662
55461.48611111,-1.31694951,-1.05516727,-0.74819136
55461.48958333,-1.10388790,-1.18657061,-0.83867417
55461.49305556,-0.86569435,-1.29090821,-0.91000349
55461.49652778,-0.60702366,-1.36463336,-0.95972751
55461.50000000,-0.33338408,-1.40458069,-0.98566869
55461.50347222,-0.05116448,-1.40812146,-0.98603294
55461.50694444,0.23238055,-1.37335512,-0.95954381
55461.51041667,0.50921124,-1.29933250,-0.90559830
55461.51388889,0.77067518,-1.18629673,-0.82443438
55461.51736111,1.00779525,-1.03591601,-0.71729187
55461.52083333,1.21168539,-0.85146851,-0.58653863
55461.52430556,1.37408424,-0.63792950,-0.43572744
55461.52777778,1.48796392,-0.40190988,-0.26954788
55461.53125000,1.54813638,-0.15141057,-0.09364928
55461.53472222,1.55175517,0.10460950,0.08566616
55461.53819444,1.49861248,0.35680920,0.26184943
55461.54166667,1.39116561,0.59610232,0.42855161
55461.54513889,1.23428642,0.81425481,0.58004050
55461.54861111,1.03478888,1.00435291,0.71152507
55461.55208333,0.80083091,1.16108984,0.81935170
55461.55555556,0.54129515,1.28086392,0.90106802
55461.55902778,0.26523317,1.36171791,0.95537599
55461.56250000,-0.01857688,1.40316875,0.98200901
55461.56597222,-0.30194317,1.40597926,0.98156942
55461.56944444,-0.57745281,1.37191431,0.95535601
55461.57291667,-0.83856656,1.30351058,0.90520183
55461.57638889,-1.07964231,1.20387621,0.83333353
55461.57986111,-1.29591201,1.07652665,0.74225644
55461.58333333,-1.48343218,0.92525677,0.63466523
55461.58680556,-1.63902319,0.75404525,0.51337735
55461.59027778,-1.76020753,0.56698617,0.38128543
55461.59375000,-1.84515410,0.36824201,0.24132474
55461.59722222,-1.89263254,0.16201272,0.09645177
55461.60069444,-1.90198016,-0.04748393,-0.05036941
55461.60416667,-1.87308264,-0.25602513,-0.19617601
55461.60763889,-1.80636920,-0.45939274,-0.33801346
55461.61111111,-1.70282223,-0.65338376,-0.47294297
55461.61458333,-1.56400108,-0.83382533,-0.59805237
55461.61805556,-1.39207904,-0.99659821,-0.71047305
55461.62152778,-1.18989190,-1.13767333,-0.80740615
55461.62500000,-0.96099474,-1.25316633,-0.88616142
55461.62847222,-0.70972202,-1.33941550,-0.94421261
55461.63194444,-0.44124271,-1.39308889,-0.97927304
55461.63541667,-0.16159836,-1.41132507,-0.98939482
55461.63888889,0.12229270,-1.39191040,-0.97309313
55461.64236111,0.40268705,-1.33349062,-0.92949407
55461.64583333,0.67114930,-1.23580698,-0.85849885
55461.64930556,0.91879197,-1.09993621,-0.76094959
55461.65277778,1.13664032,-0.92849990,-0.63877248
55461.65625000,1.31612222,-0.72579692,-0.49506556
55461.65972222,1.44965432,-0.49780663,-0.33409513
55461.66319444,1.53126038,-0.25201902,-0.16117045
55461.66666667,1.55712692,0.00292542,0.01761438
55461.67013889,1.52599154,0.25776231,0.19575342
