# Irene Model output file: ../../unitTests/Legacy/Ax8min_atEpoch_Intg.AP8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Min
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.90347222,-1.78577756,2.46686056,1.40829279,6.06487814e+12,3.72387788e+12,1.62459288e+12,7.57476107e+11,3.81970008e+11,2.00613982e+11,1.60136417e+10,1.46916222e+09,4.41803654e+08,2.00390978e+08,1.13775549e+08,4.42949096e+07,2.60792967e+07,1.54712899e+07,9.76715243e+06,8.32455445e+06,6.14057431e+06,4.60042817e+06,2.38500359e+06,1.26626991e+06,7.25611499e+05
53219.90416667,-1.79330048,2.43326877,1.41126083,6.06711459e+12,3.72506645e+12,1.62497302e+12,7.57589844e+11,3.82010937e+11,2.00628443e+11,1.60137945e+10,1.46916273e+09,4.41803654e+08,2.00390978e+08,1.13775549e+08,4.42949096e+07,2.60792967e+07,1.54712899e+07,9.76715243e+06,8.32455445e+06,6.14057431e+06,4.60042817e+06,2.38500359e+06,1.26626991e+06,7.25611499e+05
53219.90486111,-1.80055515,2.39931347,1.41401792,6.06931646e+12,3.72625496e+12,1.62535048e+12,7.57703186e+11,3.82052030e+11,2.00643035e+11,1.60139519e+10,1.46916328e+09,4.41803654e+08,2.00390978e+08,1.13775549e+08,4.42949096e+07,2.60792967e+07,1.54712899e+07,9.76715243e+06,8.32455445e+06,6.14057431e+06,4.60042817e+06,2.38500359e+06,1.26626991e+06,7.25611499e+05
53219.90555556,-1.80753610,2.36499309,1.41655983,6.07148249e+12,3.72744296e+12,1.62572495e+12,7.57816605e+11,3.82093257e+11,2.00657750e+11,1.60141138e+10,1.46916384e+09,4.41803654e+08,2.00390978e+08,1.13775549e+08,4.42949096e+07,2.60792967e+07,1.54712899e+07,9.76715243e+06,8.32455445e+06,6.14057431e+06,4.60042817e+06,2.38500359e+06,1.26626991e+06,7.25611499e+05
53219.90625000,-1.81423704,2.33030638,1.41888231,6.07361309e+12,3.72862992e+12,1.62609609e+12,7.57930476e+11,3.82134583e+11,2.00672575e+11,1.60142804e+10,1.46916444e+09,4.41803654e+08,2.00390978e+08,1.13775549e+08,4.42949096e+07,2.60792967e+07,1.54712899e+07,9.76715243e+06,8.32455445e+06,6.14057431e+06,4.60042817e+06,2.38500359e+06,1.26626991e+06,7.25611499e+05
53219.90694444,-1.82065168,2.29525207,1.42098082,6.07571769e+12,3.72981574e+12,1.62646368e+12,7.58044802e+11,3.82176007e+11,2.00687514e+11,1.60144519e+10,1.46916506e+09,4.41803654e+08,2.00390978e+08,1.13775549e+08,4.42949096e+07,2.60792967e+07,1.54712899e+07,9.76715243e+06,8.32455445e+06,6.14057431e+06,4.60042817e+06,2.38500359e+06,1.26626991e+06,7.25611499e+05
53219.90763889,-1.82677376,2.25982892,1.42285095,6.07780629e+12,3.73099981e+12,1.62682735e+12,7.58159494e+11,3.82217488e+11,2.00702553e+11,1.60146283e+10,1.46916571e+09,4.41803654e+08,2.00390978e+08,1.13775549e+08,4.42949096e+07,2.60792967e+07,1.54712899e+07,9.76715243e+06,8.32455445e+06,6.14057431e+06,4.60042817e+06,2.38500359e+06,1.26626991e+06,7.25611499e+05
53219.90833333,-1.83259637,2.22403550,1.42448785,6.07988447e+12,3.73218152e+12,1.62718669e+12,7.58274465e+11,3.82258984e+11,2.00717677e+11,1.60148097e+10,1.46916639e+09,4.41803654e+08,2.00390978e+08,1.13775549e+08,4.42949096e+07,2.60792967e+07,1.54712899e+07,9.76715243e+06,8.32455445e+06,6.14057431e+06,4.60042817e+06,2.38500359e+06,1.26626991e+06,7.25611499e+05
53219.90902778,-1.83811307,2.18787057,1.42588665,6.08195583e+12,3.73336076e+12,1.62754151e+12,7.58389710e+11,3.82300491e+11,2.00732890e+11,1.60149964e+10,1.46916711e+09,4.41803654e+08,2.00390978e+08,1.13775549e+08,4.42949096e+07,2.60792967e+07,1.54712899e+07,9.76715243e+06,8.32455445e+06,6.14057431e+06,4.60042817e+06,2.38500359e+06,1.26626991e+06,7.25611499e+05
53219.90972222,-1.84331649,2.15133303,1.42704263,6.08401945e+12,3.73453684e+12,1.62789141e+12,7.58505127e+11,3.82341964e+11,2.00748174e+11,1.60151883e+10,1.46916786e+09,4.41803654e+08,2.00390978e+08,1.13775549e+08,4.42949096e+07,2.60792967e+07,1.54712899e+07,9.76715243e+06,8.32455445e+06,6.14057431e+06,4.60042817e+06,2.38500359e+06,1.26626991e+06,7.25611499e+05
