# Legacy Model output file: ../../unitTests/Legacy/Ax8min_NatEpochSaa_Diff.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.00763889,1.55319249,1.61750188,-0.98263373,1.07320109e+08,6.74779531e+07,2.59471406e+07,7.31450830e+06,1.58197412e+06,8.83951050e+05,6.06120056e+05,2.22388382e+05,1.39993408e+05,5.26959038e+04,3.11759377e+04,2.09626408e+04,1.17323484e+04,5.23851395e+03,1.84079337e+03,4.51192737e+02,7.11095855e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,1.10852180e+08,6.97769219e+07,2.68811230e+07,7.60575830e+06,1.60261975e+06,9.51668518e+05,6.32854187e+05,2.31366180e+05,1.45387726e+05,5.59748802e+04,3.24840736e+04,2.18891582e+04,1.21352673e+04,5.41956282e+03,1.88168371e+03,4.59946513e+02,7.14852884e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,1.14296953e+08,7.20251094e+07,2.77990938e+07,7.89459863e+06,1.61947168e+06,1.02221930e+06,6.59594971e+05,2.40278854e+05,1.50718369e+05,5.93398247e+04,3.37868385e+04,2.28147507e+04,1.25296164e+04,5.59668207e+03,1.92005897e+03,4.68027830e+02,7.17424899e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,1.17621938e+08,7.41982969e+07,2.86880391e+07,8.17532227e+06,1.63428015e+06,1.09262256e+06,6.85686462e+05,2.48944458e+05,1.55889404e+05,6.26671524e+04,3.50551605e+04,2.37168865e+04,1.29108438e+04,5.76773930e+03,1.95673740e+03,4.75724578e+02,7.19899312e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,1.20857969e+08,7.63194609e+07,2.95600254e+07,8.45305762e+06,1.64552173e+06,1.16560754e+06,7.11718445e+05,2.57526947e+05,1.60988281e+05,6.60684357e+04,3.63151207e+04,2.46160011e+04,1.32831850e+04,5.93470478e+03,1.99106097e+03,4.82798398e+02,7.21331611e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,1.24045766e+08,7.84222656e+07,3.04465938e+07,8.73075879e+06,1.67492883e+06,1.22497290e+06,7.37507507e+05,2.66860626e+05,1.66013229e+05,6.94405823e+04,3.76362610e+04,2.54931698e+04,1.36523066e+04,6.09127283e+03,2.02065682e+03,4.88091946e+02,7.22950175e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,1.27309578e+08,8.05858438e+07,3.14068594e+07,9.00610059e+06,1.77733655e+06,1.22649231e+06,7.61321350e+05,2.78472382e+05,1.70842545e+05,7.22063370e+04,3.91172256e+04,2.62631664e+04,1.40303116e+04,6.22418547e+03,2.04514790e+03,4.90526974e+02,7.31182769e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,1.30478414e+08,8.26948516e+07,3.23529883e+07,9.27746094e+06,1.88221948e+06,1.22568237e+06,7.84833374e+05,2.90174164e+05,1.75571686e+05,7.49769363e+04,4.05981598e+04,2.70189323e+04,1.43986702e+04,6.35111856e+03,2.06684089e+03,4.92366880e+02,7.38792121e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,1.33624797e+08,8.48006328e+07,3.33133633e+07,9.55274805e+06,1.99456677e+06,1.22127112e+06,8.08745422e+05,3.02439819e+05,1.80323700e+05,7.78563766e+04,4.21336250e+04,2.77814789e+04,1.47662773e+04,6.47211599e+03,2.08585238e+03,4.93503273e+02,7.45523274e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,1.36687016e+08,8.68487734e+07,3.42461797e+07,9.81950977e+06,2.10369946e+06,1.21761462e+06,8.31899292e+05,3.14435638e+05,1.84908676e+05,8.06635437e+04,4.36147118e+04,2.85175514e+04,1.51209755e+04,6.59303665e+03,2.10548162e+03,4.94767487e+02,7.52182677e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,1.40038406e+08,8.90925781e+07,3.52714453e+07,1.01141904e+07,2.22520776e+06,1.21333765e+06,8.57510132e+05,3.27572052e+05,1.90009079e+05,8.37438278e+04,4.52667236e+04,2.93343620e+04,1.55145521e+04,6.72456694e+03,2.12593317e+03,4.95718598e+02,7.58388788e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,1.43698438e+08,9.15345938e+07,3.63800859e+07,1.04319365e+07,2.35412744e+06,1.21108667e+06,8.85082214e+05,3.41704407e+05,1.95507095e+05,8.70569077e+04,4.70274353e+04,3.02143497e+04,1.59400721e+04,6.86963558e+03,2.15169764e+03,4.98432279e+02,7.66865760e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,1.47248281e+08,9.39485703e+07,3.75316484e+07,1.07619678e+07,2.50903198e+06,1.19550110e+06,9.13944519e+05,3.57759857e+05,2.01055161e+05,9.07397385e+04,4.89731903e+04,3.11131268e+04,1.63603058e+04,6.99806309e+03,2.16508007e+03,4.97033417e+02,7.71891326e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,1.50721188e+08,9.62767812e+07,3.86033164e+07,1.10690703e+07,2.64009009e+06,1.19058423e+06,9.40650757e+05,3.71857941e+05,2.06324127e+05,9.40149078e+04,5.07071686e+04,3.19586639e+04,1.67652740e+04,7.13300467e+03,2.18753910e+03,4.98973697e+02,7.80436844e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,1.54195750e+08,9.86182969e+07,3.96981562e+07,1.13828076e+07,2.78048560e+06,1.18200073e+06,9.67998657e+05,3.86691772e+05,2.11658585e+05,9.74354477e+04,5.25127563e+04,3.28176041e+04,1.71723652e+04,7.26460743e+03,2.20718241e+03,5.00020087e+02,7.87749514e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01805556,1.47332072,2.28448440,-0.88639597,1.57555938e+08,1.00885477e+08,4.07609609e+07,1.16873721e+07,2.91832422e+06,1.17338550e+06,9.94553589e+05,4.01204071e+05,2.16826172e+05,1.00773361e+05,5.42720985e+04,3.36502495e+04,1.75661449e+04,7.39153814e+03,2.22620463e+03,5.01108527e+02,7.94415846e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01875000,1.46470178,2.32443150,-0.87796145,1.60868922e+08,1.03134492e+08,4.18351562e+07,1.19950469e+07,3.06500122e+06,1.16072925e+06,1.02145874e+06,4.16359955e+05,2.21993393e+05,1.04229912e+05,5.60888901e+04,3.44858932e+04,1.79565601e+04,7.51281929e+03,2.24177694e+03,5.01182556e+02,7.99413472e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01944444,1.45574413,2.36384103,-0.86932383,1.64089625e+08,1.05330031e+08,4.28956250e+07,1.22988613e+07,3.21465332e+06,1.14603369e+06,1.04806042e+06,4.31651123e+05,2.27060211e+05,1.07698067e+05,5.79066696e+04,3.53073997e+04,1.83373451e+04,7.62847757e+03,2.25525379e+03,5.00770688e+02,8.03604051e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02013889,1.44645844,2.40271786,-0.86049017,1.67249109e+08,1.07483133e+08,4.39361328e+07,1.25969180e+07,3.36205981e+06,1.13197205e+06,1.07416455e+06,4.46702637e+05,2.32028839e+05,1.11106750e+05,5.96912537e+04,3.61127777e+04,1.87105217e+04,7.74221706e+03,2.26908183e+03,5.00636041e+02,8.07896703e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02083333,1.43685460,2.44106636,-0.85146738,1.70341781e+08,1.09606312e+08,4.49835586e+07,1.28969062e+07,3.51845264e+06,1.11379004e+06,1.10050415e+06,4.62390564e+05,2.36971466e+05,1.14629372e+05,6.15287132e+04,3.69173470e+04,1.90781727e+04,7.84945345e+03,2.27933359e+03,4.99491036e+02,8.10828432e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02152778,1.42694265,2.47889157,-0.84226174,1.73402031e+08,1.11722656e+08,4.60477422e+07,1.32015430e+07,3.68509985e+06,1.09162769e+06,1.12733472e+06,4.78852936e+05,2.41934830e+05,1.18295403e+05,6.34345970e+04,3.77288551e+04,1.94440613e+04,7.95166683e+03,2.28648305e+03,4.97455746e+02,8.12560022e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02222222,1.41673201,2.51619773,-0.83287968,1.76344875e+08,1.13760781e+08,4.70765195e+07,1.34961162e+07,3.84811792e+06,1.06994250e+06,1.15327844e+06,4.94905396e+05,2.46722778e+05,1.21861153e+05,6.52848587e+04,3.85117683e+04,1.97961121e+04,8.04961205e+03,2.29342771e+03,4.95594531e+02,8.14208016e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02291667,1.40623164,2.55298955,-0.82332732,1.79247141e+08,1.15776211e+08,4.81042539e+07,1.37903076e+07,4.01505029e+06,1.04680273e+06,1.17922974e+06,5.11221466e+05,2.51477325e+05,1.25468582e+05,6.71521225e+04,3.92907639e+04,2.01439800e+04,8.14450359e+03,2.29923105e+03,4.93495822e+02,8.15400481e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02361111,1.39545046,2.58927141,-0.81361047,1.82062156e+08,1.17740562e+08,4.91188711e+07,1.40807148e+07,4.18487451e+06,1.02198456e+06,1.20488342e+06,5.27678345e+05,2.56134705e+05,1.29086899e+05,6.90194778e+04,4.00558891e+04,2.04826565e+04,8.23436069e+03,2.30336857e+03,4.91050780e+02,8.15955102e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02430556,1.38439666,2.62504771,-0.80373478,1.84868344e+08,1.19713094e+08,5.01577148e+07,1.43779492e+07,4.36625732e+06,9.93373352e+05,1.23120764e+06,5.45037598e+05,2.60849457e+05,1.32876556e+05,7.09678497e+04,4.08333397e+04,2.08221531e+04,8.32030773e+03,2.30487514e+03,4.87857580e+02,8.15478489e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
