# Irene Model output file: ../../unitTests/Legacy/CRRquiet_NatEpochSaa_Intg.CRRESPRO.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESPRO
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Quiet
# Energy levels (MeV):       1.5 2.1 2.5 2.9 3.6 4.3 5.7 6.8 8.5 9.7 10.7 13.2 16.9 19.4 26.3 30.9 36.3 41.1 47 55 65.7 81.3
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00694444,1.55451077,1.56830628,-0.98654759,8.48860208e+06,1.08688961e+06,3.85774973e+05,1.16733820e+05,3.10404982e+04,3.10404982e+04,2.34132727e+03,2.34132727e+03,8.26633467e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,9.41469447e+06,1.19839779e+06,4.26006265e+05,1.27660372e+05,3.35604849e+04,3.35604849e+04,2.62152834e+03,2.61813049e+03,9.10203732e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,1.04446589e+07,1.32266521e+06,4.70577301e+05,1.39770151e+05,3.64130168e+04,3.64130168e+04,2.93568163e+03,2.92548808e+03,9.95429746e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,1.13845603e+07,1.43428673e+06,5.10411650e+05,1.50774457e+05,3.89574512e+04,3.89574512e+04,3.21440196e+03,3.20029048e+03,1.06523572e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,1.22343985e+07,1.53326231e+06,5.45509300e+05,1.60673286e+05,4.11937873e+04,4.11937873e+04,3.45768926e+03,3.44253763e+03,1.11962163e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,1.32836051e+07,1.65433964e+06,5.88188396e+05,1.72347403e+05,4.39510141e+04,4.39510141e+04,3.73466557e+03,3.71614023e+03,1.17990921e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,1.45321800e+07,1.79751869e+06,6.38448925e+05,1.85796803e+05,4.72291310e+04,4.72291310e+04,4.04533082e+03,4.02109822e+03,1.24609842e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,1.57807550e+07,1.94069776e+06,6.88709461e+05,1.99246206e+05,5.05072483e+04,5.05072483e+04,4.35599611e+03,4.32605626e+03,1.31228764e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,1.69162826e+07,2.06934218e+06,7.32413830e+05,2.10399369e+05,5.29738403e+04,5.29738403e+04,4.61463720e+03,4.58184372e+03,1.37126077e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,1.79387629e+07,2.18345198e+06,7.69562038e+05,2.19256295e+05,5.46289076e+04,5.46289076e+04,4.82125414e+03,4.78846067e+03,1.42301782e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
