# Irene Model output file: ../../unitTests/Legacy/Ax8max_atEpoch_Diff.AE8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.00833333,1.55128673,1.66608598,-0.97834803,1.73964196e+11,1.20510426e+11,9.77487040e+10,1.48874429e+10,4.19421337e+09,1.84527633e+09,9.92818626e+08,4.54491425e+08,2.19314791e+08,1.16691617e+08,5.75221642e+07,2.84272283e+07,1.19266272e+07,3.85495604e+06,1.25791599e+06,3.13146430e+05,5.92105640e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,1.92388094e+11,1.33352936e+11,1.08276643e+11,1.65534102e+10,4.66853667e+09,2.05079923e+09,1.09819307e+09,5.08814533e+08,2.44286956e+08,1.30016973e+08,6.41629091e+07,3.16230920e+07,1.32115866e+07,4.24798563e+06,1.37680774e+06,3.42533196e+05,6.40407628e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,2.11283278e+11,1.46546716e+11,1.19111299e+11,1.83031186e+10,5.16197857e+09,2.26245770e+09,1.20596736e+09,5.66722310e+08,2.70088353e+08,1.44105168e+08,7.10463230e+07,3.49159709e+07,1.45312747e+07,4.65214806e+06,1.49756494e+06,3.72272919e+05,6.88383967e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,2.30630831e+11,1.60079623e+11,1.30243745e+11,2.01377863e+10,5.67450063e+09,2.48008644e+09,1.31599732e+09,6.28338010e+08,2.96704069e+08,1.58973322e+08,7.81699251e+07,3.83034897e+07,1.58845116e+07,5.06708989e+06,1.62002519e+06,4.02321849e+05,7.35967597e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,2.50413112e+11,1.73939337e+11,1.41663870e+11,2.20566481e+10,6.20573869e+09,2.70349129e+09,1.42816186e+09,6.93676610e+08,3.24111213e+08,1.74617901e+08,8.55279911e+07,4.17827221e+07,1.72701147e+07,5.49243137e+06,1.74409404e+06,4.32658502e+05,7.83170169e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,2.70608630e+11,1.88111915e+11,1.53360997e+11,2.40605057e+10,6.75555023e+09,2.93247306e+09,1.54230199e+09,7.62848376e+08,3.52290200e+08,1.91052445e+08,9.31167157e+07,4.53507619e+07,1.86867185e+07,5.92775834e+06,1.86960218e+06,4.63238342e+05,8.29928859e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,2.91199709e+11,2.02586420e+11,1.65327488e+11,2.61515784e+10,7.32406493e+09,3.16689330e+09,1.65827017e+09,8.36036652e+08,3.81231118e+08,2.08304423e+08,1.00935394e+08,4.90057281e+07,2.01332709e+07,6.37276213e+06,1.99638007e+06,4.94014548e+05,8.76160175e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,3.12204468e+11,2.17369165e+11,1.77548934e+11,2.83217941e+10,7.91070974e+09,3.40679838e+09,1.77680548e+09,9.12483606e+08,4.10903166e+08,2.26299818e+08,1.08970662e+08,5.27432072e+07,2.16052211e+07,6.82621825e+06,2.12422416e+06,5.24892135e+05,9.22091960e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,3.33679751e+11,2.32487798e+11,1.90009791e+11,3.05564843e+10,8.51490065e+09,3.65248036e+09,1.89936073e+09,9.90826114e+08,4.41276424e+08,2.44912152e+08,1.17204914e+08,5.65583450e+07,2.30957563e+07,7.28638575e+06,2.25287299e+06,5.55725828e+05,9.68109511e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,3.55682314e+11,2.47976711e+11,2.02714005e+11,3.28531492e+10,9.13775941e+09,3.90444039e+09,2.02695040e+09,1.07056907e+09,4.72381615e+08,2.64137561e+08,1.25643421e+08,6.04530342e+07,2.46019202e+07,7.75264184e+06,2.38211347e+06,5.86394087e+05,1.01429333e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
