# Legacy Model output file: ../../unitTests/Legacy/Ax8min_NatEpoch_Intg.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00763889,1.55319249,1.61750188,-0.98263373,6.89030957e+06,4.80619385e+06,3.35246240e+06,1.62807422e+06,7.47054932e+05,4.61043152e+05,3.25761597e+05,1.55418793e+05,8.39221802e+04,3.96764374e+04,2.30068626e+04,1.23671036e+04,5.69079542e+03,2.10025167e+03,6.25214934e+02,1.36160940e+02,2.37728283e+01,4.39355522e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,7.12650586e+06,4.97790674e+06,3.47709717e+06,1.69224292e+06,7.76832642e+05,4.86283630e+05,3.39770081e+05,1.61962692e+05,8.75876541e+04,4.15971336e+04,2.38725433e+04,1.28020859e+04,5.84922647e+03,2.14990211e+03,6.33270800e+02,1.37084141e+02,2.36562788e+01,4.36625862e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,7.36000342e+06,5.14820264e+06,3.60108350e+06,1.75636243e+06,8.06614075e+05,5.12149597e+05,3.53860382e+05,1.68533966e+05,9.12788315e+04,4.35465431e+04,2.47344608e+04,1.32329426e+04,6.00328875e+03,2.19752431e+03,6.40505493e+02,1.37816370e+02,2.35075764e+01,4.33276407e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,7.58900977e+06,5.31543994e+06,3.72300220e+06,1.81953796e+06,8.35970886e+05,5.37994995e+05,3.67789185e+05,1.75024841e+05,9.49300308e+04,4.54830246e+04,2.55822639e+04,1.36557751e+04,6.15348816e+03,2.24377871e+03,6.47472143e+02,1.38521120e+02,2.33688876e+01,4.30132449e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,7.81241943e+06,5.47957178e+06,3.84333472e+06,1.88239038e+06,8.65218262e+05,5.64774292e+05,3.81803619e+05,1.81537933e+05,9.86106186e+04,4.74602585e+04,2.64203682e+04,1.40698261e+04,6.29525566e+03,2.28611946e+03,6.52781487e+02,1.38820142e+02,2.31500491e+01,4.25448967e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,8.03122559e+06,5.64091357e+06,3.96202832e+06,1.94469617e+06,8.94241150e+05,5.92056580e+05,3.95799744e+05,1.88030411e+05,1.02291046e+05,4.94541130e+04,2.72478542e+04,1.44762306e+04,6.43133974e+03,2.32602739e+03,6.57227695e+02,1.38929784e+02,2.29025912e+01,4.20231093e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,8.24366895e+06,5.79781885e+06,4.07763892e+06,2.00553113e+06,9.22588989e+05,6.19109009e+05,4.09515076e+05,1.94386993e+05,1.05900047e+05,5.14187546e+04,2.80541801e+04,1.48712034e+04,6.56249237e+03,2.36428428e+03,6.61400259e+02,1.39018506e+02,2.26680562e+01,4.15283814e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,8.45465527e+06,5.95451074e+06,4.19368945e+06,2.06704102e+06,9.51294250e+05,6.47483582e+05,4.23527039e+05,2.00865372e+05,1.09593887e+05,5.34524651e+04,2.88647728e+04,1.52647972e+04,6.68864107e+03,2.39993334e+03,6.64358079e+02,1.38807416e+02,2.23752465e+01,4.09231056e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,8.66808984e+06,6.11320166e+06,4.31135693e+06,2.12854590e+06,9.80339233e+05,6.71005310e+05,4.37324493e+05,2.07425491e+05,1.13109909e+05,5.53730621e+04,2.96663609e+04,1.56347809e+04,6.81020451e+03,2.43199396e+03,6.66925609e+02,1.38570786e+02,2.21630149e+01,4.02829330e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,8.92338379e+06,6.30258301e+06,4.45151270e+06,2.19954492e+06,1.01459302e+06,6.86480896e+05,4.52652618e+05,2.15135544e+05,1.16740654e+05,5.72970123e+04,3.05782146e+04,1.60167217e+04,6.94665766e+03,2.46399975e+03,6.70034230e+02,1.38440371e+02,2.21074279e+01,3.94543633e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,9.19344141e+06,6.50292041e+06,4.59979346e+06,2.27466968e+06,1.05085217e+06,7.02877991e+05,4.68877716e+05,2.23300812e+05,1.20580841e+05,5.93327446e+04,3.15422935e+04,1.64210415e+04,7.09159994e+03,2.49854636e+03,6.73767447e+02,1.38445616e+02,2.20757816e+01,3.86796426e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,9.46901855e+06,6.70983203e+06,4.75464209e+06,2.35356152e+06,1.08931079e+06,7.18525146e+05,4.86098419e+05,2.32074173e+05,1.24578957e+05,6.14893303e+04,3.25360527e+04,1.68135490e+04,7.22359562e+03,2.52441835e+03,6.73888445e+02,1.37548953e+02,2.18939930e+01,3.75352032e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,9.73587891e+06,6.90857373e+06,4.90231885e+06,2.42854102e+06,1.12564050e+06,7.34441589e+05,5.02359375e+05,2.40300919e+05,1.28399384e+05,6.35279961e+04,3.34918098e+04,1.72075768e+04,7.36299419e+03,2.55679679e+03,6.77150011e+02,1.37495130e+02,2.18552668e+01,3.68387275e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,9.99796875e+06,7.10448242e+06,5.04839258e+06,2.50283252e+06,1.16175610e+06,7.49789612e+05,5.18526306e+05,2.48513214e+05,1.32174347e+05,6.55536652e+04,3.44333420e+04,1.75892525e+04,7.49588823e+03,2.58642387e+03,6.79596364e+02,1.37273908e+02,2.17901785e+01,3.61128617e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,1.02593389e+07,7.30040674e+06,5.19487646e+06,2.57744019e+06,1.19811987e+06,7.64880432e+05,5.34808167e+05,2.56811279e+05,1.35957092e+05,6.75926285e+04,3.53744621e+04,1.79657764e+04,7.62540150e+03,2.61441994e+03,6.81538820e+02,1.36950552e+02,2.17091106e+01,3.53764393e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01805556,1.47332072,2.28448440,-0.88639597,1.05196025e+07,7.49608545e+06,5.34157959e+06,2.65227075e+06,1.23468872e+06,7.79686646e+05,5.51184814e+05,2.65186005e+05,1.39742813e+05,6.96422958e+04,3.63138580e+04,1.83365269e+04,7.75130749e+03,2.64073205e+03,6.82975233e+02,1.36526197e+02,2.16123220e+01,3.46306898e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01875000,1.46470178,2.32443150,-0.87796145,1.07759004e+07,7.68944971e+06,5.48702539e+06,2.72659302e+06,1.27112280e+06,7.94000549e+05,5.67505005e+05,2.73564880e+05,1.43492554e+05,7.16835709e+04,3.72416725e+04,1.86965675e+04,7.87157965e+03,2.66469932e+03,6.83746159e+02,1.35970533e+02,2.14951020e+01,3.38689215e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01944444,1.45574413,2.36384103,-0.86932383,1.10276348e+07,7.87948291e+06,5.63005469e+06,2.79970068e+06,1.30698914e+06,8.08050049e+05,5.83570374e+05,2.81821777e+05,1.47179276e+05,7.36928635e+04,3.81533318e+04,1.90499306e+04,7.98975182e+03,2.68850636e+03,6.84723914e+02,1.35497436e+02,2.13928893e+01,3.31786834e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
