# Irene Model output file: ../../unitTests/Legacy/Ax8max_atEpoch_Intg.AP8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Max
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00763889,1.55319249,1.61750188,-0.98263373,2.53305117e+10,1.28972072e+10,4.69575061e+09,1.88772199e+09,8.35888760e+08,4.09220578e+08,1.93985320e+07,4.15995099e+05,3.63052743e+04,6.32917743e+03,1.64323753e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,2.81310875e+10,1.43495249e+10,5.22844981e+09,2.10071248e+09,9.28443828e+08,4.54283030e+08,2.13605062e+07,4.51793793e+05,3.90284693e+04,6.74078920e+03,1.74824089e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,3.09985782e+10,1.58565202e+10,5.77392083e+09,2.32117267e+09,1.02441096e+09,5.00622891e+08,2.33411797e+07,4.87289747e+05,4.16573225e+04,7.12897230e+03,1.84729585e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,3.39326464e+10,1.74150183e+10,6.33139252e+09,2.54853431e+09,1.12417916e+09,5.48334609e+08,2.53417357e+07,5.22489308e+05,4.41835713e+04,7.49345919e+03,1.94037400e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,3.69474999e+10,1.90220980e+10,6.90354717e+09,2.78237265e+09,1.22768010e+09,5.97585639e+08,2.73669884e+07,5.57335530e+05,4.66100412e+04,7.83590774e+03,2.02791322e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,4.00575248e+10,2.06748637e+10,7.49473853e+09,3.02227084e+09,1.33475467e+09,6.48492538e+08,2.94184119e+07,5.91781885e+05,4.89401597e+04,8.15791172e+03,2.11034543e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,4.32684543e+10,2.23698950e+10,8.10615508e+09,3.26763098e+09,1.44515965e+09,7.00965724e+08,3.14949712e+07,6.25695187e+05,5.11687682e+04,8.45934072e+03,2.18772963e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,4.65867140e+10,2.41041755e+10,8.73725982e+09,3.51797536e+09,1.55870046e+09,7.54898166e+08,3.35965059e+07,6.59003110e+05,5.32975881e+04,8.74091866e+03,2.26036270e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,5.00067071e+10,2.58713391e+10,9.38777693e+09,3.77288638e+09,1.67500567e+09,8.10152887e+08,3.57130335e+07,6.91441682e+05,5.53325183e+04,9.00430026e+03,2.32917687e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,5.35105473e+10,2.76650943e+10,1.00574100e+10,4.03226820e+09,1.79352796e+09,8.66550476e+08,3.78279076e+07,7.22603194e+05,5.72690328e+04,9.25048451e+03,2.39515625e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,5.70836952e+10,2.94843383e+10,1.07447044e+10,4.29714699e+09,1.91370612e+09,9.23867299e+08,3.99262941e+07,7.52218882e+05,5.90904499e+04,9.47844832e+03,2.45834272e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
