# Legacy Model output file: ../../unitTests/Legacy/Ax8min_atEpoch_Diff.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.00763889,1.55319249,1.61750188,-0.98263373,1.06676273e+08,6.66944141e+07,2.54065879e+07,7.03003174e+06,1.71800378e+06,7.06128967e+05,5.70502380e+05,2.13151443e+05,1.35346039e+05,4.53089104e+04,2.96471043e+04,1.97061062e+04,1.15799351e+04,5.16188383e+03,1.92900348e+03,4.79319662e+02,8.10004398e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,1.10162750e+08,6.89750078e+07,2.63392324e+07,7.32325586e+06,1.73643042e+06,7.72884460e+05,5.97529724e+05,2.22202621e+05,1.40783691e+05,4.86083336e+04,3.09697189e+04,2.06490612e+04,1.19803410e+04,5.34316969e+03,1.96493065e+03,4.86541480e+02,8.07105005e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,1.13568102e+08,7.12122266e+07,2.72595020e+07,7.61576172e+06,1.75035522e+06,8.43571167e+05,6.24772400e+05,2.31243576e+05,1.46185425e+05,5.20384979e+04,3.22956085e+04,2.15982304e+04,1.23733482e+04,5.52096891e+03,1.99812746e+03,4.93017316e+02,8.02961141e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,1.16879688e+08,7.34014688e+07,2.81691465e+07,7.90980273e+06,1.75753369e+06,9.20627502e+05,6.52583740e+05,2.40351105e+05,1.51582382e+05,5.56928062e+04,3.36389008e+04,2.25659676e+04,1.27584896e+04,5.69512796e+03,2.02711272e+03,4.98306870e+02,7.96250254e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,1.20112797e+08,7.55424688e+07,2.90618242e+07,8.20000879e+06,1.76214526e+06,9.99613525e+05,6.80191833e+05,2.49343201e+05,1.56893112e+05,5.93894272e+04,3.49678497e+04,2.35248032e+04,1.31353245e+04,5.86525154e+03,2.05489540e+03,5.03324032e+02,7.89870620e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,1.23217516e+08,7.76033438e+07,2.99241074e+07,8.48233789e+06,1.76374792e+06,1.07970129e+06,7.07241333e+05,2.58099396e+05,1.62041946e+05,6.30880013e+04,3.62648544e+04,2.44624310e+04,1.34981298e+04,6.02875185e+03,2.08073306e+03,5.07897794e+02,7.83548579e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,1.26240898e+08,7.96242031e+07,3.07788047e+07,8.76704590e+06,1.75872473e+06,1.16677173e+06,7.34937744e+05,2.66944061e+05,1.67200043e+05,6.70269775e+04,3.75827179e+04,2.54203873e+04,1.38544950e+04,6.18918705e+03,2.10287142e+03,5.11430144e+02,7.75074288e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,1.29205594e+08,8.16133281e+07,3.16254160e+07,9.05204980e+06,1.74946997e+06,1.25855701e+06,7.62934326e+05,2.75809692e+05,1.72338547e+05,7.11158524e+04,3.89079971e+04,2.63867283e+04,1.42055225e+04,6.34693336e+03,2.12305832e+03,5.14443457e+02,7.65969679e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,1.32190922e+08,8.36243281e+07,3.25285195e+07,9.32774512e+06,1.81507996e+06,1.28946313e+06,7.88222351e+05,2.86758728e+05,1.77154434e+05,7.44861069e+04,4.03619690e+04,2.72187920e+04,1.45586185e+04,6.47661734e+03,2.13841152e+03,5.14809489e+02,7.65089914e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,1.35304922e+08,8.57326172e+07,3.35155312e+07,9.61079395e+06,1.93933203e+06,1.27748804e+06,8.12918396e+05,2.99952637e+05,1.81961441e+05,7.75544815e+04,4.19943161e+04,2.79951172e+04,1.49262486e+04,6.59174252e+03,2.14988279e+03,5.12980223e+02,7.68828318e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
