# Legacy Model output file: ../../unitTests/Legacy/CammiceAll_PaOmni.CAMMICE.output_mean_Ions_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         Ions
# Flux type:                Differential
# Flux direction:           Omnidirectional
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/keV)
53219.01180556,1.53366367,1.89997504,-0.95183246,2.68295192e+05,1.43026665e+05,1.05678981e+05,4.56448789e+04,1.40391594e+04,5.74301693e+03,3.47668043e+03,3.54218665e+03,3.65132817e+03,5.42575335e+03,8.49027126e+03,1.31365768e+04
53219.01250000,1.52865033,1.94497724,-0.94560083,2.74278548e+05,1.46375723e+05,1.08375834e+05,4.70546619e+04,1.43864276e+04,5.91479274e+03,3.56342390e+03,3.64534463e+03,3.78561391e+03,5.68678830e+03,8.94164443e+03,1.38343332e+04
53219.01319444,1.52318025,1.98939854,-0.93908636,2.80163875e+05,1.49669911e+05,1.11028504e+05,4.84413475e+04,1.47280063e+04,6.08375424e+03,3.64874619e+03,3.74681250e+03,3.91769956e+03,5.94354656e+03,9.38562249e+03,1.45206577e+04
53219.01388889,1.51726880,2.03324350,-0.93229988,2.86045859e+05,1.52962228e+05,1.13679667e+05,4.98272455e+04,1.50693909e+04,6.25261977e+03,3.73402003e+03,3.84822274e+03,4.04971018e+03,6.20015897e+03,9.82934836e+03,1.52065924e+04
53219.01458333,1.51093106,2.07651714,-0.92525113,2.91923256e+05,1.56251978e+05,1.16328762e+05,5.12120627e+04,1.54105093e+04,6.42135361e+03,3.81922736e+03,3.94955390e+03,4.18161785e+03,6.45657126e+03,1.02727282e+04,1.58919922e+04
53219.01527778,1.50418085,2.11922432,-0.91794984,2.97794789e+05,1.59538445e+05,1.18975214e+05,5.25954983e+04,1.57512874e+04,6.58991911e+03,3.90434969e+03,4.05078396e+03,4.31339393e+03,6.71272775e+03,1.07156657e+04,1.65767082e+04
53219.01597222,1.49703211,2.16136976,-0.91040510,3.03659427e+05,1.62821053e+05,1.21618558e+05,5.39773093e+04,1.60916653e+04,6.75828667e+03,3.98937205e+03,4.15189515e+03,4.44501526e+03,6.96858342e+03,1.11580830e+04,1.72606201e+04
53219.01666667,1.48949758,2.20295831,-0.90262557,3.09516289e+05,1.66099309e+05,1.24258398e+05,5.53572881e+04,1.64315919e+04,6.92643097e+03,4.07428168e+03,4.25287227e+03,4.57646207e+03,7.22409985e+03,1.15999137e+04,1.79436252e+04
53219.01736111,1.48158981,2.24399485,-0.89462001,3.15364486e+05,1.69372713e+05,1.26894332e+05,5.67352251e+04,1.67710156e+04,7.09432649e+03,4.15906568e+03,4.35369998e+03,4.70771438e+03,7.47923821e+03,1.20410907e+04,1.86256197e+04
53219.01805556,1.47332072,2.28448440,-0.88639597,3.21203595e+05,1.72641032e+05,1.29526170e+05,5.81110211e+04,1.71099118e+04,7.26196114e+03,4.24371794e+03,4.45437103e+03,4.83876276e+03,7.73398014e+03,1.24815822e+04,1.93065546e+04
53219.01875000,1.46470178,2.32443150,-0.87796145,3.27032930e+05,1.75903880e+05,1.32153602e+05,5.94845140e+04,1.74482407e+04,7.42931517e+03,4.32822849e+03,4.55487355e+03,4.96959177e+03,7.98829564e+03,1.29213363e+04,1.99863495e+04
53219.01944444,1.45574413,2.36384103,-0.86932383,3.32852048e+05,1.79161009e+05,1.34776429e+05,6.08555997e+04,1.77859767e+04,7.59637589e+03,4.41259094e+03,4.65519994e+03,5.10019149e+03,8.24216543e+03,1.33603197e+04,2.06649531e+04
53219.02013889,1.44645844,2.40271786,-0.86049017,3.38660609e+05,1.82412229e+05,1.37394498e+05,6.22241980e+04,1.81231000e+04,7.76313353e+03,4.49680032e+03,4.75534431e+03,5.23055427e+03,8.49557463e+03,1.37985067e+04,2.13423255e+04
53219.02083333,1.43685460,2.44106636,-0.85146738,3.44458167e+05,1.85657290e+05,1.40007608e+05,6.35902036e+04,1.84595846e+04,7.92957526e+03,4.58085019e+03,4.85529897e+03,5.36067009e+03,8.74850378e+03,1.42358636e+04,2.20184147e+04
53219.02152778,1.42694265,2.47889157,-0.84226174,3.50244582e+05,1.88896115e+05,1.42615695e+05,6.49535839e+04,1.87954225e+04,8.09569712e+03,4.66473852e+03,4.95506153e+03,5.49053584e+03,9.00094684e+03,1.46723800e+04,2.26932046e+04
53219.02222222,1.41673201,2.51619773,-0.83287968,3.56019612e+05,1.92128566e+05,1.45218651e+05,6.63142817e+04,1.91305996e+04,8.26149211e+03,4.74846179e+03,5.05462779e+03,5.62014607e+03,9.25289319e+03,1.51080374e+04,2.33666667e+04
53219.02291667,1.40623164,2.55298955,-0.82332732,3.61783087e+05,1.95354551e+05,1.47816399e+05,6.76722569e+04,1.94651062e+04,8.42695538e+03,4.83201755e+03,5.15399484e+03,5.74949698e+03,9.50433543e+03,1.55428232e+04,2.40387813e+04
53219.02361111,1.39545046,2.58927141,-0.81361047,3.67534851e+05,1.98573979e+05,1.50408867e+05,6.90274726e+04,1.97989329e+04,8.59208242e+03,4.91540351e+03,5.25315997e+03,5.87858503e+03,9.75526674e+03,1.59767255e+04,2.47095302e+04
53219.02430556,1.38439666,2.62504771,-0.80373478,3.73274798e+05,2.01786794e+05,1.52996011e+05,7.03799044e+04,2.01320739e+04,8.75687023e+03,4.99861818e+03,5.35212139e+03,6.00740791e+03,1.00056826e+04,1.64097364e+04,2.53789012e+04
53219.02500000,1.37307870,2.66032286,-0.79370542,3.79050295e+05,2.04430145e+05,1.55094191e+05,7.14534955e+04,2.04453873e+04,8.91929810e+03,5.09042029e+03,5.47217277e+03,6.16812492e+03,1.02883271e+04,1.68887115e+04,2.62144460e+04
53219.02569444,1.36150411,2.69510108,-0.78352791,3.84824529e+05,2.06938574e+05,1.57076803e+05,7.24613816e+04,2.07536422e+04,9.08091984e+03,5.18404231e+03,5.59686557e+03,6.33589508e+03,1.05779027e+04,1.73774480e+04,2.70867418e+04
53219.02638889,1.34968075,2.72938677,-0.77320693,3.90586731e+05,2.09441776e+05,1.59055283e+05,7.34671675e+04,2.10612548e+04,9.24220481e+03,5.27746925e+03,5.72129854e+03,6.50331566e+03,1.08668749e+04,1.78651661e+04,2.79572201e+04
53219.02708333,1.33761568,2.76318386,-0.76274752,3.96336765e+05,2.11939693e+05,1.61029586e+05,7.44708297e+04,2.13682178e+04,9.40314922e+03,5.37069892e+03,5.84546877e+03,6.67038272e+03,1.11552369e+04,1.83518543e+04,2.88258602e+04
53219.02777778,1.32531611,2.79649642,-0.75215438,4.02074588e+05,2.14432304e+05,1.62999696e+05,7.54723603e+04,2.16745289e+04,9.56375181e+03,5.46373058e+03,5.96937528e+03,6.83709495e+03,1.14429865e+04,1.88375089e+04,2.96926555e+04
53219.02847222,1.31278896,2.82932870,-0.74143207,4.07800205e+05,2.16919613e+05,1.64965615e+05,7.64717604e+04,2.19801884e+04,9.72401276e+03,5.55656435e+03,6.09301822e+03,7.00345256e+03,1.17301240e+04,1.93221304e+04,3.05576070e+04
53219.02916667,1.30004065,2.86168446,-0.73058466,4.13513633e+05,2.19401627e+05,1.66927349e+05,7.74690329e+04,2.22851972e+04,9.88393255e+03,5.64920049e+03,6.21639794e+03,7.16945601e+03,1.20166502e+04,1.98057202e+04,3.14207171e+04
53219.02986111,1.28707747,2.89356762,-0.71961671,4.19214810e+05,2.21878320e+05,1.68884876e+05,7.84641671e+04,2.25895520e+04,1.00435094e+04,5.74163799e+03,6.33951311e+03,7.33510353e+03,1.23025621e+04,2.02882732e+04,3.22819766e+04
53219.03055556,1.27390601,2.92498195,-0.70853199,4.24903768e+05,2.24349703e+05,1.70838208e+05,7.94571684e+04,2.28932545e+04,1.02027443e+04,5.83387737e+03,6.46236440e+03,7.50039600e+03,1.25878611e+04,2.07697918e+04,3.31413900e+04
53219.03125000,1.26053177,2.95593122,-0.69733473,4.30580439e+05,2.26815749e+05,1.72787321e+05,8.04480251e+04,2.31963011e+04,1.03616352e+04,5.92591755e+03,6.58495037e+03,7.66533149e+03,1.28725440e+04,2.12502705e+04,3.39989474e+04
53219.03194444,1.24696101,2.98641920,-0.68602853,4.36244849e+05,2.29276469e+05,1.74732224e+05,8.14367415e+04,2.34986931e+04,1.05201830e+04,6.01775891e+03,6.70727155e+03,7.82991071e+03,1.31566120e+04,2.17297113e+04,3.48546525e+04
53219.03263889,1.23319893,3.01644949,-0.67461718,4.41896957e+05,2.31731844e+05,1.76672904e+05,8.24233107e+04,2.38004283e+04,1.06783864e+04,6.10940082e+03,6.82932708e+03,7.99413252e+03,1.34400630e+04,2.22081110e+04,3.57084992e+04
53219.03333333,1.21925132,3.04602571,-0.66310412,4.47536743e+05,2.34181867e+05,1.78609352e+05,8.34077292e+04,2.41015058e+04,1.08362450e+04,6.20084295e+03,6.95111653e+03,8.15799632e+03,1.37228961e+04,2.26854677e+04,3.65604844e+04
53219.03402778,1.20512321,3.07515099,-0.65149297,4.53164103e+05,2.36626492e+05,1.80541534e+05,8.43899787e+04,2.44019199e+04,1.09937557e+04,6.29208360e+03,7.07263764e+03,8.32149907e+03,1.40051061e+04,2.31617726e+04,3.74105925e+04
53219.03472222,1.19081978,3.10382911,-0.63978701,4.58778964e+05,2.39065686e+05,1.82469424e+05,8.53700464e+04,2.47016668e+04,1.11509166e+04,6.38312159e+03,7.19388883e+03,8.48463866e+03,1.42866892e+04,2.36370197e+04,3.82588124e+04
53219.03541667,1.17634606,3.13206335,-0.62798955,4.64381280e+05,2.41499431e+05,1.84393007e+05,8.63479245e+04,2.50007439e+04,1.13077263e+04,6.47395618e+03,7.31486912e+03,8.64741376e+03,1.45676432e+04,2.41112048e+04,3.91051372e+04
53219.03611111,1.16170690,3.15985701,-0.61610356,4.69970980e+05,2.43927696e+05,1.86312258e+05,8.73236004e+04,2.52991476e+04,1.14641829e+04,6.56458622e+03,7.43557697e+03,8.80982230e+03,1.48479645e+04,2.45843222e+04,3.99495561e+04
53219.03680556,1.14690686,3.18721324,-0.60413250,4.75547805e+05,2.46350367e+05,1.88227089e+05,8.82970291e+04,2.55968639e+04,1.16202792e+04,6.65500752e+03,7.55600680e+03,8.97185677e+03,1.51276401e+04,2.50563499e+04,4.07920300e+04
53219.03750000,1.13195050,3.21413533,-0.59207889,2.49148707e+06,1.25266975e+06,7.64833621e+05,3.69102556e+05,1.64060689e+05,9.06066501e+04,5.19229159e+04,4.07638675e+04,4.42187416e+04,5.83723990e+04,7.52146222e+04,9.30488042e+04
53219.03819444,1.11684235,3.24062626,-0.57994601,2.52110235e+06,1.26828022e+06,7.74701062e+05,3.73736643e+05,1.66140965e+05,9.17606347e+04,5.26003381e+04,4.13735895e+04,4.49285472e+04,5.94134024e+04,7.66628750e+04,9.49062475e+04
53219.03888889,1.10158683,3.26668916,-0.56773638,2.55064714e+06,1.28385353e+06,7.84545017e+05,3.78359701e+05,1.68216290e+05,9.29118726e+04,5.32761479e+04,4.19818602e+04,4.56366635e+04,6.04519282e+04,7.81076808e+04,9.67592698e+04
53219.03958333,1.08618785,3.29232703,-0.55545298,2.57994939e+06,1.29964955e+06,7.94526235e+05,3.82860176e+05,1.70294166e+05,9.41385039e+04,5.39563879e+04,4.26808222e+04,4.65185193e+04,6.17241442e+04,7.98801782e+04,9.90374712e+04
53219.04027778,1.07064964,3.31754285,-0.54309832,2.60927134e+06,1.31551747e+06,8.04552293e+05,3.87348884e+05,1.72376864e+05,9.53807930e+04,5.46388300e+04,4.33969820e+04,4.74323578e+04,6.30395604e+04,8.17132287e+04,1.01394195e+05
53219.04097222,1.05497614,3.34233943,-0.53067491,2.63810594e+06,1.33112166e+06,8.14411708e+05,3.91762985e+05,1.74424946e+05,9.66024341e+04,5.53099293e+04,4.41012387e+04,4.83310076e+04,6.43331132e+04,8.35158124e+04,1.03711747e+05
53219.04166667,1.03917111,3.36671961,-0.51818543,2.66686708e+06,1.34668610e+06,8.24246005e+05,3.96165841e+05,1.76467811e+05,9.78209629e+04,5.59793188e+04,4.48037012e+04,4.92273679e+04,6.56233704e+04,8.53138037e+04,1.06023395e+05
53219.04236111,1.02323848,3.39068621,-0.50563222,2.69555776e+06,1.36221240e+06,8.34056211e+05,4.00557911e+05,1.78505671e+05,9.90365067e+04,5.66470686e+04,4.55044428e+04,5.01215324e+04,6.69104670e+04,8.71073905e+04,1.08329381e+05
53219.04305556,1.00718185,3.41424190,-0.49301780,2.72417994e+06,1.37770164e+06,8.43842996e+05,4.04939496e+05,1.80538665e+05,1.00249148e+05,5.73132241e+04,4.62035115e+04,5.10135622e+04,6.81944907e+04,8.88966952e+04,1.10629861e+05
53219.04375000,0.99100483,3.43738935,-0.48034436,2.75273627e+06,1.39315524e+06,8.53607264e+05,4.09310999e+05,1.82566982e+05,1.01459000e+05,5.79778469e+04,4.69009717e+04,5.19035395e+04,6.94755600e+04,9.06818830e+04,1.12925048e+05
53219.04444444,0.97471073,3.46013122,-0.46761426,2.78122873e+06,1.40857427e+06,8.63349690e+05,4.13672724e+05,1.84590762e+05,1.02666146e+05,5.86409831e+04,4.75968719e+04,5.27915261e+04,7.07537638e+04,9.24630777e+04,1.15215101e+05
53219.04513889,0.95830315,3.48246986,-0.45482970,3.31202938e+06,1.85164068e+06,1.11128121e+06,4.97790641e+05,2.48915649e+05,1.59047603e+05,1.00838176e+05,9.08564459e+04,9.83489090e+04,1.36053188e+05,1.49925530e+05,1.34381264e+05
53219.04583333,0.94178538,3.50440812,-0.44199272,3.35214555e+06,1.87326349e+06,1.12511494e+06,5.04016977e+05,2.52137413e+05,1.61057907e+05,1.02061100e+05,9.21909806e+04,9.98669970e+04,1.38332429e+05,1.52521668e+05,1.36956332e+05
53219.04652778,0.92516057,3.52594833,-0.42910551,3.39218034e+06,1.89484243e+06,1.13892062e+06,5.10230684e+05,2.55352643e+05,1.63064134e+05,1.03281544e+05,9.35228083e+04,1.01382006e+05,1.40607047e+05,1.55112539e+05,1.39526177e+05
53219.04722222,0.90843201,3.54709270,-0.41617011,3.43213623e+06,1.91637884e+06,1.15269909e+06,5.16432143e+05,2.58561535e+05,1.65066406e+05,1.04499582e+05,9.48520108e+04,1.02894028e+05,1.42877182e+05,1.57698305e+05,1.42090957e+05
53219.04791667,0.89160268,3.56784389,-0.40318872,3.47201576e+06,1.93787410e+06,1.16645122e+06,5.22621752e+05,2.61764295e+05,1.67064852e+05,1.05715293e+05,9.61786734e+04,1.04403162e+05,1.45142979e+05,1.60279129e+05,1.44650835e+05
53219.04861111,0.87467557,3.58820395,-0.39016292,3.51182180e+06,1.95932975e+06,1.18017801e+06,5.28799955e+05,2.64961154e+05,1.69059615e+05,1.06928764e+05,9.75028913e+04,1.05909514e+05,1.47404600e+05,1.62855197e+05,1.47205997e+05
53219.04930556,0.85765382,3.60817538,-0.37709505,3.55155551e+06,1.98074640e+06,1.19387986e+06,5.34966930e+05,2.68152202e+05,1.71050754e+05,1.08140029e+05,9.88247026e+04,1.07413129e+05,1.49662112e+05,1.65426583e+05,1.49756515e+05
