# Irene Model output file: ../../unitTests/Legacy/Ax8min_atEpoch_Diff.AP8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Min
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.71805556,0.32398481,-0.94943025,-0.28833407,3.30280244e+13,1.74473173e+13,6.01819833e+12,2.38139376e+12,1.10988383e+12,6.74759683e+11,2.96955347e+10,1.16152655e+09,2.11129023e+08,6.55734706e+07,2.89972412e+07,5.92998342e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.71875000,0.39578729,-0.91759920,-0.33619051,3.30280244e+13,1.74473173e+13,6.01819833e+12,2.38139376e+12,1.10988383e+12,6.74759683e+11,2.96955347e+10,1.16152655e+09,2.11129023e+08,6.55734706e+07,2.89972412e+07,5.92998342e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.71944444,0.46571855,-0.88142438,-0.38245229,3.30280244e+13,1.74473173e+13,6.01819833e+12,2.38139376e+12,1.10988383e+12,6.74759683e+11,2.96955347e+10,1.16152655e+09,2.11129023e+08,6.55734706e+07,2.89972412e+07,5.92998342e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.72013889,0.53352979,-0.84123195,-0.42696792,3.30280244e+13,1.74473173e+13,6.01819833e+12,2.38139376e+12,1.10988383e+12,6.74759683e+11,2.96955347e+10,1.16152655e+09,2.11129023e+08,6.55734706e+07,2.89972412e+07,5.92998342e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.72083333,0.59901887,-0.79737302,-0.46961969,3.30280244e+13,1.74473173e+13,6.01819833e+12,2.38139376e+12,1.10988383e+12,6.74759683e+11,2.96955347e+10,1.16152655e+09,2.11129023e+08,6.55734706e+07,2.89972412e+07,5.92998342e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.72152778,0.66203007,-0.75021079,-0.51032333,3.30280244e+13,1.74473173e+13,6.01819833e+12,2.38139376e+12,1.10988383e+12,6.74759683e+11,2.96955347e+10,1.16152655e+09,2.11129023e+08,6.55734706e+07,2.89972412e+07,5.92998342e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.72222222,0.72245229,-0.70011034,-0.54902593,3.30280244e+13,1.74473173e+13,6.01819833e+12,2.38139376e+12,1.10988383e+12,6.74759683e+11,2.96955347e+10,1.16152655e+09,2.11129023e+08,6.55734706e+07,2.89972412e+07,5.92998342e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.72291667,0.78021534,-0.64742874,-0.58570222,3.30280244e+13,1.74473173e+13,6.01819833e+12,2.38139376e+12,1.10988383e+12,6.74759683e+11,2.96955347e+10,1.16152655e+09,2.11129023e+08,6.55734706e+07,2.89972412e+07,5.92998342e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.72361111,0.83528488,-0.59250816,-0.62035158,3.30280244e+13,1.74473173e+13,6.01819833e+12,2.38139376e+12,1.10988383e+12,6.74759683e+11,2.96955347e+10,1.16152655e+09,2.11129023e+08,6.55734706e+07,2.89972412e+07,5.92998342e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.72430556,0.88765758,-0.53567115,-0.65299316,3.30280244e+13,1.74473173e+13,6.01819833e+12,2.38139376e+12,1.10988383e+12,6.74759683e+11,2.96955347e+10,1.16152655e+09,2.11129023e+08,6.55734706e+07,2.89972412e+07,5.92998342e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.72500000,0.93735560,-0.47721701,-0.68366273,3.30280244e+13,1.74473173e+13,6.01819833e+12,2.38139376e+12,1.10988383e+12,6.74759683e+11,2.96955347e+10,1.16152655e+09,2.11129023e+08,6.55734706e+07,2.89972412e+07,5.92998342e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.72569444,0.98442193,-0.41742011,-0.71240865,3.30280277e+13,1.74473193e+13,6.01819934e+12,2.38139431e+12,1.10988415e+12,6.74759914e+11,2.96955718e+10,1.16153071e+09,2.11130118e+08,6.55738570e+07,2.89974217e+07,5.93002178e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.72638889,1.02891559,-0.35653001,-0.73928899,3.30280413e+13,1.74473281e+13,6.01820347e+12,2.38139675e+12,1.10988548e+12,6.74760847e+11,2.96957192e+10,1.16154532e+09,2.11133372e+08,6.55749866e+07,2.89979120e+07,5.93012073e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.72708333,1.07090721,-0.29477069,-0.76436809,3.30280883e+13,1.74473596e+13,6.01821563e+12,2.38140350e+12,1.10988908e+12,6.74763365e+11,2.96960304e+10,1.16157277e+09,2.11138632e+08,6.55766657e+07,2.89986223e+07,5.93025286e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
