# Irene Model output file: ../../unitTests/Legacy/CRRactive_atEpoch_Diff.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.01388889,1.51726880,2.03324350,-0.93229988,6.82387200e+10,7.19020800e+10,1.33800000e+10,2.97024000e+09,8.66520001e+08,2.46315000e+08,9.52387500e+07,2.37412500e+07,4.91882840e+06,1.24579121e+06
53219.01458333,1.51093106,2.07651714,-0.92525113,7.17254398e+10,7.56575998e+10,1.41153600e+10,3.13919999e+09,9.17399998e+08,2.60699999e+08,1.00646250e+08,2.50106249e+07,5.18179716e+06,1.31950217e+06
53219.01527778,1.50418085,2.11922432,-0.91794984,7.52121601e+10,7.94131201e+10,1.48507200e+10,3.30816000e+09,9.68280001e+08,2.75085000e+08,1.06053750e+08,2.62800000e+07,5.44476596e+06,1.39321313e+06
53219.01597222,1.49703211,2.16136976,-0.91040510,7.86988799e+10,8.31686399e+10,1.55860800e+10,3.47711999e+09,1.01916000e+09,2.89470000e+08,1.11461250e+08,2.75493750e+07,5.70773472e+06,1.46692408e+06
53219.01666667,1.48949758,2.20295831,-0.90262557,8.22163202e+10,8.69433602e+10,1.63382400e+10,3.65064001e+09,1.07166000e+09,3.04275001e+08,1.16992500e+08,2.88506251e+07,5.98265663e+06,1.54057646e+06
53219.01736111,1.48158981,2.24399485,-0.89462001,8.57644799e+10,9.07372799e+10,1.71072000e+10,3.82872000e+09,1.12578000e+09,3.19500000e+08,1.22647500e+08,3.01837500e+07,6.26953162e+06,1.61417023e+06
53219.01805556,1.47332072,2.28448440,-0.88639597,8.93126402e+10,9.45312002e+10,1.78761600e+10,4.00680001e+09,1.17990000e+09,3.34725001e+08,1.28302500e+08,3.15168751e+07,6.55640664e+06,1.68776402e+06
53219.01875000,1.46470178,2.32443150,-0.87796145,9.28608000e+10,9.83251200e+10,1.86451200e+10,4.18488000e+09,1.23402000e+09,3.49950000e+08,1.33957500e+08,3.28500000e+07,6.84328162e+06,1.76135779e+06
53219.01944444,1.45574413,2.36384103,-0.86932383,9.64089598e+10,1.02119040e+11,1.94140799e+10,4.36295999e+09,1.28814000e+09,3.65174999e+08,1.39612500e+08,3.41831249e+07,7.13015660e+06,1.83495157e+06
53219.02013889,1.44645844,2.40271786,-0.86049017,9.99033601e+10,1.05849600e+11,2.01796800e+10,4.54068000e+09,1.34190000e+09,3.80227500e+08,1.45162500e+08,3.54871875e+07,7.41351602e+06,1.90391644e+06
53219.02083333,1.43685460,2.44106636,-0.85146738,1.03407360e+11,1.09595520e+11,2.09630400e+10,4.72355999e+09,1.39716000e+09,3.95677499e+08,1.50836250e+08,3.68221874e+07,7.70906288e+06,1.97264691e+06
53219.02152778,1.42694265,2.47889157,-0.84226174,1.06974720e+11,1.13420160e+11,2.17675200e+10,4.91196000e+09,1.45428000e+09,4.11697500e+08,1.56738750e+08,3.82171875e+07,8.02031291e+06,2.04577192e+06
53219.02222222,1.41673201,2.51619773,-0.83287968,1.10542080e+11,1.17244800e+11,2.25720000e+10,5.10035999e+09,1.51140000e+09,4.27717499e+08,1.62641250e+08,3.96121874e+07,8.33156289e+06,2.11889692e+06
53219.02291667,1.40623164,2.55298955,-0.82332732,1.14109440e+11,1.21069440e+11,2.33764800e+10,5.28876001e+09,1.56852000e+09,4.43737501e+08,1.68543750e+08,4.10071876e+07,8.64281291e+06,2.19202192e+06
