# Irene Model output file: ../../unitTests/Legacy/CammiceAll_PaOmni.CAMMICE.output_mean_H+_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         H+
# Flux type:                Differential
# Flux direction:           Omnidirectional
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.01180556,1.53366367,1.89997504,-0.95183246,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.53131652e+08,1.09505959e+08,8.45693768e+06,3.77637157e+06,2.08507909e+06,1.95456305e+06,3.03363630e+06,4.27108003e+06,6.80349123e+06
53219.01250000,1.52865033,1.94497724,-0.94560083,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.99782491e+08,1.13548041e+08,8.82073657e+06,4.00125108e+06,2.27717065e+06,2.15388542e+06,3.36673145e+06,4.79502504e+06,7.60784132e+06
53219.01319444,1.52318025,1.98939854,-0.93908636,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.47186123e+08,1.17666677e+08,9.19326737e+06,4.23185003e+06,2.47515041e+06,2.36099561e+06,3.71526850e+06,5.34616429e+06,8.45373515e+06
53219.01388889,1.51726880,2.03324350,-0.93229988,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.95336124e+08,1.21861214e+08,9.57445554e+06,4.46811959e+06,2.67896808e+06,2.57582715e+06,4.07911561e+06,5.92426559e+06,9.34081800e+06
53219.01458333,1.51093106,2.07651714,-0.92525113,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.44231978e+08,1.26131599e+08,9.96429515e+06,4.71005588e+06,2.88861968e+06,2.79837475e+06,4.45826236e+06,6.52931062e+06,1.02690619e+07
53219.01527778,1.50418085,2.11922432,-0.91794984,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.93873036e+08,1.30477766e+08,1.03627786e+07,4.95765393e+06,3.10410008e+06,3.02863164e+06,4.85269525e+06,7.16127558e+06,1.12384304e+07
53219.01597222,1.49703211,2.16136976,-0.91040510,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.44258475e+08,1.34899632e+08,1.07698964e+07,5.21090751e+06,3.32540290e+06,3.26658937e+06,5.26239758e+06,7.82013109e+06,1.22488788e+07
53219.01666667,1.48949758,2.20295831,-0.90262557,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.95387377e+08,1.39397104e+08,1.11856379e+07,5.46980964e+06,3.55252092e+06,3.51223839e+06,5.68735037e+06,8.50584369e+06,1.33003558e+07
53219.01736111,1.48158981,2.24399485,-0.89462001,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.04725869e+09,1.43970073e+08,1.16099909e+07,5.73435231e+06,3.78544591e+06,3.76556784e+06,6.12753212e+06,9.21837554e+06,1.43928037e+07
53219.01805556,1.47332072,2.28448440,-0.88639597,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.09987129e+09,1.48618428e+08,1.20429423e+07,6.00452704e+06,4.02416914e+06,4.02656613e+06,6.58291984e+06,9.95768615e+06,1.55261606e+07
53219.01875000,1.46470178,2.32443150,-0.87796145,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.15322398e+09,1.53342044e+08,1.24844783e+07,6.28032468e+06,4.26868117e+06,4.29522082e+06,7.05348888e+06,1.07237321e+07,1.67003602e+07
53219.01944444,1.45574413,2.36384103,-0.86932383,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.20731550e+09,1.58140793e+08,1.29345842e+07,6.56173561e+06,4.51897213e+06,4.57151883e+06,7.53921327e+06,1.15164677e+07,1.79153327e+07
53219.02013889,1.44645844,2.40271786,-0.86049017,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.26214452e+09,1.63014543e+08,1.33932447e+07,6.84874989e+06,4.77503175e+06,4.85544657e+06,8.04006608e+06,1.23358454e+07,1.91710055e+07
53219.02083333,1.43685460,2.44106636,-0.85146738,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.31770968e+09,1.67963153e+08,1.38604439e+07,7.14135702e+06,5.03684925e+06,5.14698981e+06,8.55601909e+06,1.31818157e+07,2.04673028e+07
53219.02152778,1.42694265,2.47889157,-0.84226174,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.37400958e+09,1.72986481e+08,1.43361656e+07,7.43954643e+06,5.30441373e+06,5.44613410e+06,9.08704366e+06,1.40543280e+07,2.18041474e+07
53219.02222222,1.41673201,2.51619773,-0.83287968,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.43104278e+09,1.78084381e+08,1.48203931e+07,7.74330717e+06,5.57771393e+06,5.75286457e+06,9.63311031e+06,1.49533304e+07,2.31814602e+07
53219.02291667,1.40623164,2.55298955,-0.82332732,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.48880784e+09,1.83256705e+08,1.53131096e+07,8.05262827e+06,5.85673855e+06,6.06716626e+06,1.01941894e+07,1.58787707e+07,2.45991612e+07
53219.02361111,1.39545046,2.58927141,-0.81361047,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.54730326e+09,1.88503304e+08,1.58142980e+07,8.36749844e+06,6.14147596e+06,6.38902382e+06,1.07702504e+07,1.68305952e+07,2.60571686e+07
53219.02430556,1.38439666,2.62504771,-0.80373478,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.60652757e+09,1.93824025e+08,1.63239410e+07,8.68790643e+06,6.43191458e+06,6.71842189e+06,1.13612629e+07,1.78087504e+07,2.75554004e+07
53219.02500000,1.37307870,2.66032286,-0.79370542,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.66646722e+09,1.99214961e+08,1.68424784e+07,9.01451396e+06,6.72873521e+06,7.05624959e+06,1.19682411e+07,1.88146277e+07,2.90987351e+07
53219.02569444,1.36150411,2.69510108,-0.78352791,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.72710589e+09,2.04671345e+08,1.73704544e+07,9.34813611e+06,7.03277638e+06,7.40360201e+06,1.25924371e+07,1.98499475e+07,3.06931808e+07
53219.02638889,1.34968075,2.72938677,-0.77320693,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.78843937e+09,2.10192180e+08,1.79079543e+07,9.68891297e+06,7.34418221e+06,7.76066720e+06,1.32340550e+07,2.09149807e+07,3.23397711e+07
53219.02708333,1.33761568,2.76318386,-0.76274752,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.85046618e+09,2.15777327e+08,1.84549581e+07,1.00368294e+07,7.66293715e+06,8.12742468e+06,1.38930583e+07,2.20096646e+07,3.40383962e+07
53219.02777778,1.32531611,2.79649642,-0.75215438,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.91318488e+09,2.21426654e+08,1.90114457e+07,1.03918705e+07,7.98902574e+06,8.50385405e+06,1.45694101e+07,2.31339368e+07,3.57889463e+07
53219.02847222,1.31278896,2.82932870,-0.74143207,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.97659397e+09,2.27140020e+08,1.95773969e+07,1.07540208e+07,8.32243229e+06,8.88993462e+06,1.52630736e+07,2.42877340e+07,3.75913106e+07
53219.02916667,1.30004065,2.86168446,-0.73058466,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.04069200e+09,2.32917293e+08,2.01527916e+07,1.11232655e+07,8.66314133e+06,9.28564597e+06,1.59740120e+07,2.54709938e+07,3.94453794e+07
53219.02986111,1.28707747,2.89356762,-0.71961671,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.10547749e+09,2.38758333e+08,2.07376095e+07,1.14995892e+07,9.01113716e+06,9.69096741e+06,1.67021882e+07,2.66836529e+07,4.13510415e+07
53219.03055556,1.27390601,2.92498195,-0.70853199,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.17094897e+09,2.44663006e+08,2.13318306e+07,1.18829769e+07,9.36640425e+06,1.01058785e+07,1.74475655e+07,2.79256485e+07,4.33081871e+07
53219.03125000,1.26053177,2.95593122,-0.69733473,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.23710496e+09,2.50631173e+08,2.19354346e+07,1.22734133e+07,9.72892687e+06,1.05303584e+07,1.82101066e+07,2.91969173e+07,4.53167047e+07
53219.03194444,1.24696101,2.98641920,-0.68602853,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.30394398e+09,2.56662698e+08,2.25484011e+07,1.26708832e+07,1.00986894e+07,1.09643865e+07,1.89897747e+07,3.04973961e+07,4.73764837e+07
53219.03263889,1.23319893,3.01644949,-0.67461718,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.37146456e+09,2.62757444e+08,2.31707100e+07,1.30753714e+07,1.04756762e+07,1.14079423e+07,1.97865326e+07,3.18270220e+07,4.94874133e+07
53219.03333333,1.21925132,3.04602571,-0.66310412,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.43966521e+09,2.68915273e+08,2.38023409e+07,1.34868625e+07,1.08598714e+07,1.18610049e+07,2.06003430e+07,3.31857310e+07,5.16493816e+07
53219.03402778,1.20512321,3.07515099,-0.65149297,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.50854444e+09,2.75136047e+08,2.44432734e+07,1.39053414e+07,1.12512594e+07,1.23235535e+07,2.14311688e+07,3.45734599e+07,5.38622775e+07
53219.03472222,1.19081978,3.10382911,-0.63978701,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.57810075e+09,2.81419625e+08,2.50934868e+07,1.43307924e+07,1.16498241e+07,1.27955671e+07,2.22789721e+07,3.59901439e+07,5.61259876e+07
53219.03541667,1.17634606,3.13206335,-0.62798955,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.64833264e+09,2.87765870e+08,2.57529606e+07,1.47632001e+07,1.20555497e+07,1.32770246e+07,2.31437153e+07,3.74357192e+07,5.84403994e+07
53219.03611111,1.16170690,3.15985701,-0.61610356,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.71923857e+09,2.94174639e+08,2.64216739e+07,1.52025488e+07,1.24684200e+07,1.37679049e+07,2.40253601e+07,3.89101204e+07,6.08053983e+07
53219.03680556,1.14690686,3.18721324,-0.60413250,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.79081703e+09,3.00645792e+08,2.70996058e+07,1.56488228e+07,1.28884188e+07,1.42681865e+07,2.49238683e+07,4.04132823e+07,6.32208701e+07
53219.03750000,1.13195050,3.21413533,-0.59207889,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.85218820e+09,3.07291515e+08,2.78817012e+07,1.62834520e+07,1.36235505e+07,1.52799340e+07,2.66841620e+07,4.30810131e+07,6.68058156e+07
53219.03819444,1.11684235,3.24062626,-0.57994601,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.90331020e+09,3.14120077e+08,2.87697715e+07,1.71096309e+07,1.46804523e+07,1.68139026e+07,2.93238284e+07,4.69374384e+07,7.15825665e+07
53219.03888889,1.10158683,3.26668916,-0.56773638,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.95501946e+09,3.21027391e+08,2.96706566e+07,1.79491002e+07,1.57577242e+07,1.83787355e+07,3.20154514e+07,5.08707507e+07,7.64542820e+07
53219.03958333,1.08618785,3.29232703,-0.55545298,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.00728946e+09,3.28010980e+08,3.05842415e+07,1.88029490e+07,1.68576871e+07,1.99775333e+07,3.47646751e+07,5.48897028e+07,8.14316764e+07
53219.04027778,1.07064964,3.31754285,-0.54309832,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.06009048e+09,3.35068128e+08,3.15104229e+07,1.96724910e+07,1.79831197e+07,2.16140176e+07,3.75782632e+07,5.90047745e+07,8.65275802e+07
53219.04097222,1.05497614,3.34233943,-0.53067491,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.11341423e+09,3.42197889e+08,3.24490919e+07,2.05578017e+07,1.91342395e+07,2.32884530e+07,4.04567275e+07,6.32167857e+07,9.17429909e+07
53219.04166667,1.03917111,3.36671961,-0.51818543,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.16725566e+09,3.49399565e+08,3.34001282e+07,2.14587292e+07,2.03107990e+07,2.50004741e+07,4.33994431e+07,6.75248026e+07,9.70767574e+07
53219.04236111,1.02323848,3.39068621,-0.50563222,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.22161348e+09,3.56672975e+08,3.43635008e+07,2.23752343e+07,2.15127343e+07,2.67499864e+07,4.64062486e+07,7.19285841e+07,1.02528583e+08
53219.04305556,1.00718185,3.41424190,-0.49301780,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.27648645e+09,3.64017947e+08,3.53391801e+07,2.33072797e+07,2.27399845e+07,2.85368998e+07,4.94769900e+07,7.64279000e+07,1.08098183e+08
53219.04375000,0.99100483,3.43738935,-0.48034436,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.33187335e+09,3.71434312e+08,3.63271369e+07,2.42548285e+07,2.39924897e+07,3.03611260e+07,5.26115164e+07,8.10225248e+07,1.13785280e+08
53219.04444444,0.97471073,3.46013122,-0.46761426,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.38777301e+09,3.78921907e+08,3.73273436e+07,2.52178457e+07,2.52701930e+07,3.22225807e+07,5.58096836e+07,8.57122432e+07,1.19589608e+08
