# Legacy Model output file: ../../unitTests/Legacy/Ax8min_atEpoch_Intg.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00763889,1.55319249,1.61750188,-0.98263373,6.62405713e+06,4.61918213e+06,3.22111060e+06,1.56361377e+06,7.17415222e+05,4.41495789e+05,3.12648346e+05,1.49188416e+05,8.05337143e+04,3.80400620e+04,2.21035690e+04,1.18871832e+04,5.47772551e+03,2.02326894e+03,6.03569329e+02,1.31605312e+02,2.30308548e+01,4.25355136e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,6.86854053e+06,4.79671045e+06,3.34983179e+06,1.62977881e+06,7.48111328e+05,4.67309692e+05,3.27060028e+05,1.55924210e+05,8.43032303e+04,4.00102196e+04,2.29973679e+04,1.23371172e+04,5.64277506e+03,2.07529116e+03,6.12257481e+02,1.32654563e+02,2.29314324e+01,4.22989484e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,7.10997656e+06,4.97262451e+06,3.47778442e+06,1.69586060e+06,7.78796814e+05,4.93788055e+05,3.41554230e+05,1.62686981e+05,8.80989227e+04,4.20105858e+04,2.38865986e+04,1.27823381e+04,5.80296803e+03,2.12506080e+03,6.20032787e+02,1.33490726e+02,2.27956809e+01,4.19924129e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,7.34889258e+06,5.14762598e+06,3.60571655e+06,1.76240857e+06,8.09741089e+05,5.21487793e+05,3.56303650e+05,1.69551804e+05,9.19684296e+04,4.40742149e+04,2.47769699e+04,1.32243290e+04,5.95693636e+03,2.17165971e+03,6.26326621e+02,1.33955777e+02,2.25850437e+01,4.15417366e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,7.58344580e+06,5.31972559e+06,3.73174365e+06,1.82812866e+06,8.40314453e+05,5.49299866e+05,3.70926025e+05,1.76350632e+05,9.58075104e+04,4.61320152e+04,2.56543827e+04,1.36586847e+04,6.10694218e+03,2.21682429e+03,6.32324517e+02,1.34388149e+02,2.23845635e+01,4.11122246e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,7.81020654e+06,5.48644678e+06,3.85407227e+06,1.89211694e+06,8.70100647e+05,5.76893311e+05,3.85230804e+05,1.82994003e+05,9.95661545e+04,4.81585541e+04,2.65065784e+04,1.40790977e+04,6.25045013e+03,2.25967813e+03,6.37805760e+02,1.34742752e+02,2.21863873e+01,4.06891201e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,8.03522119e+06,5.65279883e+06,3.97675903e+06,1.95675659e+06,9.00229675e+05,6.05820374e+05,3.99830383e+05,1.89757187e+05,1.03409111e+05,5.02545319e+04,2.73624668e+04,1.44976721e+04,6.38859177e+03,2.29975438e+03,6.41995609e+02,1.34777889e+02,2.19258796e+01,4.01474629e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,8.25831738e+06,5.81826367e+06,4.09916797e+06,2.02153699e+06,9.30450439e+05,6.35545044e+05,4.14558807e+05,1.96569519e+05,1.07290428e+05,5.23879738e+04,2.82171650e+04,1.49134874e+04,6.52314711e+03,2.33816814e+03,6.45563066e+02,1.34678930e+02,2.16475297e+01,3.95731954e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,8.48530664e+06,5.98711865e+06,4.22442578e+06,2.08617041e+06,9.61294067e+05,6.55559021e+05,4.28843628e+05,2.03535416e+05,1.10816101e+05,5.42944603e+04,2.90526218e+04,1.52814150e+04,6.64716339e+03,2.36864138e+03,6.47857606e+02,1.34383649e+02,2.14854591e+01,3.88529943e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,8.72568945e+06,6.16670117e+06,4.35818896e+06,2.15417310e+06,9.94307983e+05,6.69566589e+05,4.43621613e+05,2.11024429e+05,1.14274307e+05,5.61467743e+04,2.99154720e+04,1.56301460e+04,6.76738262e+03,2.39402914e+03,6.48900867e+02,1.33808851e+02,2.13650633e+01,3.79445194e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,8.99540039e+06,6.36926855e+06,4.50980859e+06,2.23141504e+06,1.03194861e+06,6.84819397e+05,4.60475037e+05,2.19605804e+05,1.18189377e+05,5.82574921e+04,3.08887920e+04,1.60136623e+04,6.89544821e+03,2.41827559e+03,6.48397386e+02,1.32733881e+02,2.11601313e+01,3.68057936e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,9.27145410e+06,6.57442432e+06,4.66195557e+06,2.30857593e+06,1.06926453e+06,7.01465637e+05,4.77175903e+05,2.28034607e+05,1.22127090e+05,6.03520584e+04,3.18757496e+04,1.64247017e+04,7.04224396e+03,2.45320487e+03,6.52286410e+02,1.32791668e+02,2.11219881e+01,3.60369612e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,9.55089062e+06,6.78310498e+06,4.81741064e+06,2.38760034e+06,1.10764526e+06,7.17899841e+05,4.94357086e+05,2.36752075e+05,1.26145721e+05,6.25052567e+04,3.28788223e+04,1.68329601e+04,7.18487310e+03,2.48524404e+03,6.55018330e+02,1.32576793e+02,2.10555289e+01,3.51910084e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,9.82422070e+06,6.98753711e+06,4.96992236e+06,2.46519849e+06,1.14539221e+06,7.33876526e+05,5.11256287e+05,2.45344177e+05,1.30086731e+05,6.46221542e+04,3.38611526e+04,1.72303581e+04,7.32311773e+03,2.51609755e+03,6.57634139e+02,1.32375568e+02,2.09931396e+01,3.44113656e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,1.00953154e+07,7.19095752e+06,5.12215967e+06,2.54277979e+06,1.18324414e+06,7.49460449e+05,5.28205200e+05,2.53994186e+05,1.34016907e+05,6.67441635e+04,3.48380775e+04,1.76195583e+04,7.45658922e+03,2.54480743e+03,6.59607172e+02,1.32044375e+02,2.09104232e+01,3.36494856e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01805556,1.47332072,2.28448440,-0.88639597,1.03636211e+07,7.39296680e+06,5.27382861e+06,2.62020337e+06,1.22113416e+06,7.64619324e+05,5.45175110e+05,2.62688599e+05,1.37929291e+05,6.88675461e+04,3.58077126e+04,1.79997196e+04,7.58499050e+03,2.57130098e+03,6.60934567e+02,1.31584719e+02,2.08077058e+01,3.28934798e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01875000,1.46470178,2.32443150,-0.87796145,1.06334639e+07,7.59666309e+06,5.42713965e+06,2.69856445e+06,1.25957495e+06,7.79675476e+05,5.62394409e+05,2.71537476e+05,1.41880966e+05,7.10210419e+04,3.67849770e+04,1.83784313e+04,7.71156311e+03,2.59671426e+03,6.61920428e+02,1.31059095e+02,2.06948910e+01,3.21393949e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01944444,1.45574413,2.36384103,-0.86932383,1.09046797e+07,7.80252686e+06,5.58287158e+06,2.77838159e+06,1.29891492e+06,7.94356323e+05,5.80021301e+05,2.80648376e+05,1.45889771e+05,7.32234573e+04,3.77717018e+04,1.87505932e+04,7.83241796e+03,2.61883974e+03,6.61723852e+02,1.30264968e+02,2.05385704e+01,3.13067436e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
