# Irene Model output file: ../../unitTests/Legacy/Ax8min_NatEpochSaa_Intg.AP8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Min
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00763889,1.55319249,1.61750188,-0.98263373,2.45497334e+10,1.23761026e+10,4.39357595e+09,1.71512688e+09,7.47785143e+08,3.57922976e+08,1.58126781e+07,3.05313613e+05,2.40145403e+04,3.74948782e+03,9.77856797e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,2.72861051e+10,1.37937442e+10,4.89428980e+09,1.91518082e+09,8.34427999e+08,3.99397105e+08,1.75048115e+07,3.34120348e+05,2.60125668e+04,4.02673094e+03,1.05172392e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,3.00907035e+10,1.52665851e+10,5.40950765e+09,2.12320970e+09,9.24979484e+08,4.42300750e+08,1.92271535e+07,3.63116292e+05,2.79841080e+04,4.29422979e+03,1.12376431e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,3.29627402e+10,1.67920828e+10,5.93837918e+09,2.33882702e+09,1.01961773e+09,4.86871569e+08,2.09866792e+07,3.92302507e+05,2.99241173e+04,4.55173008e+03,1.19374290e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,3.59256416e+10,1.83678555e+10,6.48488880e+09,2.56171815e+09,1.11835008e+09,5.33315379e+08,2.27954713e+07,4.21687187e+05,3.18320294e+04,4.79970719e+03,1.26137333e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,3.90005274e+10,1.99900444e+10,7.05405116e+09,2.79141461e+09,1.22096182e+09,5.81617635e+08,2.46514740e+07,4.51095563e+05,3.37013724e+04,5.03814727e+03,1.32628069e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,4.21804362e+10,2.16515591e+10,7.64680339e+09,3.02730450e+09,1.32705330e+09,6.31652847e+08,2.65439441e+07,4.80126124e+05,3.55204100e+04,5.26745939e+03,1.38921790e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,4.54557610e+10,2.33459776e+10,8.26268127e+09,3.26875565e+09,1.43621467e+09,6.83266448e+08,2.84612521e+07,5.08462364e+05,3.72780610e+04,5.48770278e+03,1.45091028e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,4.88208709e+10,2.50698010e+10,8.90051642e+09,3.51573111e+09,1.54816434e+09,7.36337467e+08,3.03976569e+07,5.36064303e+05,3.89708158e+04,5.69854704e+03,1.48140745e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,5.22703561e+10,2.68252303e+10,9.55912918e+09,3.76872450e+09,1.66265261e+09,7.90759879e+08,3.23493858e+07,5.62947043e+05,4.06006826e+04,5.89994969e+03,1.48140745e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
