# Irene Model output file: ../../unitTests/Legacy/CRRquiet_atEpoch_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.01388889,1.51726880,2.03324350,-0.93229988,1.53726405e+07,1.24391813e+07,4.49515792e+06,9.61181383e+05,2.86661888e+05,9.21584942e+04,3.21826793e+04,9.31200462e+03,2.35706402e+03,3.51375744e+02
53219.01458333,1.51093106,2.07651714,-0.92525113,1.65485191e+07,1.33623100e+07,4.82166167e+06,1.02645078e+06,3.05946907e+05,9.78321903e+04,3.40507192e+04,9.82067257e+03,2.48756401e+03,3.72561741e+02
53219.01527778,1.50418085,2.11922432,-0.91794984,1.77243980e+07,1.42854388e+07,5.14816547e+06,1.09172018e+06,3.25231928e+05,1.03505887e+05,3.59187594e+04,1.03293406e+04,2.61806402e+03,3.93747742e+02
53219.01597222,1.49703211,2.16136976,-0.91040510,1.89002766e+07,1.52085675e+07,5.47466922e+06,1.15698957e+06,3.44516947e+05,1.09179583e+05,3.77867993e+04,1.08380085e+04,2.74856402e+03,4.14933739e+02
53219.01666667,1.48949758,2.20295831,-0.90262557,2.01321171e+07,1.61601892e+07,5.81119713e+06,1.22700965e+06,3.65037023e+05,1.15136182e+05,3.97172769e+04,1.13554621e+04,2.87847003e+03,4.37084990e+02
53219.01736111,1.48158981,2.24399485,-0.89462001,2.14199190e+07,1.71403036e+07,6.15774910e+06,1.30178040e+06,3.86792149e+05,1.21375681e+05,4.17101919e+04,1.18817010e+04,3.00778203e+03,4.60201489e+02
53219.01805556,1.47332072,2.28448440,-0.88639597,2.27077212e+07,1.81204181e+07,6.50430112e+06,1.37655116e+06,4.08547278e+05,1.27615181e+05,4.37031071e+04,1.24079401e+04,3.13709405e+03,4.83317990e+02
53219.01875000,1.46470178,2.32443150,-0.87796145,2.39955232e+07,1.91005326e+07,6.85085309e+06,1.45132191e+06,4.30302404e+05,1.33854680e+05,4.56960220e+04,1.29341791e+04,3.26640605e+03,5.06434488e+02
53219.01944444,1.45574413,2.36384103,-0.86932383,2.52833251e+07,2.00806470e+07,7.19740505e+06,1.52609265e+06,4.52057530e+05,1.40094179e+05,4.76889369e+04,1.34604181e+04,3.39571805e+03,5.29550986e+02
53219.02013889,1.44645844,2.40271786,-0.86049017,2.67359406e+07,2.11559656e+07,7.56099701e+06,1.60362991e+06,4.74340874e+05,1.46384355e+05,4.96658801e+04,1.39728811e+04,3.51879981e+03,5.52593238e+02
53219.02083333,1.43685460,2.44106636,-0.85146738,2.83925183e+07,2.23565667e+07,7.95265287e+06,1.68661393e+06,4.97992855e+05,1.52985550e+05,5.17158055e+04,1.44973486e+04,3.64266006e+03,5.77095736e+02
53219.02152778,1.42694265,2.47889157,-0.84226174,3.00882452e+07,2.35872467e+07,8.35533281e+06,1.77227823e+06,5.22485265e+05,1.59847090e+05,5.38546856e+04,1.50475967e+04,3.77352907e+03,6.03132738e+02
53219.02222222,1.41673201,2.51619773,-0.83287968,3.17839720e+07,2.48179265e+07,8.75801270e+06,1.85794251e+06,5.46977671e+05,1.66708630e+05,5.59935655e+04,1.55978447e+04,3.90439806e+03,6.29169735e+02
53219.02291667,1.40623164,2.55298955,-0.82332732,3.34796989e+07,2.60486065e+07,9.16069264e+06,1.94360681e+06,5.71470080e+05,1.73570170e+05,5.81324456e+04,1.61480928e+04,4.03526707e+03,6.55206736e+02
53219.02361111,1.39545046,2.58927141,-0.81361047,3.51754256e+07,2.72792863e+07,9.56337253e+06,2.02927110e+06,5.95962486e+05,1.80431710e+05,6.02713255e+04,1.66983407e+04,4.16613606e+03,6.81243734e+02
53219.02430556,1.38439666,2.62504771,-0.80373478,3.69887464e+07,2.85587009e+07,9.97618543e+06,2.11761523e+06,6.21037073e+05,1.87409611e+05,6.24042506e+04,1.72411698e+04,4.29068407e+03,7.07231235e+02
53219.02500000,1.37307870,2.66032286,-0.79370542,3.89515472e+07,2.99102752e+07,1.04074395e+07,2.21064276e+06,6.47326328e+05,1.94699842e+05,6.45953576e+04,1.77945828e+04,4.41351157e+03,7.34258233e+02
