# Legacy Model output file: ../../unitTests/Legacy/CammiceAll_PaOmni.CAMMICE.output_mean_O+_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         O+
# Flux type:                Differential
# Flux direction:           Omnidirectional
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/keV)
53219.01180556,1.53366367,1.89997504,-0.95183246,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,8.76628147e+03,2.81767494e+03,1.38146336e+03,7.49858573e+02,1.56128413e+02,2.11430727e+02
53219.01250000,1.52865033,1.94497724,-0.94560083,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,8.92568571e+03,2.90929023e+03,1.40073453e+03,7.67437554e+02,1.58624225e+02,2.15038243e+02
53219.01319444,1.52318025,1.98939854,-0.93908636,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.08247833e+03,2.99940453e+03,1.41968997e+03,7.84728529e+02,1.61079147e+02,2.18586655e+02
53219.01388889,1.51726880,2.03324350,-0.93229988,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.23918189e+03,3.08946765e+03,1.43863464e+03,8.02009682e+02,1.63532674e+02,2.22133051e+02
53219.01458333,1.51093106,2.07651714,-0.92525113,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.39576324e+03,3.17946054e+03,1.45756454e+03,8.19277359e+02,1.65984287e+02,2.25676682e+02
53219.01527778,1.50418085,2.11922432,-0.91794984,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.55218838e+03,3.26936364e+03,1.47647555e+03,8.36527808e+02,1.68433455e+02,2.29216777e+02
53219.01597222,1.49703211,2.16136976,-0.91040510,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.70842983e+03,3.35916116e+03,1.49536436e+03,8.53758000e+02,1.70879747e+02,2.32752715e+02
53219.01666667,1.48949758,2.20295831,-0.90262557,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.86446411e+03,3.44883962e+03,1.51422812e+03,8.70965345e+02,1.73322795e+02,2.36283965e+02
53219.01736111,1.48158981,2.24399485,-0.89462001,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.00202675e+04,3.53838539e+03,1.53306397e+03,8.88147231e+02,1.75762228e+02,2.39809990e+02
53219.01805556,1.47332072,2.28448440,-0.88639597,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.01758288e+04,3.62779203e+03,1.55187055e+03,9.05302419e+02,1.78197871e+02,2.43330536e+02
53219.01875000,1.46470178,2.32443150,-0.87796145,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.03311298e+04,3.71704900e+03,1.57064565e+03,9.22428890e+02,1.80629437e+02,2.46845189e+02
53219.01944444,1.45574413,2.36384103,-0.86932383,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.04861585e+04,3.80614954e+03,1.58938785e+03,9.39525346e+02,1.83056741e+02,2.50353682e+02
53219.02013889,1.44645844,2.40271786,-0.86049017,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.06409060e+04,3.89508843e+03,1.60809604e+03,9.56590784e+02,1.85479642e+02,2.53855809e+02
53219.02083333,1.43685460,2.44106636,-0.85146738,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.07953603e+04,3.98385884e+03,1.62676879e+03,9.73623894e+02,1.87897952e+02,2.57351303e+02
53219.02152778,1.42694265,2.47889157,-0.84226174,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.09495178e+04,4.07245864e+03,1.64540566e+03,9.90624268e+02,1.90311615e+02,2.60840078e+02
53219.02222222,1.41673201,2.51619773,-0.83287968,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.11033720e+04,4.16088411e+03,1.66400585e+03,1.00759119e+03,1.92720529e+02,2.64321989e+02
53219.02291667,1.40623164,2.55298955,-0.82332732,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.12569183e+04,4.24913266e+03,1.68256883e+03,1.02452417e+03,1.95124623e+02,2.67796933e+02
53219.02361111,1.39545046,2.58927141,-0.81361047,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.14101526e+04,4.33720188e+03,1.70109409e+03,1.04142274e+03,1.97523832e+02,2.71264817e+02
53219.02430556,1.38439666,2.62504771,-0.80373478,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.15630722e+04,4.42509018e+03,1.71958129e+03,1.05828659e+03,1.99918112e+02,2.74725576e+02
