# Legacy Model output file: ../../unitTests/Legacy/Ax8min_NatEpoch_Diff.AP8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Min
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.00763889,1.55319249,1.61750188,-0.98263373,4.46407104e+08,1.81512496e+08,5.15702160e+07,1.79689000e+07,6.49429650e+06,3.54698675e+06,9.92139453e+04,1.00219543e+03,5.29194298e+01,5.66060400e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,4.47468224e+08,1.90382128e+08,5.21419240e+07,1.83665220e+07,6.88296600e+06,3.67371600e+06,1.00813938e+05,1.00928857e+03,5.16498642e+01,5.35453463e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,4.55213344e+08,1.97998528e+08,5.31894400e+07,1.87341940e+07,7.23350600e+06,3.80986875e+06,1.02712906e+05,1.01534369e+03,5.04357910e+01,5.08359003e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,4.68857664e+08,2.03574784e+08,5.51681360e+07,1.90629200e+07,7.49540500e+06,3.97961500e+06,1.04702047e+05,1.01848938e+03,4.91272049e+01,4.82035923e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,4.85683424e+08,2.07302416e+08,5.78198920e+07,1.93375560e+07,7.74017150e+06,4.13517650e+06,1.06646609e+05,1.01764691e+03,4.76969376e+01,4.55864573e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,5.06265056e+08,2.10562896e+08,6.04256280e+07,1.95559600e+07,7.97032150e+06,4.27265150e+06,1.08990406e+05,1.00995477e+03,4.63612823e+01,4.27927589e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,5.30297440e+08,2.13358048e+08,6.30274560e+07,1.97489560e+07,8.19200000e+06,4.40486350e+06,1.11170602e+05,1.00073798e+03,4.53449898e+01,4.02942228e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,5.58868480e+08,2.15712000e+08,6.55971360e+07,1.99036500e+07,8.40202600e+06,4.52962650e+06,1.13010250e+05,9.88730713e+02,4.43513680e+01,3.78445506e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,5.85164544e+08,2.17032000e+08,6.81667520e+07,2.01031840e+07,8.57658300e+06,4.64811550e+06,1.14322516e+05,9.67090027e+02,4.30869255e+01,3.52551293e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,6.01587008e+08,2.17719424e+08,6.95874400e+07,2.11804140e+07,8.68811300e+06,4.76257150e+06,1.15118180e+05,9.33958069e+02,4.13448029e+01,3.26065040e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
