# Legacy Model output file: ../../unitTests/Legacy/CRRactive_NatEpochSa_Intg.CRRESELE.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.01666667,1.48949758,2.20295831,-0.90262557,3.69836680e+07,1.99708691e+07,4.31246826e+06,1.03966846e+06,3.14068451e+05,1.00618462e+05,3.75684586e+04,1.29684572e+04,3.37216806e+03,7.87939370e+02
53219.01736111,1.48158981,2.24399485,-0.89462001,3.69836680e+07,1.99708691e+07,4.31246826e+06,1.03966846e+06,3.14068451e+05,1.00618462e+05,3.75684586e+04,1.29684572e+04,3.37216806e+03,7.87939370e+02
53219.01805556,1.47332072,2.28448440,-0.88639597,3.69836680e+07,1.99708691e+07,4.31246826e+06,1.03966846e+06,3.14068451e+05,1.00618462e+05,3.75684586e+04,1.29684572e+04,3.37216806e+03,7.87939370e+02
53219.01875000,1.46470178,2.32443150,-0.87796145,3.85830352e+07,2.09078340e+07,4.55503369e+06,1.10543372e+06,3.36233704e+05,1.08633698e+05,4.08836937e+04,1.42336922e+04,3.75146580e+03,8.84619415e+02
53219.01944444,1.45574413,2.36384103,-0.86932383,3.85830352e+07,2.09078340e+07,4.55503369e+06,1.10543372e+06,3.36233704e+05,1.08633698e+05,4.08836937e+04,1.42336922e+04,3.75146580e+03,8.84619415e+02
53219.02013889,1.44645844,2.40271786,-0.86049017,3.85830352e+07,2.09078340e+07,4.55503369e+06,1.10543372e+06,3.36233704e+05,1.08633698e+05,4.08836937e+04,1.42336922e+04,3.75146580e+03,8.84619415e+02
53219.02083333,1.43685460,2.44106636,-0.85146738,3.74952109e+07,2.03928086e+07,4.49400928e+06,1.08800964e+06,3.26809662e+05,1.04859673e+05,3.93596725e+04,1.35846691e+04,3.49033260e+03,8.10498118e+02
53219.02152778,1.42694265,2.47889157,-0.84226174,3.74952109e+07,2.03928086e+07,4.49400928e+06,1.08800964e+06,3.26809662e+05,1.04859673e+05,3.93596725e+04,1.35846691e+04,3.49033260e+03,8.10498118e+02
53219.02222222,1.41673201,2.51619773,-0.83287968,3.91644648e+07,2.13804648e+07,4.75886523e+06,1.16126550e+06,3.51265533e+05,1.13665527e+05,4.30405273e+04,1.50030270e+04,3.91533160e+03,9.20068026e+02
53219.02291667,1.40623164,2.55298955,-0.82332732,3.91644648e+07,2.13804648e+07,4.75886523e+06,1.16126550e+06,3.51265533e+05,1.13665527e+05,4.30405273e+04,1.50030270e+04,3.91533160e+03,9.20068026e+02
53219.02361111,1.39545046,2.58927141,-0.81361047,3.91644648e+07,2.13804648e+07,4.75886523e+06,1.16126550e+06,3.51265533e+05,1.13665527e+05,4.30405273e+04,1.50030270e+04,3.91533160e+03,9.20068026e+02
53219.02430556,1.38439666,2.62504771,-0.80373478,3.91644648e+07,2.13804648e+07,4.75886523e+06,1.16126550e+06,3.51265533e+05,1.13665527e+05,4.30405273e+04,1.50030270e+04,3.91533160e+03,9.20068026e+02
53219.02500000,1.37307870,2.66032286,-0.79370542,3.81593320e+07,2.08569336e+07,4.67173291e+06,1.13453296e+06,3.37732910e+05,1.09282913e+05,4.15329132e+04,1.42579117e+04,3.60029387e+03,8.58838201e+02
53219.02569444,1.36150411,2.69510108,-0.78352791,3.81593320e+07,2.08569336e+07,4.67173291e+06,1.13453296e+06,3.37732910e+05,1.09282913e+05,4.15329132e+04,1.42579117e+04,3.60029387e+03,8.58838201e+02
53219.02638889,1.34968075,2.72938677,-0.77320693,3.93712305e+07,2.15792285e+07,4.86162842e+06,1.18642847e+06,3.54828430e+05,1.15428413e+05,4.41034164e+04,1.52409182e+04,3.88466740e+03,9.32958663e+02
53219.02708333,1.33761568,2.76318386,-0.76274752,3.93712305e+07,2.15792285e+07,4.86162842e+06,1.18642847e+06,3.54828430e+05,1.15428413e+05,4.41034164e+04,1.52409182e+04,3.88466740e+03,9.32958663e+02
53219.02777778,1.32531611,2.79649642,-0.75215438,3.93712305e+07,2.15792285e+07,4.86162842e+06,1.18642847e+06,3.54828430e+05,1.15428413e+05,4.41034164e+04,1.52409182e+04,3.88466740e+03,9.32958663e+02
53219.02847222,1.31278896,2.82932870,-0.74143207,3.93712305e+07,2.15792285e+07,4.86162842e+06,1.18642847e+06,3.54828430e+05,1.15428413e+05,4.41034164e+04,1.52409182e+04,3.88466740e+03,9.32958663e+02
53219.02916667,1.30004065,2.86168446,-0.73058466,3.83164688e+07,2.10828691e+07,4.76326953e+06,1.15086951e+06,3.37069427e+05,1.09769432e+05,4.22194328e+04,1.43694334e+04,3.55322218e+03,8.68505538e+02
53219.02986111,1.28707747,2.89356762,-0.71961671,3.83164688e+07,2.10828691e+07,4.76326953e+06,1.15086951e+06,3.37069427e+05,1.09769432e+05,4.22194328e+04,1.43694334e+04,3.55322218e+03,8.68505538e+02
53219.03055556,1.27390601,2.92498195,-0.70853199,3.83164688e+07,2.10828691e+07,4.76326953e+06,1.15086951e+06,3.37069427e+05,1.09769432e+05,4.22194328e+04,1.43694334e+04,3.55322218e+03,8.68505538e+02
53219.03125000,1.26053177,2.95593122,-0.69733473,3.83164688e+07,2.10828691e+07,4.76326953e+06,1.15086951e+06,3.37069427e+05,1.09769432e+05,4.22194328e+04,1.43694334e+04,3.55322218e+03,8.68505538e+02
53219.03194444,1.24696101,2.98641920,-0.68602853,3.99207852e+07,2.20471855e+07,5.02278516e+06,1.22238550e+06,3.60385468e+05,1.18285454e+05,4.58604507e+04,1.57479506e+04,3.95830107e+03,9.78076279e+02
53219.03263889,1.23319893,3.01644949,-0.67461718,3.99207852e+07,2.20471855e+07,5.02278516e+06,1.22238550e+06,3.60385468e+05,1.18285454e+05,4.58604507e+04,1.57479506e+04,3.95830107e+03,9.78076279e+02
53219.03333333,1.21925132,3.04602571,-0.66310412,3.99207852e+07,2.20471855e+07,5.02278516e+06,1.22238550e+06,3.60385468e+05,1.18285454e+05,4.58604507e+04,1.57479506e+04,3.95830107e+03,9.78076279e+02
53219.03402778,1.20512321,3.07515099,-0.65149297,3.90254805e+07,2.15486797e+07,4.90187988e+06,1.17588025e+06,3.40280182e+05,1.11130180e+05,4.32051773e+04,1.47676754e+04,3.68232417e+03,9.29736197e+02
53219.03472222,1.19081978,3.10382911,-0.63978701,3.90254805e+07,2.15486797e+07,4.90187988e+06,1.17588025e+06,3.40280182e+05,1.11130180e+05,4.32051773e+04,1.47676754e+04,3.68232417e+03,9.29736197e+02
53219.03541667,1.17634606,3.13206335,-0.62798955,3.90254805e+07,2.15486797e+07,4.90187988e+06,1.17588025e+06,3.40280182e+05,1.11130180e+05,4.32051773e+04,1.47676754e+04,3.68232417e+03,9.29736197e+02
53219.03611111,1.16170690,3.15985701,-0.61610356,4.03487617e+07,2.23439629e+07,5.11836279e+06,1.23516272e+06,3.59162689e+05,1.18062698e+05,4.61876945e+04,1.59001951e+04,4.01542950e+03,1.02158177e+03
53219.03680556,1.14690686,3.18721324,-0.60413250,4.03487617e+07,2.23439629e+07,5.11836279e+06,1.23516272e+06,3.59162689e+05,1.18062698e+05,4.61876945e+04,1.59001951e+04,4.01542950e+03,1.02158177e+03
53219.03750000,1.13195050,3.21413533,-0.59207889,4.03487617e+07,2.23439629e+07,5.11836279e+06,1.23516272e+06,3.59162689e+05,1.18062698e+05,4.61876945e+04,1.59001951e+04,4.01542950e+03,1.02158177e+03
53219.03819444,1.11684235,3.24062626,-0.57994601,4.03487617e+07,2.23439629e+07,5.11836279e+06,1.23516272e+06,3.59162689e+05,1.18062698e+05,4.61876945e+04,1.59001951e+04,4.01542950e+03,1.02158177e+03
53219.03888889,1.10158683,3.26668916,-0.56773638,3.93690078e+07,2.17834082e+07,4.96140723e+06,1.18020740e+06,3.39407440e+05,1.10207420e+05,4.29074211e+04,1.48324223e+04,3.82128930e+03,9.92578089e+02
53219.03958333,1.08618785,3.29232703,-0.55545298,3.93690078e+07,2.17834082e+07,4.96140723e+06,1.18020740e+06,3.39407440e+05,1.10207420e+05,4.29074211e+04,1.48324223e+04,3.82128930e+03,9.92578089e+02
53219.04027778,1.07064964,3.31754285,-0.54309832,3.93690078e+07,2.17834082e+07,4.96140723e+06,1.18020740e+06,3.39407440e+05,1.10207420e+05,4.29074211e+04,1.48324223e+04,3.82128930e+03,9.92578089e+02
53219.04097222,1.05497614,3.34233943,-0.53067491,3.93690078e+07,2.17834082e+07,4.96140723e+06,1.18020740e+06,3.39407440e+05,1.10207420e+05,4.29074211e+04,1.48324223e+04,3.82128930e+03,9.92578089e+02
53219.04166667,1.03917111,3.36671961,-0.51818543,4.04077930e+07,2.24061934e+07,5.13139355e+06,1.22539331e+06,3.53593353e+05,1.15343361e+05,4.51183624e+04,1.56808605e+04,4.07265711e+03,1.06347692e+03
53219.04236111,1.02323848,3.39068621,-0.50563222,4.04077930e+07,2.24061934e+07,5.13139355e+06,1.22539331e+06,3.53593353e+05,1.15343361e+05,4.51183624e+04,1.56808605e+04,4.07265711e+03,1.06347692e+03
53219.04305556,1.00718185,3.41424190,-0.49301780,4.04077930e+07,2.24061934e+07,5.13139355e+06,1.22539331e+06,3.53593353e+05,1.15343361e+05,4.51183624e+04,1.56808605e+04,4.07265711e+03,1.06347692e+03
