# Legacy Model output file: ../../unitTests/Legacy/CammiceAll_Pa70.CAMMICE.output_mean_Ions_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         Ions
# Flux type:                Differential
# Flux direction:           Bin 60-70
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/keV)
53219.00000000,1.52982044,1.04214606,-1.00139189,3.17587783e+03,1.31766132e+03,1.26467556e+03,1.03055601e+03,6.38811710e+02,1.32436030e+02,4.04896067e+01,4.01598872e+01,3.67252267e+01,4.82839193e+01,5.81958007e+01,1.18547302e+02
53219.00069444,1.53582559,1.09757628,-1.00219911,3.23933934e+03,1.35158237e+03,1.33527287e+03,1.14087480e+03,7.06131807e+02,1.42318769e+02,4.33275292e+01,4.39839539e+01,4.03300737e+01,5.44909726e+01,6.58551257e+01,1.35152969e+02
53219.00138889,1.54095775,1.15238275,-1.00243596,3.30501944e+03,1.37924092e+03,1.36386425e+03,1.16701128e+03,7.22275888e+02,1.45446693e+02,4.42739618e+01,4.49769365e+01,4.12439288e+01,5.57713490e+01,6.74079147e+01,1.38370003e+02
53219.00208333,1.54525254,1.20656344,-1.00212801,3.37269793e+03,1.40748430e+03,1.39179276e+03,1.19090873e+03,7.37066282e+02,1.48425075e+02,4.51805812e+01,4.58979510e+01,4.20885007e+01,5.69134059e+01,6.87882593e+01,1.41203473e+02
53219.00277778,1.54874404,1.26011693,-1.00129850,3.44281911e+03,1.43674707e+03,1.42072928e+03,1.21566871e+03,7.52390501e+02,1.51510955e+02,4.61199229e+01,4.68522075e+01,4.29635555e+01,5.80966828e+01,7.02184242e+01,1.44139210e+02
53219.00347222,1.55146409,1.31304307,-0.99997002,3.51433421e+03,1.46659154e+03,1.45024102e+03,1.24092089e+03,7.68019344e+02,1.54658179e+02,4.70779375e+01,4.78254332e+01,4.38560052e+01,5.93034816e+01,7.16770188e+01,1.47133306e+02
53219.00416667,1.55344362,1.36534232,-0.99816377,3.58710530e+03,1.49696015e+03,1.48027107e+03,1.26661656e+03,7.83922672e+02,1.57860676e+02,4.80527773e+01,4.88157514e+01,4.47641287e+01,6.05314750e+01,7.31612303e+01,1.50179986e+02
53219.00486111,1.55471104,1.41701626,-0.99589999,4.63031736e+03,2.26701407e+03,1.96035697e+03,7.53439755e+02,2.71297237e+02,8.61057036e+01,5.36794578e+01,6.00908270e+01,4.95662943e+01,7.45026052e+01,1.23852456e+02,2.86736193e+02
53219.00555556,1.55529429,1.46806646,-0.99319736,4.72518654e+03,2.31346224e+03,2.00052213e+03,7.68876755e+02,2.76855764e+02,8.78698975e+01,5.47792801e+01,6.13220098e+01,5.05818432e+01,7.60290667e+01,1.26390031e+02,2.92611045e+02
53219.00625000,1.55521927,1.51849557,-0.99007424,1.19430510e+04,7.19433694e+03,5.53299614e+03,2.25203382e+03,5.99322393e+02,2.45005081e+02,1.53980235e+02,1.77120256e+02,1.85373342e+02,3.23523560e+02,5.47711242e+02,8.42581537e+02
53219.00694444,1.55451077,1.56830628,-0.98654759,1.21855707e+04,7.34042762e+03,5.64535107e+03,2.29776440e+03,6.11492440e+02,2.49980239e+02,1.57107010e+02,1.80716921e+02,1.89137597e+02,3.30093141e+02,5.58833255e+02,8.59691288e+02
53219.00763889,1.55319249,1.61750188,-0.98263373,1.24315648e+04,7.48861127e+03,5.75931564e+03,2.34415013e+03,6.23836840e+02,2.55026673e+02,1.60278582e+02,1.84365114e+02,1.92955781e+02,3.36756840e+02,5.70114607e+02,8.77046161e+02
53219.00833333,1.55128673,1.66608598,-0.97834803,1.26812319e+04,7.63900744e+03,5.87498182e+03,2.39122844e+03,6.36365555e+02,2.60148455e+02,1.63497508e+02,1.88067777e+02,1.96830973e+02,3.43520035e+02,5.81564401e+02,8.94660159e+02
53219.00902778,1.54881514,1.71406234,-0.97370527,1.29333571e+04,7.79088433e+03,5.99178677e+03,2.43877027e+03,6.49017620e+02,2.65320663e+02,1.66748125e+02,1.91806895e+02,2.00744319e+02,3.50349817e+02,5.93126923e+02,9.12447574e+02
53219.00972222,1.54579812,1.76143505,-0.96871939,1.31873814e+04,7.94390523e+03,6.10947156e+03,2.48667020e+03,6.61764986e+02,2.70531831e+02,1.70023228e+02,1.95574177e+02,2.04687141e+02,3.57231044e+02,6.04776539e+02,9.30368973e+02
53219.01041667,1.54225483,1.80820850,-0.96340360,1.34437049e+04,8.09831115e+03,6.22822155e+03,2.53500368e+03,6.74627732e+02,2.75790166e+02,1.73327975e+02,1.99375559e+02,2.08665651e+02,3.64174555e+02,6.16531599e+02,9.48452583e+02
53219.01111111,1.53820426,1.85438693,-0.95777059,1.37020771e+04,8.25395116e+03,6.34792063e+03,2.58372347e+03,6.87593283e+02,2.81090529e+02,1.76659134e+02,2.03207322e+02,2.12675960e+02,3.71173561e+02,6.28380611e+02,9.66680725e+02
53219.01180556,1.53366367,1.89997504,-0.95183246,1.39623907e+04,8.41076063e+03,6.46851912e+03,2.63280933e+03,7.00656256e+02,2.86430717e+02,1.80015324e+02,2.07067877e+02,2.16716401e+02,3.78225157e+02,6.40318654e+02,9.85045831e+02
53219.01250000,1.52865033,1.94497724,-0.94560083,1.42271456e+04,8.57024552e+03,6.59117522e+03,2.68273267e+03,7.13942104e+02,2.91862018e+02,1.83428776e+02,2.10994299e+02,2.20825778e+02,3.85397065e+02,6.52460380e+02,1.00372428e+03
53219.01319444,1.52318025,1.98939854,-0.93908636,1.44893874e+04,8.72821652e+03,6.71266702e+03,2.73218213e+03,7.27101838e+02,2.97241763e+02,1.86809826e+02,2.14883451e+02,2.24896148e+02,3.92500894e+02,6.64486852e+02,1.02222542e+03
53219.01388889,1.51726880,2.03324350,-0.93229988,1.48169930e+04,8.84341182e+03,6.83944923e+03,2.90652183e+03,7.57667186e+02,3.16354783e+02,1.93678893e+02,2.23333140e+02,2.42941509e+02,4.31241038e+02,7.31380870e+02,1.12620511e+03
53219.01458333,1.51093106,2.07651714,-0.92525113,1.51771351e+04,8.93839173e+03,6.96919262e+03,3.14155269e+03,7.96711385e+02,3.42141379e+02,2.02249521e+02,2.34005861e+02,2.67773318e+02,4.85337313e+02,8.24906397e+02,1.27167346e+03
53219.01527778,1.50418085,2.11922432,-0.91794984,1.55387577e+04,9.03449446e+03,7.09969216e+03,3.37654621e+03,8.35790159e+02,3.67923503e+02,2.10831798e+02,2.44690441e+02,2.92591664e+02,5.39389718e+02,9.18353974e+02,1.41701888e+03
53219.01597222,1.49703211,2.16136976,-0.91040510,1.59018307e+04,9.13172594e+03,7.23094122e+03,3.61146369e+03,8.74897854e+02,3.93696900e+02,2.19424561e+02,2.55385378e+02,3.17392279e+02,5.93388677e+02,1.01170700e+03,1.56221553e+03
53219.01666667,1.48949758,2.20295831,-0.90262557,1.62663321e+04,9.23009396e+03,7.36293604e+03,3.84627227e+03,9.14029764e+02,4.19457959e+02,2.28026852e+02,2.66089433e+02,3.42171513e+02,6.47325971e+02,1.10495124e+03,1.70724121e+03
53219.01736111,1.48158981,2.24399485,-0.89462001,1.66322386e+04,9.32960554e+03,7.49567220e+03,4.08093857e+03,9.53181078e+02,4.45203009e+02,2.36637687e+02,2.76801334e+02,3.66925669e+02,7.01193280e+02,1.19807227e+03,1.85207346e+03
53219.01805556,1.47332072,2.28448440,-0.88639597,1.69639692e+04,9.45475759e+03,7.62663851e+03,4.24581780e+03,9.82668642e+02,4.63273507e+02,2.43319336e+02,2.84985565e+02,3.83856243e+02,7.37328745e+02,1.26043765e+03,1.94898894e+03
53219.01875000,1.46470178,2.32443150,-0.87796145,1.72494414e+04,9.61386366e+03,7.75498073e+03,4.31726705e+03,9.99205136e+02,4.71069543e+02,2.47413951e+02,2.89781345e+02,3.90315833e+02,7.49736624e+02,1.28164848e+03,1.98178681e+03
53219.01944444,1.45574413,2.36384103,-0.86932383,1.75366357e+04,9.77392953e+03,7.88409715e+03,4.38914732e+03,1.01584139e+03,4.78912607e+02,2.51533265e+02,2.94606055e+02,3.96814390e+02,7.62219351e+02,1.30298727e+03,2.01478254e+03
53219.02013889,1.44645844,2.40271786,-0.86049017,1.78255687e+04,9.93496445e+03,8.01399526e+03,4.46146276e+03,1.03257835e+03,4.86803155e+02,2.55677519e+02,2.99459974e+02,4.03352290e+02,7.74777651e+02,1.32445524e+03,2.04797803e+03
53219.02083333,1.43685460,2.44106636,-0.85146738,1.81162512e+04,1.00969745e+04,8.14467995e+03,4.53421609e+03,1.04941667e+03,4.94741482e+02,2.59846867e+02,3.04343285e+02,4.09929779e+02,7.87411995e+02,1.34605321e+03,2.08137452e+03
53219.02152778,1.42694265,2.47889157,-0.84226174,1.84087092e+04,1.02599740e+04,8.27616280e+03,4.60741377e+03,1.06635782e+03,5.02728293e+02,2.64041679e+02,3.09256421e+02,4.16547441e+02,8.00123504e+02,1.36778309e+03,2.11497499e+03
