# Irene Model output file: ../../unitTests/Legacy/CRRactive_atEpoch_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.01458333,1.51093106,2.07651714,-0.92525113,4.66978888e+10,2.46887369e+10,4.96972461e+09,1.16592873e+09,3.54608709e+08,1.18988707e+08,4.67194569e+07,1.65859564e+07,4.37944247e+06,1.08858928e+06
53219.01527778,1.50418085,2.11922432,-0.91794984,4.90302706e+10,2.59415027e+10,5.23239426e+09,1.22935038e+09,3.74062358e+08,1.25389354e+08,4.91616036e+07,1.74388531e+07,4.61282732e+06,1.14940083e+06
53219.01597222,1.49703211,2.16136976,-0.91040510,5.13626521e+10,2.71942682e+10,5.49506388e+09,1.29277203e+09,3.93516003e+08,1.31790000e+08,5.16037500e+07,1.82917496e+07,4.84621214e+06,1.21021237e+06
53219.01666667,1.48949758,2.20295831,-0.90262557,5.37186150e+10,2.84628391e+10,5.76423859e+09,1.35800674e+09,4.13546715e+08,1.38359711e+08,5.41062102e+07,1.91674597e+07,5.08458038e+06,1.27097558e+06
53219.01736111,1.48158981,2.24399485,-0.89462001,5.60981586e+10,2.97472148e+10,6.03991833e+09,1.42505451e+09,4.34154487e+08,1.45098484e+08,5.66689835e+07,2.00659831e+07,5.32793200e+06,1.33169045e+06
53219.01805556,1.47332072,2.28448440,-0.88639597,5.84777025e+10,3.10315907e+10,6.31559811e+09,1.49210229e+09,4.54762262e+08,1.51837258e+08,5.92317571e+07,2.09645067e+07,5.57128365e+06,1.39240532e+06
53219.01875000,1.46470178,2.32443150,-0.87796145,6.08572461e+10,3.23159665e+10,6.59127784e+09,1.55915006e+09,4.75370035e+08,1.58576031e+08,6.17945304e+07,2.18630301e+07,5.81463527e+06,1.45312019e+06
53219.01944444,1.45574413,2.36384103,-0.86932383,6.32367897e+10,3.36003422e+10,6.86695758e+09,1.62619783e+09,4.95977807e+08,1.65314804e+08,6.43573037e+07,2.27615535e+07,6.05798688e+06,1.51383505e+06
53219.02013889,1.44645844,2.40271786,-0.86049017,6.55840529e+10,3.48697653e+10,7.14144849e+09,1.69288473e+09,5.16368706e+08,1.71943202e+08,6.68652014e+07,2.36378261e+07,6.29220669e+06,1.57073107e+06
53219.02083333,1.43685460,2.44106636,-0.85146738,6.79506628e+10,3.61549353e+10,7.42284259e+09,1.76144685e+09,5.37302825e+08,1.78735322e+08,6.94325714e+07,2.45364462e+07,6.53121939e+06,1.62743371e+06
53219.02152778,1.42694265,2.47889157,-0.84226174,7.03689011e+10,3.74708056e+10,7.71232881e+09,1.83224507e+09,5.58997046e+08,1.85801541e+08,7.21142904e+07,2.54796650e+07,6.78415690e+06,1.68776184e+06
53219.02222222,1.41673201,2.51619773,-0.83287968,7.27871391e+10,3.87866757e+10,8.00181499e+09,1.90304329e+09,5.80691263e+08,1.92867760e+08,7.47960090e+07,2.64228838e+07,7.03709437e+06,1.74808996e+06
53219.02291667,1.40623164,2.55298955,-0.82332732,7.52053774e+10,4.01025460e+10,8.29130122e+09,1.97384152e+09,6.02385483e+08,1.99933979e+08,7.74777279e+07,2.73661026e+07,7.29003188e+06,1.80841809e+06
53219.02361111,1.39545046,2.58927141,-0.81361047,7.76236154e+10,4.14184161e+10,8.58078740e+09,2.04463973e+09,6.24079701e+08,2.07000198e+08,8.01594465e+07,2.83093214e+07,7.54296935e+06,1.86874621e+06
53219.02430556,1.38439666,2.62504771,-0.80373478,8.00076686e+10,4.27177653e+10,8.86829648e+09,2.11487681e+09,6.45464778e+08,2.13943274e+08,8.27915219e+07,2.92310216e+07,7.78689807e+06,1.92651232e+06
53219.02500000,1.37307870,2.66032286,-0.79370542,8.23945109e+10,4.40225435e+10,9.15965084e+09,2.18612719e+09,6.67065161e+08,2.20951657e+08,8.54529056e+07,3.01617804e+07,8.03103772e+06,1.98408507e+06
53219.02569444,1.36150411,2.69510108,-0.78352791,8.48183276e+10,4.53492722e+10,9.45682765e+09,2.25895203e+09,6.89189997e+08,2.28148493e+08,8.81932415e+07,3.11231163e+07,8.28439713e+06,2.04402649e+06
53219.02638889,1.34968075,2.72938677,-0.77320693,8.72421448e+10,4.66760011e+10,9.75400451e+09,2.33177687e+09,7.11314836e+08,2.35345329e+08,9.09335778e+07,3.20844524e+07,8.53775658e+06,2.10396792e+06
53219.02708333,1.33761568,2.76318386,-0.76274752,8.96659616e+10,4.80027298e+10,1.00511813e+10,2.40460171e+09,7.33439671e+08,2.42542165e+08,9.36739137e+07,3.30457883e+07,8.79111600e+06,2.16390935e+06
53219.02777778,1.32531611,2.79649642,-0.75215438,9.20590072e+10,4.93134712e+10,1.03456186e+10,2.47660699e+09,7.55146944e+08,2.49603436e+08,9.63671845e+07,3.39836839e+07,9.03433576e+06,2.22186883e+06
53219.02847222,1.31278896,2.82932870,-0.74143207,9.44212809e+10,5.06082248e+10,1.06373163e+10,2.54779269e+09,7.76436649e+08,2.56529140e+08,9.90133893e+07,3.48981389e+07,9.26741579e+06,2.27784634e+06
53219.02916667,1.30004065,2.86168446,-0.73058466,9.67835549e+10,5.19029786e+10,1.09290140e+10,2.61897840e+09,7.97726356e+08,2.63454845e+08,1.01659594e+08,3.58125941e+07,9.50049585e+06,2.33382387e+06
53219.02986111,1.28707747,2.89356762,-0.71961671,9.91946003e+10,5.32269680e+10,1.12286475e+10,2.69235187e+09,8.19745823e+08,2.70648312e+08,1.04419811e+08,3.67709359e+07,9.74681221e+06,2.39328185e+06
53219.03055556,1.27390601,2.92498195,-0.70853199,1.01654418e+11,5.45801933e+10,1.15362167e+10,2.76791311e+09,8.42495055e+08,2.78109541e+08,1.07294040e+08,3.77731645e+07,1.00063649e+07,2.45622031e+06
53219.03125000,1.26053177,2.95593122,-0.69733473,1.04114235e+11,5.59334185e+10,1.18437859e+10,2.84347434e+09,8.65244284e+08,2.85570769e+08,1.10168269e+08,3.87753930e+07,1.02659177e+07,2.51915877e+06
53219.03194444,1.24696101,2.98641920,-0.68602853,1.06541767e+11,5.72714466e+10,1.21482541e+10,2.91792651e+09,8.87430462e+08,2.92849947e+08,1.12981196e+08,3.97489458e+07,1.05144430e+07,2.57997028e+06
53219.03263889,1.23319893,3.01644949,-0.67461718,1.08937015e+11,5.85942778e+10,1.24496212e+10,2.99126965e+09,9.09053592e+08,2.99947075e+08,1.15732824e+08,4.06938229e+07,1.07519411e+07,2.63865486e+06
53219.03333333,1.21925132,3.04602571,-0.66310412,1.11332262e+11,5.99171089e+10,1.27509883e+10,3.06461277e+09,9.30676718e+08,3.07044202e+08,1.18484451e+08,4.16386999e+07,1.09894392e+07,2.69733943e+06
53219.03402778,1.20512321,3.07515099,-0.65149297,1.13727509e+11,6.12399401e+10,1.30523555e+10,3.13795591e+09,9.52299848e+08,3.14141329e+08,1.21236078e+08,4.25835770e+07,1.12269372e+07,2.75602401e+06
53219.03472222,1.19081978,3.10382911,-0.63978701,1.16162836e+11,6.25866756e+10,1.33602630e+10,3.21312350e+09,9.74523441e+08,3.21460922e+08,1.24082670e+08,4.35649197e+07,1.14750202e+07,2.81756063e+06
53219.03541667,1.17634606,3.13206335,-0.62798955,1.18638245e+11,6.39573159e+10,1.36747111e+10,3.29011557e+09,9.97347503e+08,3.29002981e+08,1.27024229e+08,4.45827284e+07,1.17336882e+07,2.88194929e+06
53219.03611111,1.16170690,3.15985701,-0.61610356,1.21086411e+11,6.53129547e+10,1.39854860e+10,3.36566648e+09,1.01953441e+09,3.36315891e+08,1.29880639e+08,4.55686384e+07,1.19834850e+07,2.94479107e+06
53219.03680556,1.14690686,3.18721324,-0.60413250,1.23507337e+11,6.66535926e+10,1.42925878e+10,3.43977625e+09,1.04108417e+09,3.43399654e+08,1.32651901e+08,4.65226502e+07,1.22244108e+07,3.00608598e+06
