# Irene Model output file: ../../unitTests/Legacy/Ax8min_NatEpochSaa_Diff.AP8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Min
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.00694444,1.55451077,1.56830628,-0.98654759,2.16795733e+11,8.23671767e+10,2.27034036e+10,7.32392713e+09,2.74498760e+09,1.42718762e+09,4.02061045e+07,4.32427310e+05,2.35769770e+04,2.60902376e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,2.42622684e+11,9.24744799e+10,2.54832332e+10,8.24924696e+09,3.08662233e+09,1.61139139e+09,4.50566438e+07,4.79159223e+05,2.58600721e+04,2.82300320e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,2.68585560e+11,1.03117084e+11,2.83156982e+10,9.21908975e+09,3.44420158e+09,1.80280801e+09,5.00284022e+07,5.26555722e+05,2.81463157e+04,3.02841631e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,2.94646557e+11,1.14276530e+11,3.11967371e+10,1.02215340e+10,3.82310317e+09,2.00182624e+09,5.51027627e+07,5.74619449e+05,3.04278809e+04,3.22500097e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,3.20862821e+11,1.25933647e+11,3.41225778e+10,1.12501639e+10,4.22229135e+09,2.20965445e+09,6.03055236e+07,6.23406625e+05,3.26976418e+04,3.41292987e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,3.47853650e+11,1.37970621e+11,3.71447358e+10,1.23016488e+10,4.63940473e+09,2.42712382e+09,6.56811718e+07,6.72950547e+05,3.49530604e+04,3.59341419e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,3.76222749e+11,1.50226792e+11,4.03291873e+10,1.33739708e+10,5.07250768e+09,2.65423398e+09,7.12305871e+07,7.22918973e+05,3.71832203e+04,3.76720843e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,4.06002731e+11,1.62580683e+11,4.36968366e+10,1.44659860e+10,5.51916949e+09,2.89063326e+09,7.69333628e+07,7.72501648e+05,3.93657210e+04,3.93330146e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,4.37146663e+11,1.74951077e+11,4.72527123e+10,1.55764380e+10,5.97720737e+09,3.13583181e+09,8.27624953e+07,8.21075365e+05,4.14806995e+04,4.09031179e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,4.69621952e+11,1.87314433e+11,5.09841079e+10,1.67085719e+10,6.44529952e+09,3.38932700e+09,8.87001809e+07,8.68583826e+05,4.35234668e+04,4.16652809e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,5.03239235e+11,1.99728313e+11,5.48694319e+10,1.78707148e+10,6.92226057e+09,3.65063230e+09,9.47331010e+07,9.15044274e+05,4.54978592e+04,4.16652809e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,5.37727108e+11,2.12288753e+11,5.88747355e+10,1.90785973e+10,7.40690795e+09,3.91924118e+09,1.00847946e+08,9.60445375e+05,4.74121855e+04,4.16652809e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,5.72779044e+11,2.25110955e+11,6.29636081e+10,2.03501441e+10,7.89815161e+09,4.19468431e+09,1.07032819e+08,1.00481006e+06,4.92702184e+04,4.16652809e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
