# Irene Model output file: ../../unitTests/Legacy/CRRactive_NatEpoch_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.01388889,1.51726880,2.03324350,-0.93229988,4.30642496e+10,2.27998026e+10,4.59990643e+09,1.08064250e+09,3.27114471e+08,1.07818957e+08,4.14882098e+07,1.44559586e+07,3.79134513e+06,9.53865848e+05
53219.01458333,1.51093106,2.07651714,-0.92525113,4.53465386e+10,2.40271477e+10,4.86098754e+09,1.14369962e+09,3.46359599e+08,1.14062086e+08,4.38448386e+07,1.52743375e+07,4.00960686e+06,1.00781312e+06
53219.01527778,1.50418085,2.11922432,-0.91794984,4.76288279e+10,2.52544929e+10,5.12206869e+09,1.20675676e+09,3.65604731e+08,1.20305215e+08,4.62014678e+07,1.60927166e+07,4.22786862e+06,1.06176040e+06
53219.01597222,1.49703211,2.16136976,-0.91040510,4.99111169e+10,2.64818379e+10,5.38314979e+09,1.26981388e+09,3.84849860e+08,1.26548343e+08,4.85580966e+07,1.69110955e+07,4.44613036e+06,1.11570768e+06
53219.01666667,1.48949758,2.20295831,-0.90262557,5.21934062e+10,2.77091831e+10,5.64423094e+09,1.33287101e+09,4.04094991e+08,1.32791473e+08,5.09147257e+07,1.77294745e+07,4.66439212e+06,1.16965496e+06
53219.01736111,1.48158981,2.24399485,-0.89462001,5.44440607e+10,2.89219817e+10,5.90414553e+09,1.39558963e+09,4.23139609e+08,1.38931590e+08,5.32200938e+07,1.85277176e+07,4.87468803e+06,1.22026677e+06
53219.01805556,1.47332072,2.28448440,-0.88639597,5.67110619e+10,3.01483429e+10,6.17017061e+09,1.45994270e+09,4.42648675e+08,1.45209156e+08,5.55736586e+07,1.93437822e+07,5.08839706e+06,1.27044354e+06
53219.01875000,1.46470178,2.32443150,-0.87796145,5.90260439e+10,3.14028128e+10,6.44347261e+09,1.52626872e+09,4.62822696e+08,1.51727177e+08,5.80266800e+07,2.01978037e+07,5.31348499e+06,1.32352070e+06
53219.01944444,1.45574413,2.36384103,-0.86932383,6.13410259e+10,3.26572828e+10,6.71677462e+09,1.59259474e+09,4.82996717e+08,1.58245199e+08,6.04797015e+07,2.10518251e+07,5.53857292e+06,1.37659786e+06
53219.02013889,1.44645844,2.40271786,-0.86049017,6.36560082e+10,3.39117529e+10,6.99007666e+09,1.65892076e+09,5.03170741e+08,1.64763221e+08,6.29327233e+07,2.19058467e+07,5.76366089e+06,1.42967503e+06
53219.02083333,1.43685460,2.44106636,-0.85146738,6.59709901e+10,3.51662229e+10,7.26337866e+09,1.72524678e+09,5.23344761e+08,1.71281242e+08,6.53857448e+07,2.27598682e+07,5.98874882e+06,1.48275220e+06
53219.02152778,1.42694265,2.47889157,-0.84226174,6.82533377e+10,3.64052423e+10,7.53484997e+09,1.79105009e+09,5.43236064e+08,1.77686044e+08,6.77930459e+07,2.35944191e+07,6.20600279e+06,1.53360573e+06
53219.02222222,1.41673201,2.51619773,-0.83287968,7.05531278e+10,3.76584404e+10,7.81243619e+09,1.85852834e+09,5.63578318e+08,1.84241800e+08,7.02650518e+07,2.44520500e+07,6.42817270e+06,1.58552271e+06
