# Irene Model output file: ../../unitTests/Legacy/Ax8max_atEpoch_Intg.AE8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00763889,1.55319249,1.61750188,-0.98263373,1.35148193e+10,1.04369301e+10,8.06002510e+09,2.97956681e+09,1.37472588e+09,7.92049978e+08,5.05858736e+08,2.47872023e+08,1.22778485e+08,6.04047568e+07,2.75447452e+07,1.16778689e+07,4.24041672e+06,1.29614535e+06,3.63951082e+05,8.16973339e+04,1.54823896e+04,2.86770570e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,1.50989158e+10,1.16664560e+10,9.01434412e+09,3.33755475e+09,1.54100325e+09,8.87496331e+08,5.66697009e+08,2.78534050e+08,1.37757376e+08,6.77035779e+07,3.08702736e+07,1.30441786e+07,4.71417424e+06,1.43296743e+06,4.00425884e+05,8.96251296e+04,1.68612581e+04,3.12220908e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,1.67374253e+10,1.29403619e+10,1.00047782e+10,3.71152134e+09,1.71381484e+09,9.86559089e+08,6.30011842e+08,3.10777675e+08,1.53342500e+08,7.53270321e+07,3.43070191e+07,1.44504496e+07,5.20035723e+06,1.57293429e+06,4.37394595e+05,9.76094889e+04,1.82330716e+04,3.37508318e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,1.84294543e+10,1.42581515e+10,1.10311014e+10,4.10163453e+09,1.89314467e+09,1.08921579e+09,6.95806086e+08,3.44642433e+08,1.69534187e+08,8.32783926e+07,3.78528293e+07,1.58953200e+07,5.69838543e+06,1.71584784e+06,4.74785375e+05,1.05632884e+05,1.95944932e+04,3.62568561e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,2.01740251e+10,1.56192062e+10,1.20929508e+10,4.50795087e+09,2.07894669e+09,1.19543002e+09,7.64069385e+08,3.80153278e+08,1.86329611e+08,9.15586729e+07,4.15054501e+07,1.73775386e+07,6.20775521e+06,1.86154411e+06,5.12544912e+05,1.13683202e+05,2.09435816e+04,3.87364751e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,2.19696825e+10,1.70224210e+10,1.31894930e+10,4.93021688e+09,2.27107979e+09,1.30511842e+09,8.34751881e+08,4.17296687e+08,2.03716408e+08,1.00162626e+08,4.52617926e+07,1.88958200e+07,6.72802750e+06,2.00990114e+06,5.50648818e+05,1.21757128e+05,2.22807100e+04,4.11905153e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,2.38151545e+10,1.84669368e+10,1.43201664e+10,5.36840401e+09,2.46946244e+09,1.41822503e+09,9.07829877e+08,4.56089964e+08,2.21688463e+08,1.09089546e+08,4.91190102e+07,2.04487072e+07,7.25863799e+06,2.16074099e+06,5.89042862e+05,1.29842748e+05,2.36040781e+04,4.36156130e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,2.57097881e+10,1.99524306e+10,1.54848731e+10,5.82272749e+09,2.67410024e+09,1.53474003e+09,9.83314087e+08,4.96578189e+08,2.40248028e+08,1.18343657e+08,5.30754696e+07,2.20351000e+07,7.79911199e+06,2.31390137e+06,6.27669620e+05,1.37926452e+05,2.49112803e+04,4.60072326e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,2.76519110e+10,2.14769571e+10,1.66815952e+10,6.29219004e+09,2.88481904e+09,1.65457479e+09,1.06111606e+09,5.38525733e+08,2.59353884e+08,1.27897048e+08,5.71238646e+07,2.36518954e+07,8.34796308e+06,2.46903858e+06,6.66472238e+05,1.45998329e+05,2.62052699e+04,4.83600181e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,2.96401130e+10,2.30381438e+10,1.79074788e+10,6.77519561e+09,3.10147130e+09,1.77766549e+09,1.14113584e+09,5.81529355e+08,2.78946478e+08,1.37706033e+08,6.12544716e+07,2.52949235e+07,8.90302666e+06,2.62567577e+06,7.05374995e+05,1.54044105e+05,2.74907857e+04,5.06639437e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,3.16766265e+10,2.46371703e+10,1.91629998e+10,7.27197368e+09,3.32443693e+09,1.90422092e+09,1.22349747e+09,6.25477256e+08,2.99032268e+08,1.47769230e+08,6.54671203e+07,2.69631155e+07,9.46326740e+06,2.78354461e+06,7.44293940e+05,1.62040386e+05,2.87665414e+04,5.29064530e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,3.37654341e+10,2.62771623e+10,2.04506121e+10,7.78351708e+09,3.55416412e+09,2.03449394e+09,1.30836688e+09,6.70455064e+08,3.19650837e+08,1.58106561e+08,6.97700126e+07,2.86597335e+07,1.00298116e+07,2.94296394e+06,7.83314457e+05,1.70006153e+05,3.00350051e+04,5.50917358e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,3.59081184e+10,2.79593660e+10,2.17712965e+10,8.31012190e+09,3.79077845e+09,2.16856034e+09,1.39578972e+09,7.16501351e+08,3.40816660e+08,1.68724924e+08,7.41673110e+07,3.03868837e+07,1.06036047e+07,3.10422046e+06,8.22533597e+05,1.77967207e+05,3.13003305e+04,5.72285748e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,3.81038539e+10,2.96831302e+10,2.31245397e+10,8.85168400e+09,4.03423995e+09,2.30639131e+09,1.48575185e+09,7.63594166e+08,3.62522366e+08,1.79620958e+08,7.86565723e+07,3.21433554e+07,1.11841599e+07,3.26717272e+06,8.61913174e+05,1.85915778e+05,3.25617907e+04,5.93166461e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,4.03514381e+10,3.14475091e+10,2.45095969e+10,9.40795548e+09,4.28444070e+09,2.44792234e+09,1.57821370e+09,8.11705852e+08,3.84756425e+08,1.90789027e+08,8.32350336e+07,3.39279964e+07,1.17710918e+07,3.43171360e+06,9.01430411e+05,1.93848376e+05,3.38188975e+04,6.13584716e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01805556,1.47332072,2.28448440,-0.88639597,4.26498140e+10,3.32516679e+10,2.59258089e+10,9.97876839e+09,4.54131201e+09,2.59310849e+09,1.67315036e+09,8.60809667e+08,4.07509091e+08,2.02224574e+08,8.78998396e+07,3.57394618e+07,1.23638832e+07,3.59769429e+06,9.41046666e+05,2.01757249e+05,3.50704415e+04,6.33547607e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01875000,1.46470178,2.32443150,-0.87796145,4.49983540e+10,3.50951100e+10,2.73727840e+10,1.05640604e+10,4.80483278e+09,2.74193186e+09,1.77055447e+09,9.10888253e+08,4.30774862e+08,2.13925161e+08,9.26490292e+07,3.75767671e+07,1.29621408e+07,3.76500116e+06,9.80732314e+05,2.09636563e+05,3.63155193e+04,6.53057468e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
