# Legacy Model output file: ../../unitTests/Legacy/CRRquiet_NatEpoch_Intg.CRRESELE.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.50277778,1.55134512,1.63785676,-0.97253955,3.16898018e+02,2.21742600e+02,4.80915494e+01,3.32050994e+01,3.19065005e+01,2.60059014e+01,1.68385003e+01,1.00851003e+01,5.48140006e+00,1.53284997e+00
53219.50347222,1.54922244,1.68624435,-0.96790934,3.59553337e+02,2.69775718e+02,8.18667263e+01,4.76868488e+01,4.22850512e+01,3.50828506e+01,2.43346505e+01,1.57654509e+01,8.59189965e+00,2.25637504e+00
53219.50416667,1.54654037,1.73402310,-0.96292928,3.59553337e+02,2.69775718e+02,8.18667263e+01,4.76868488e+01,4.22850512e+01,3.50828506e+01,2.43346505e+01,1.57654509e+01,8.59189965e+00,2.25637504e+00
53219.50486111,1.54331868,1.78119711,-0.95761332,4.05804724e+02,3.10661763e+02,1.03050798e+02,6.07474521e+01,5.23308516e+01,4.19794507e+01,3.05414498e+01,2.06596497e+01,1.10831745e+01,2.89574987e+00
53219.50555556,1.53957669,1.82777075,-0.95197420,4.13926423e+02,3.17195743e+02,1.05934754e+02,6.27707541e+01,5.41465506e+01,4.35143523e+01,3.17345522e+01,2.15293504e+01,1.15859006e+01,3.03682499e+00
53219.50625000,1.53533290,1.87374859,-0.94602461,4.58794385e+02,3.59359294e+02,1.29598677e+02,7.32511505e+01,6.10441491e+01,4.95329499e+01,3.67277488e+01,2.44289488e+01,1.20180491e+01,2.87677487e+00
53219.50694444,1.53060460,1.91913517,-0.93977649,4.58794385e+02,3.59359294e+02,1.29598677e+02,7.32511505e+01,6.10441491e+01,4.95329499e+01,3.67277488e+01,2.44289488e+01,1.20180491e+01,2.87677487e+00
53219.50763889,1.52540856,1.96393537,-0.93324083,5.72721779e+02,4.41515207e+02,1.52800605e+02,8.46426040e+01,6.52762055e+01,5.28434031e+01,3.97207998e+01,2.55240016e+01,1.18707754e+01,2.92957504e+00
53219.50833333,1.51976064,2.00815404,-0.92642877,5.72721779e+02,4.41515207e+02,1.52800605e+02,8.46426040e+01,6.52762055e+01,5.28434031e+01,3.97207998e+01,2.55240016e+01,1.18707754e+01,2.92957504e+00
53219.50902778,1.51367639,2.05179605,-0.91935051,9.48802352e+02,6.96714997e+02,1.99803412e+02,1.09483652e+02,7.68786520e+01,6.17540516e+01,4.57140505e+01,2.80750506e+01,1.22817997e+01,2.99887499e+00
53219.50972222,1.50717008,2.09486627,-0.91201579,9.48802352e+02,6.96714997e+02,1.99803412e+02,1.09483652e+02,7.68786520e+01,6.17540516e+01,4.57140505e+01,2.80750506e+01,1.22817997e+01,2.99887499e+00
53219.51041667,1.50025600,2.13736957,-0.90443417,9.48802352e+02,6.96714997e+02,1.99803412e+02,1.09483652e+02,7.68786520e+01,6.17540516e+01,4.57140505e+01,2.80750506e+01,1.22817997e+01,2.99887499e+00
53219.51111111,1.49294733,2.17931080,-0.89661477,8.99388254e+02,7.02194214e+02,2.77938873e+02,1.55539051e+02,9.43086520e+01,7.00532496e+01,5.01800478e+01,2.90984493e+01,1.18127503e+01,2.84212478e+00
53219.51180556,1.48525709,2.22069500,-0.88856589,8.99388254e+02,7.02194214e+02,2.77938873e+02,1.55539051e+02,9.43086520e+01,7.00532496e+01,5.01800478e+01,2.90984493e+01,1.18127503e+01,2.84212478e+00
53219.51250000,1.47719739,2.26152718,-0.88029602,1.28803968e+03,1.02072787e+03,4.05810952e+02,2.11011246e+02,1.19360849e+02,7.90044516e+01,5.35528511e+01,2.90778503e+01,1.08625004e+01,2.65897508e+00
53219.51319444,1.46878029,2.30181206,-0.87181300,1.30243635e+03,1.03268111e+03,4.11636293e+02,2.14419499e+02,1.21499501e+02,8.05326998e+01,5.46537004e+01,2.97267009e+01,1.11373253e+01,2.73157493e+00
53219.51388889,1.46001711,2.34155450,-0.86312437,1.67779994e+03,1.36331165e+03,5.34698367e+02,2.46319503e+02,1.46075308e+02,8.88975039e+01,5.56699000e+01,2.83259004e+01,9.89264995e+00,2.50470010e+00
53219.51458333,1.45091851,2.38075935,-0.85423751,1.67779994e+03,1.36331165e+03,5.34698367e+02,2.46319503e+02,1.46075308e+02,8.88975039e+01,5.56699000e+01,2.83259004e+01,9.89264995e+00,2.50470010e+00
53219.51527778,1.44149532,2.41943135,-0.84515947,2.50418425e+03,1.94237041e+03,6.41149580e+02,2.87096858e+02,1.67126253e+02,9.59348530e+01,5.53098507e+01,2.65746508e+01,8.85565020e+00,2.29432504e+00
53219.51597222,1.43175728,2.45757518,-0.83589685,2.50418425e+03,1.94237041e+03,6.41149580e+02,2.87096858e+02,1.67126253e+02,9.59348530e+01,5.53098507e+01,2.65746508e+01,8.85565020e+00,2.29432504e+00
53219.51666667,1.42171443,2.49519557,-0.82645593,3.59829473e+03,2.94347286e+03,1.07325792e+03,3.75503957e+02,1.93960950e+02,1.05142556e+02,5.57771549e+01,2.57723518e+01,8.23787600e+00,2.10210006e+00
53219.51736111,1.41137588,2.53229721,-0.81684329,3.62414908e+03,2.96540761e+03,1.08259511e+03,3.79274905e+02,1.96071699e+02,1.06423102e+02,5.65207005e+01,2.61495002e+01,8.37880000e+00,2.14004982e+00
53219.51805556,1.40075057,2.56888451,-0.80706445,4.35033751e+03,3.71262074e+03,1.45783556e+03,4.52855229e+02,2.34300613e+02,1.16917804e+02,5.73718026e+01,2.57554017e+01,7.95240048e+00,1.91069988e+00
53219.51875000,1.38984728,2.60496202,-0.79712550,4.35033751e+03,3.71262074e+03,1.45783556e+03,4.52855229e+02,2.34300613e+02,1.16917804e+02,5.73718026e+01,2.57554017e+01,7.95240048e+00,1.91069988e+00
53219.51944444,1.37867435,2.64053412,-0.78703196,4.35033751e+03,3.71262074e+03,1.45783556e+03,4.52855229e+02,2.34300613e+02,1.16917804e+02,5.73718026e+01,2.57554017e+01,7.95240048e+00,1.91069988e+00
53219.52013889,1.36723992,2.67560522,-0.77678883,6.25555420e+03,5.30295372e+03,2.06838322e+03,6.28734827e+02,2.85766214e+02,1.28393203e+02,5.86665981e+01,2.52435990e+01,7.50409998e+00,1.70609995e+00
53219.52083333,1.35555154,2.71017956,-0.76640146,6.25555420e+03,5.30295372e+03,2.06838322e+03,6.28734827e+02,2.85766214e+02,1.28393203e+02,5.86665981e+01,2.52435990e+01,7.50409998e+00,1.70609995e+00
53219.52152778,1.34361674,2.74426152,-0.75587487,8.59234905e+03,7.15966463e+03,2.64833665e+03,7.66696155e+02,3.30563366e+02,1.40426561e+02,6.07877523e+01,2.48015523e+01,7.18140043e+00,1.51882507e+00
53219.52222222,1.33144290,2.77785504,-0.74521362,8.62127113e+03,7.18459558e+03,2.65939999e+03,7.70923376e+02,3.32446754e+02,1.41235948e+02,6.11823499e+01,2.49761511e+01,7.23207509e+00,1.53120002e+00
53219.52291667,1.31903707,2.81096434,-0.73442240,9.47837257e+03,8.13220501e+03,3.22868967e+03,8.81814718e+02,3.67361724e+02,1.51443705e+02,6.34553060e+01,2.43683010e+01,7.02320039e+00,1.39424996e+00
53219.52361111,1.30640570,2.84359351,-0.72350578,9.47837257e+03,8.13220501e+03,3.22868967e+03,8.81814718e+02,3.67361724e+02,1.51443705e+02,6.34553060e+01,2.43683010e+01,7.02320039e+00,1.39424996e+00
53219.52430556,1.29355569,2.87574648,-0.71246782,1.32274818e+04,1.10593672e+04,4.12655401e+03,1.08124173e+03,4.05265152e+02,1.62296355e+02,6.60561472e+01,2.39909496e+01,6.85490016e+00,1.26802491e+00
53219.52500000,1.28049300,2.90742702,-0.70131278,1.32274818e+04,1.10593672e+04,4.12655401e+03,1.08124173e+03,4.05265152e+02,1.62296355e+02,6.60561472e+01,2.39909496e+01,6.85490016e+00,1.26802491e+00
53219.52569444,1.26722407,2.93863903,-0.69004473,1.32274818e+04,1.10593672e+04,4.12655401e+03,1.08124173e+03,4.05265152e+02,1.62296355e+02,6.60561472e+01,2.39909496e+01,6.85490016e+00,1.26802491e+00
53219.52638889,1.25375471,2.96938630,-0.67866760,1.59646425e+04,1.35218697e+04,5.21366644e+03,1.24999464e+03,4.37690049e+02,1.68940052e+02,6.73774481e+01,2.32246500e+01,6.62129978e+00,1.16737490e+00
53219.52708333,1.24009072,2.99967243,-0.66718499,1.59646425e+04,1.35218697e+04,5.21366644e+03,1.24999464e+03,4.37690049e+02,1.68940052e+02,6.73774481e+01,2.32246500e+01,6.62129978e+00,1.16737490e+00
53219.52777778,1.22623744,3.02950119,-0.65560051,1.84933052e+04,1.56062937e+04,6.12582541e+03,1.46332526e+03,4.74653423e+02,1.73579216e+02,6.75734058e+01,2.24074014e+01,6.44072518e+00,1.09642500e+00
53219.52847222,1.21220053,3.05887604,-0.64391779,1.84933052e+04,1.56062937e+04,6.12582541e+03,1.46332526e+03,4.74653423e+02,1.73579216e+02,6.75734058e+01,2.24074014e+01,6.44072518e+00,1.09642500e+00
53219.52916667,1.19798515,3.08780057,-0.63214026,2.22213726e+04,1.86735210e+04,7.32117796e+03,1.62664688e+03,5.07115424e+02,1.76158398e+02,6.66370019e+01,2.14585997e+01,6.18877495e+00,1.03207491e+00
53219.52986111,1.18359634,3.11627794,-0.62027122,2.21553230e+04,1.86166496e+04,7.29711866e+03,1.61977506e+03,5.04540622e+02,1.75146207e+02,6.62107989e+01,2.13013999e+01,6.13790005e+00,1.02299999e+00
