# Legacy Model output file: ../../unitTests/Legacy/CammiceAll_PaOmni.CAMMICE.output_mean_He+_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         He+
# Flux type:                Differential
# Flux direction:           Omnidirectional
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/keV)
53219.01180556,1.53366367,1.89997504,-0.95183246,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.09931398e+04,4.95651594e+03,1.09111517e+03,4.74766473e+02,3.92403750e+02,2.67220526e+02,1.63707386e+02
53219.01250000,1.52865033,1.94497724,-0.94560083,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.14541754e+04,5.06745563e+03,1.10925019e+03,4.82042273e+02,4.01167143e+02,2.72131803e+02,1.66890260e+02
53219.01319444,1.52318025,1.98939854,-0.93908636,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.19076577e+04,5.17657773e+03,1.12708809e+03,4.89198868e+02,4.09786960e+02,2.76962616e+02,1.70020987e+02
53219.01388889,1.51726880,2.03324350,-0.93229988,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.23608823e+04,5.28563784e+03,1.14491585e+03,4.96351399e+02,4.18401880e+02,2.81790685e+02,1.73149937e+02
53219.01458333,1.51093106,2.07651714,-0.92525113,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.28137535e+04,5.39461290e+03,1.16272971e+03,5.03498352e+02,4.27010083e+02,2.86614989e+02,1.76276446e+02
53219.01527778,1.50418085,2.11922432,-0.91794984,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.32661729e+04,5.50347925e+03,1.18052580e+03,5.10638175e+02,4.35609697e+02,2.91434479e+02,1.79399835e+02
53219.01597222,1.49703211,2.16136976,-0.91040510,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.37180610e+04,5.61221775e+03,1.19830099e+03,5.17769613e+02,4.44199212e+02,2.96248311e+02,1.82519557e+02
53219.01666667,1.48949758,2.20295831,-0.90262557,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.41693499e+04,5.72081207e+03,1.21605262e+03,5.24891596e+02,4.52777339e+02,3.01055759e+02,1.85635143e+02
53219.01736111,1.48158981,2.24399485,-0.89462001,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.46199711e+04,5.82924571e+03,1.23377798e+03,5.32003041e+02,4.61342773e+02,3.05856094e+02,1.88746118e+02
53219.01805556,1.47332072,2.28448440,-0.88639597,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.50698921e+04,5.93751087e+03,1.25147579e+03,5.39103436e+02,4.69894898e+02,3.10648971e+02,1.91852260e+02
53219.01875000,1.46470178,2.32443150,-0.87796145,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.55190600e+04,6.04559479e+03,1.26914398e+03,5.46191945e+02,4.78432707e+02,3.15433824e+02,1.94953202e+02
53219.01944444,1.45574413,2.36384103,-0.86932383,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.59674406e+04,6.15348929e+03,1.28678121e+03,5.53268031e+02,4.86955553e+02,3.20210292e+02,1.98048710e+02
53219.02013889,1.44645844,2.40271786,-0.86049017,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.64150078e+04,6.26118804e+03,1.30438643e+03,5.60331279e+02,4.95462936e+02,3.24978093e+02,2.01138602e+02
53219.02083333,1.43685460,2.44106636,-0.85146738,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.68617271e+04,6.36868277e+03,1.32195831e+03,5.67381146e+02,5.03954203e+02,3.29736863e+02,2.04222640e+02
53219.02152778,1.42694265,2.47889157,-0.84226174,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.73075879e+04,6.47597091e+03,1.33949642e+03,5.74417465e+02,5.12429151e+02,3.34486487e+02,2.07300751e+02
53219.02222222,1.41673201,2.51619773,-0.83287968,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.77525714e+04,6.58304795e+03,1.35700001e+03,5.81439939e+02,5.20887424e+02,3.39226766e+02,2.10372805e+02
53219.02291667,1.40623164,2.55298955,-0.82332732,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.81966646e+04,6.68991074e+03,1.37446859e+03,5.88448362e+02,5.29328773e+02,3.43957560e+02,2.13438713e+02
53219.02361111,1.39545046,2.58927141,-0.81361047,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.86398554e+04,6.79655639e+03,1.39190167e+03,5.95442544e+02,5.37752969e+02,3.48678741e+02,2.16498391e+02
53219.02430556,1.38439666,2.62504771,-0.80373478,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.90821357e+04,6.90298295e+03,1.40929893e+03,6.02422358e+02,5.46159859e+02,3.53390223e+02,2.19551783e+02
53219.02500000,1.37307870,2.66032286,-0.79370542,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.94768566e+04,7.00243836e+03,1.42557142e+03,6.08914706e+02,5.53275068e+02,3.57958916e+02,2.22298044e+02
53219.02569444,1.36150411,2.69510108,-0.78352791,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.98600258e+04,7.10013271e+03,1.44155940e+03,6.15284664e+02,5.60082417e+02,3.62487408e+02,2.24969385e+02
53219.02638889,1.34968075,2.72938677,-0.77320693,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.02423965e+04,7.19762349e+03,1.45751406e+03,6.21641348e+02,5.66875581e+02,3.67006465e+02,2.27635159e+02
53219.02708333,1.33761568,2.76318386,-0.76274752,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.06239598e+04,7.29490842e+03,1.47343504e+03,6.27984611e+02,5.73654401e+02,3.71515980e+02,2.30295305e+02
53219.02777778,1.32531611,2.79649642,-0.75215438,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.10047128e+04,7.39198673e+03,1.48932220e+03,6.34314401e+02,5.80418824e+02,3.76015917e+02,2.32949801e+02
53219.02847222,1.31278896,2.82932870,-0.74143207,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.13846558e+04,7.48885853e+03,1.50517557e+03,6.40630726e+02,5.87168858e+02,3.80506282e+02,2.35598650e+02
53219.02916667,1.30004065,2.86168446,-0.73058466,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.17637900e+04,7.58552411e+03,1.52099519e+03,6.46933605e+02,5.93904522e+02,3.84987087e+02,2.38241860e+02
53219.02986111,1.28707747,2.89356762,-0.71961671,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.21421113e+04,7.68198242e+03,1.53678088e+03,6.53222969e+02,6.00625744e+02,3.89458285e+02,2.40879402e+02
53219.03055556,1.27390601,2.92498195,-0.70853199,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.25196217e+04,7.77823399e+03,1.55253274e+03,6.59498853e+02,6.07332559e+02,3.93919899e+02,2.43511292e+02
53219.03125000,1.26053177,2.95593122,-0.69733473,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.28963167e+04,7.87427768e+03,1.56825059e+03,6.65761183e+02,6.14024890e+02,3.98371878e+02,2.46137497e+02
53219.03194444,1.24696101,2.98641920,-0.68602853,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.32721981e+04,7.97011391e+03,1.58393448e+03,6.72009986e+02,6.20702765e+02,4.02814241e+02,2.48758030e+02
53219.03263889,1.23319893,3.01644949,-0.67461718,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.36472632e+04,8.06574202e+03,1.59958431e+03,6.78245218e+02,6.27366138e+02,4.07246956e+02,2.51372871e+02
53219.03333333,1.21925132,3.04602571,-0.66310412,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.40215107e+04,8.16116165e+03,1.61520003e+03,6.84466858e+02,6.34014985e+02,4.11670007e+02,2.53982012e+02
53219.03402778,1.20512321,3.07515099,-0.65149297,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.43949335e+04,8.25637105e+03,1.63078134e+03,6.90674789e+02,6.40649182e+02,4.16083313e+02,2.56585405e+02
53219.03472222,1.19081978,3.10382911,-0.63978701,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.47675270e+04,8.35136897e+03,1.64632804e+03,6.96868932e+02,6.47268643e+02,4.20486816e+02,2.59183015e+02
53219.03541667,1.17634606,3.13206335,-0.62798955,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.51392879e+04,8.44615464e+03,1.66184000e+03,7.03049235e+02,6.53873315e+02,4.24880481e+02,2.61774821e+02
