# Irene Model output file: ../../unitTests/Legacy/Ax8min_NatEpoch_Diff.AE8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.00694444,1.55451077,1.56830628,-0.98654759,5.42099192e+10,3.35461446e+10,1.26916251e+10,3.38205361e+09,8.76304787e+08,2.89960858e+08,2.63326297e+08,1.00584529e+08,5.97554363e+07,2.03303751e+07,1.32793433e+07,8.86969086e+06,5.54772354e+06,2.53985160e+06,1.06960045e+06,2.66479425e+05,5.11202150e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,6.07588670e+10,3.76387407e+10,1.42495290e+10,3.81250621e+09,9.82435142e+08,3.32558324e+08,2.98201776e+08,1.13633004e+08,6.80462740e+07,2.30802095e+07,1.50931249e+07,1.00741424e+07,6.25822800e+06,2.85650961e+06,1.18851745e+06,2.96059278e+05,5.61450703e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,6.75122067e+10,4.18651240e+10,1.58621662e+10,4.26017709e+09,1.08963910e+09,3.79064662e+08,3.34664653e+08,1.27213057e+08,7.66564735e+07,2.60236623e+07,1.69845891e+07,1.13340116e+07,6.99222323e+06,3.18381070e+06,1.30951723e+06,3.26054922e+05,6.11493165e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,7.44646997e+10,4.62222301e+10,1.75285204e+10,4.72488829e+09,1.19770480e+09,4.29633385e+08,3.72711189e+08,1.41319657e+08,8.55816454e+07,2.91651673e+07,1.89532211e+07,1.26490925e+07,7.74918132e+06,3.52150543e+06,1.43247123e+06,3.56433031e+05,6.61295702e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,8.16118732e+10,5.07074469e+10,1.92477400e+10,5.20649278e+09,1.30644462e+09,4.84411864e+08,4.12339376e+08,1.55948735e+08,9.48181229e+07,3.25089802e+07,2.09986246e+07,1.40192328e+07,8.52865399e+06,3.86937969e+06,1.55727223e+06,3.87166095e+05,7.10835185e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,8.89472249e+10,5.53170239e+10,2.10186321e+10,5.70480206e+09,1.41558054e+09,5.43607903e+08,4.53548527e+08,1.71095184e+08,1.04361007e+08,3.60613595e+07,2.31203458e+07,1.54443280e+07,9.33000335e+06,4.22713615e+06,1.68374249e+06,4.18206973e+05,7.60039001e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,9.64635366e+10,6.00469112e+10,2.28399786e+10,6.21967421e+09,1.52476254e+09,6.07503123e+08,4.96347105e+08,1.86755489e+08,1.14205926e+08,3.98312918e+07,2.53182541e+07,1.69245829e+07,1.01525450e+07,4.59445810e+06,1.81165661e+06,4.49494632e+05,8.08794644e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,1.04154750e+11,6.48934611e+10,2.47104907e+10,6.75082760e+09,1.63379055e+09,6.76231767e+08,5.40720936e+08,2.02921351e+08,1.24346582e+08,4.38218886e+07,2.75913324e+07,1.84594010e+07,1.09956477e+07,4.97104628e+06,1.94089737e+06,4.81000371e+05,8.57084751e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,1.12015595e+11,6.98536594e+10,2.66292296e+10,7.29813693e+09,1.74240869e+09,7.50024859e+08,5.86674284e+08,2.19589537e+08,1.34779273e+08,4.80400636e+07,2.99393759e+07,2.00488220e+07,1.18587985e+07,5.35665612e+06,2.07132384e+06,5.12687312e+05,9.04861434e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,1.20044512e+11,7.49269204e+10,2.85969107e+10,7.86154621e+09,1.85156618e+09,8.28180538e+08,6.34186054e+08,2.36794659e+08,1.45499581e+08,5.24823048e+07,3.23649720e+07,2.16914059e+07,1.27418752e+07,5.75078853e+06,2.20277755e+06,5.44491057e+05,9.52212309e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
