# Legacy Model output file: ../../unitTests/Legacy/CRRquiet_NatEpochSaa_Diff.CRRESELE.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.01458333,1.51093106,2.07651714,-0.92525113,1.10781250e+04,2.39687500e+04,1.62812500e+04,3.19531298e+03,9.71679986e+02,2.40479007e+02,8.89889970e+01,1.20090004e+01,2.95299990e+00,4.14999988e-01
53219.01527778,1.50418085,2.11922432,-0.91794984,1.10781250e+04,2.39687500e+04,1.62812500e+04,3.19531298e+03,9.71679986e+02,2.40479007e+02,8.89889970e+01,1.20090004e+01,2.95299990e+00,4.14999988e-01
53219.01597222,1.49703211,2.16136976,-0.91040510,1.10781250e+04,2.39687500e+04,1.62812500e+04,3.19531298e+03,9.71679986e+02,2.40479007e+02,8.89889970e+01,1.20090004e+01,2.95299990e+00,4.14999988e-01
53219.01666667,1.48949758,2.20295831,-0.90262557,1.69375000e+04,3.36250000e+04,1.80312500e+04,3.48046899e+03,1.03710902e+03,2.50977010e+02,8.88670012e+01,1.19019998e+01,2.52200011e+00,4.13000002e-01
53219.01736111,1.48158981,2.24399485,-0.89462001,1.69375000e+04,3.36250000e+04,1.80312500e+04,3.48046899e+03,1.03710902e+03,2.50977010e+02,8.88670012e+01,1.19019998e+01,2.52200011e+00,4.13000002e-01
53219.01805556,1.47332072,2.28448440,-0.88639597,1.69375000e+04,3.36250000e+04,1.80312500e+04,3.48046899e+03,1.03710902e+03,2.50977010e+02,8.88670012e+01,1.19019998e+01,2.52200011e+00,4.13000002e-01
53219.01875000,1.46470178,2.32443150,-0.87796145,1.75625000e+04,3.50000000e+04,1.89687500e+04,3.68750000e+03,1.10351598e+03,2.69042999e+02,9.59469974e+01,1.29549997e+01,2.78099999e+00,4.64000012e-01
53219.01944444,1.45574413,2.36384103,-0.86932383,1.75625000e+04,3.50000000e+04,1.89687500e+04,3.68750000e+03,1.10351598e+03,2.69042999e+02,9.59469974e+01,1.29549997e+01,2.78099999e+00,4.64000012e-01
53219.02013889,1.44645844,2.40271786,-0.86049017,1.75625000e+04,3.50000000e+04,1.89687500e+04,3.68750000e+03,1.10351598e+03,2.69042999e+02,9.59469974e+01,1.29549997e+01,2.78099999e+00,4.64000012e-01
53219.02083333,1.43685460,2.44106636,-0.85146738,2.66875000e+04,3.98125000e+04,1.97500000e+04,3.96093798e+03,1.15625000e+03,2.88574010e+02,9.54589993e+01,1.33360000e+01,2.34199991e+00,4.61999996e-01
53219.02152778,1.42694265,2.47889157,-0.84226174,2.66875000e+04,3.98125000e+04,1.97500000e+04,3.96093798e+03,1.15625000e+03,2.88574010e+02,9.54589993e+01,1.33360000e+01,2.34199991e+00,4.61999996e-01
53219.02222222,1.41673201,2.51619773,-0.83287968,2.77187500e+04,4.15625000e+04,2.08437500e+04,4.21093798e+03,1.23632801e+03,3.10546994e+02,1.03394002e+02,1.46180000e+01,2.60200002e+00,5.23999974e-01
53219.02291667,1.40623164,2.55298955,-0.82332732,2.77187500e+04,4.15625000e+04,2.08437500e+04,4.21093798e+03,1.23632801e+03,3.10546994e+02,1.03394002e+02,1.46180000e+01,2.60200002e+00,5.23999974e-01
53219.02361111,1.39545046,2.58927141,-0.81361047,2.77187500e+04,4.15625000e+04,2.08437500e+04,4.21093798e+03,1.23632801e+03,3.10546994e+02,1.03394002e+02,1.46180000e+01,2.60200002e+00,5.23999974e-01
53219.02430556,1.38439666,2.62504771,-0.80373478,2.77187500e+04,4.15625000e+04,2.08437500e+04,4.21093798e+03,1.23632801e+03,3.10546994e+02,1.03394002e+02,1.46180000e+01,2.60200002e+00,5.23999974e-01
53219.02500000,1.37307870,2.66032286,-0.79370542,4.02500000e+04,5.85625000e+04,2.31875000e+04,4.29687500e+03,1.28320301e+03,3.31054986e+02,1.02904998e+02,1.43590001e+01,2.21999991e+00,5.21000009e-01
53219.02569444,1.36150411,2.69510108,-0.78352791,4.02500000e+04,5.85625000e+04,2.31875000e+04,4.29687500e+03,1.28320301e+03,3.31054986e+02,1.02904998e+02,1.43590001e+01,2.21999991e+00,5.21000009e-01
53219.02638889,1.34968075,2.72938677,-0.77320693,4.13125000e+04,6.03750000e+04,2.40625000e+04,4.48437500e+03,1.34375000e+03,3.48145008e+02,1.08764999e+02,1.52589995e+01,2.37999996e+00,5.66000002e-01
53219.02708333,1.33761568,2.76318386,-0.76274752,4.13125000e+04,6.03750000e+04,2.40625000e+04,4.48437500e+03,1.34375000e+03,3.48145008e+02,1.08764999e+02,1.52589995e+01,2.37999996e+00,5.66000002e-01
53219.02777778,1.32531611,2.79649642,-0.75215438,4.13125000e+04,6.03750000e+04,2.40625000e+04,4.48437500e+03,1.34375000e+03,3.48145008e+02,1.08764999e+02,1.52589995e+01,2.37999996e+00,5.66000002e-01
53219.02847222,1.31278896,2.82932870,-0.74143207,4.13125000e+04,6.03750000e+04,2.40625000e+04,4.48437500e+03,1.34375000e+03,3.48145008e+02,1.08764999e+02,1.52589995e+01,2.37999996e+00,5.66000002e-01
53219.02916667,1.30004065,2.86168446,-0.73058466,6.06250000e+04,7.37500000e+04,2.68437500e+04,4.53125000e+03,1.39062500e+03,3.70604992e+02,1.07910000e+02,1.49839995e+01,2.03300011e+00,5.61999972e-01
53219.02986111,1.28707747,2.89356762,-0.71961671,6.06250000e+04,7.37500000e+04,2.68437500e+04,4.53125000e+03,1.39062500e+03,3.70604992e+02,1.07910000e+02,1.49839995e+01,2.03300011e+00,5.61999972e-01
53219.03055556,1.27390601,2.92498195,-0.70853199,6.06250000e+04,7.37500000e+04,2.68437500e+04,4.53125000e+03,1.39062500e+03,3.70604992e+02,1.07910000e+02,1.49839995e+01,2.03300011e+00,5.61999972e-01
53219.03125000,1.26053177,2.95593122,-0.69733473,6.06250000e+04,7.37500000e+04,2.68437500e+04,4.53125000e+03,1.39062500e+03,3.70604992e+02,1.07910000e+02,1.49839995e+01,2.03300011e+00,5.61999972e-01
53219.03194444,1.24696101,2.98641920,-0.68602853,6.26875000e+04,7.66250000e+04,2.81875000e+04,4.78906298e+03,1.47851598e+03,3.96973014e+02,1.16333000e+02,1.62959993e+01,2.23900005e+00,6.31999981e-01
53219.03263889,1.23319893,3.01644949,-0.67461718,6.26875000e+04,7.66250000e+04,2.81875000e+04,4.78906298e+03,1.47851598e+03,3.96973014e+02,1.16333000e+02,1.62959993e+01,2.23900005e+00,6.31999981e-01
53219.03333333,1.21925132,3.04602571,-0.66310412,6.26875000e+04,7.66250000e+04,2.81875000e+04,4.78906298e+03,1.47851598e+03,3.96973014e+02,1.16333000e+02,1.62959993e+01,2.23900005e+00,6.31999981e-01
53219.03402778,1.20512321,3.07515099,-0.65149297,9.21250000e+04,9.86250000e+04,3.03125000e+04,5.29687500e+03,1.52929699e+03,4.13085997e+02,1.13891996e+02,1.59910005e+01,1.97599991e+00,6.30000024e-01
53219.03472222,1.19081978,3.10382911,-0.63978701,9.21250000e+04,9.86250000e+04,3.03125000e+04,5.29687500e+03,1.52929699e+03,4.13085997e+02,1.13891996e+02,1.59910005e+01,1.97599991e+00,6.30000024e-01
53219.03541667,1.17634606,3.13206335,-0.62798955,9.21250000e+04,9.86250000e+04,3.03125000e+04,5.29687500e+03,1.52929699e+03,4.13085997e+02,1.13891996e+02,1.59910005e+01,1.97599991e+00,6.30000024e-01
53219.03611111,1.16170690,3.15985701,-0.61610356,9.47500000e+04,1.01875000e+05,3.15625000e+04,5.53906298e+03,1.60937500e+03,4.36522990e+02,1.20972000e+02,1.71200000e+01,2.14000000e+00,6.91999972e-01
53219.03680556,1.14690686,3.18721324,-0.60413250,9.47500000e+04,1.01875000e+05,3.15625000e+04,5.53906298e+03,1.60937500e+03,4.36522990e+02,1.20972000e+02,1.71200000e+01,2.14000000e+00,6.91999972e-01
53219.03750000,1.13195050,3.21413533,-0.59207889,9.47500000e+04,1.01875000e+05,3.15625000e+04,5.53906298e+03,1.60937500e+03,4.36522990e+02,1.20972000e+02,1.71200000e+01,2.14000000e+00,6.91999972e-01
53219.03819444,1.11684235,3.24062626,-0.57994601,9.47500000e+04,1.01875000e+05,3.15625000e+04,5.53906298e+03,1.60937500e+03,4.36522990e+02,1.20972000e+02,1.71200000e+01,2.14000000e+00,6.91999972e-01
53219.03888889,1.10158683,3.26668916,-0.56773638,1.30000000e+05,1.33250000e+05,3.37500000e+04,5.85937500e+03,1.65625000e+03,4.30175990e+02,1.17431998e+02,1.63880009e+01,1.91700005e+00,6.90000015e-01
53219.03958333,1.08618785,3.29232703,-0.55545298,1.30000000e+05,1.33250000e+05,3.37500000e+04,5.85937500e+03,1.65625000e+03,4.30175990e+02,1.17431998e+02,1.63880009e+01,1.91700005e+00,6.90000015e-01
53219.04027778,1.07064964,3.31754285,-0.54309832,1.30000000e+05,1.33250000e+05,3.37500000e+04,5.85937500e+03,1.65625000e+03,4.30175990e+02,1.17431998e+02,1.63880009e+01,1.91700005e+00,6.90000015e-01
53219.04097222,1.05497614,3.34233943,-0.53067491,1.30000000e+05,1.33250000e+05,3.37500000e+04,5.85937500e+03,1.65625000e+03,4.30175990e+02,1.17431998e+02,1.63880009e+01,1.91700005e+00,6.90000015e-01
53219.04166667,1.03917111,3.36671961,-0.51818543,1.33000000e+05,1.36500000e+05,3.48125000e+04,6.07031298e+03,1.72070301e+03,4.48242009e+02,1.22924998e+02,1.72419995e+01,2.03300011e+00,7.39999989e-01
53219.04236111,1.02323848,3.39068621,-0.50563222,1.33000000e+05,1.36500000e+05,3.48125000e+04,6.07031298e+03,1.72070301e+03,4.48242009e+02,1.22924998e+02,1.72419995e+01,2.03300011e+00,7.39999989e-01
53219.04305556,1.00718185,3.41424190,-0.49301780,1.33000000e+05,1.36500000e+05,3.48125000e+04,6.07031298e+03,1.72070301e+03,4.48242009e+02,1.22924998e+02,1.72419995e+01,2.03300011e+00,7.39999989e-01
53219.04375000,0.99100483,3.43738935,-0.48034436,1.85000000e+05,1.62250000e+05,3.86875000e+04,7.03906298e+03,1.75000000e+03,4.47266012e+02,1.19140998e+02,1.61440000e+01,1.94700004e+00,7.31999986e-01
53219.04444444,0.97471073,3.46013122,-0.46761426,1.85000000e+05,1.62250000e+05,3.86875000e+04,7.03906298e+03,1.75000000e+03,4.47266012e+02,1.19140998e+02,1.61440000e+01,1.94700004e+00,7.31999986e-01
53219.04513889,0.95830315,3.48246986,-0.45482970,1.85000000e+05,1.62250000e+05,3.86875000e+04,7.03906298e+03,1.75000000e+03,4.47266012e+02,1.19140998e+02,1.61440000e+01,1.94700004e+00,7.31999986e-01
53219.04583333,0.94178538,3.50440812,-0.44199272,1.85000000e+05,1.62250000e+05,3.86875000e+04,7.03906298e+03,1.75000000e+03,4.47266012e+02,1.19140998e+02,1.61440000e+01,1.94700004e+00,7.31999986e-01
53219.04652778,0.92516057,3.52594833,-0.42910551,1.85000000e+05,1.62250000e+05,3.86875000e+04,7.03906298e+03,1.75000000e+03,4.47266012e+02,1.19140998e+02,1.61440000e+01,1.94700004e+00,7.31999986e-01
53219.04722222,0.90843201,3.54709270,-0.41617011,1.89750000e+05,1.67000000e+05,4.01250000e+04,7.32812500e+03,1.83203101e+03,4.70214993e+02,1.25732005e+02,1.71809997e+01,2.09400011e+00,7.98000023e-01
53219.04791667,0.89160268,3.56784389,-0.40318872,1.89750000e+05,1.67000000e+05,4.01250000e+04,7.32812500e+03,1.83203101e+03,4.70214993e+02,1.25732005e+02,1.71809997e+01,2.09400011e+00,7.98000023e-01
53219.04861111,0.87467557,3.58820395,-0.39016292,1.89750000e+05,1.67000000e+05,4.01250000e+04,7.32812500e+03,1.83203101e+03,4.70214993e+02,1.25732005e+02,1.71809997e+01,2.09400011e+00,7.98000023e-01
53219.04930556,0.85765382,3.60817538,-0.37709505,2.61500000e+05,2.04000000e+05,4.43750000e+04,7.56250000e+03,1.85937500e+03,4.67285007e+02,1.22437000e+02,1.66630000e+01,2.00699992e+00,7.91000028e-01
53219.05000000,0.84054009,3.62776023,-0.36398653,2.61500000e+05,2.04000000e+05,4.43750000e+04,7.56250000e+03,1.85937500e+03,4.67285007e+02,1.22437000e+02,1.66630000e+01,2.00699992e+00,7.91000028e-01
53219.05069444,0.82333736,3.64696086,-0.35083956,2.61500000e+05,2.04000000e+05,4.43750000e+04,7.56250000e+03,1.85937500e+03,4.67285007e+02,1.22437000e+02,1.66630000e+01,2.00699992e+00,7.91000028e-01
53219.05138889,0.80604831,3.66577913,-0.33765586,2.61500000e+05,2.04000000e+05,4.43750000e+04,7.56250000e+03,1.85937500e+03,4.67285007e+02,1.22437000e+02,1.66630000e+01,2.00699992e+00,7.91000028e-01
53219.05208333,0.78867560,3.68421742,-0.32443715,2.61500000e+05,2.04000000e+05,4.43750000e+04,7.56250000e+03,1.85937500e+03,4.67285007e+02,1.22437000e+02,1.66630000e+01,2.00699992e+00,7.91000028e-01
53219.05277778,0.77122206,3.70227775,-0.31118502,2.67000000e+05,2.09000000e+05,4.57500000e+04,7.82812500e+03,1.93164098e+03,4.87304986e+02,1.28174007e+02,1.75480004e+01,2.12899991e+00,8.50000011e-01
53219.05347222,0.75369020,3.71996202,-0.29790134,2.67000000e+05,2.09000000e+05,4.57500000e+04,7.82812500e+03,1.93164098e+03,4.87304986e+02,1.28174007e+02,1.75480004e+01,2.12899991e+00,8.50000011e-01
53219.05416667,0.73608253,3.73727210,-0.28458768,2.67000000e+05,2.09000000e+05,4.57500000e+04,7.82812500e+03,1.93164098e+03,4.87304986e+02,1.28174007e+02,1.75480004e+01,2.12899991e+00,8.50000011e-01
53219.05486111,0.71840156,3.75421020,-0.27124576,2.67000000e+05,2.09000000e+05,4.57500000e+04,7.82812500e+03,1.93164098e+03,4.87304986e+02,1.28174007e+02,1.75480004e+01,2.12899991e+00,8.50000011e-01
53219.05555556,0.70064980,3.77077788,-0.25787701,3.49500000e+05,2.57500000e+05,4.85000000e+04,7.96093798e+03,1.95117199e+03,4.83886987e+02,1.24756001e+02,1.69370007e+01,2.04099994e+00,8.41000001e-01
53219.05625000,0.68282945,3.78697734,-0.24448299,3.49500000e+05,2.57500000e+05,4.85000000e+04,7.96093798e+03,1.95117199e+03,4.83886987e+02,1.24756001e+02,1.69370007e+01,2.04099994e+00,8.41000001e-01
53219.05694444,0.66494302,3.80280999,-0.23106542,3.49500000e+05,2.57500000e+05,4.85000000e+04,7.96093798e+03,1.95117199e+03,4.83886987e+02,1.24756001e+02,1.69370007e+01,2.04099994e+00,8.41000001e-01
53219.05763889,0.64699287,3.81827803,-0.21762557,3.49500000e+05,2.57500000e+05,4.85000000e+04,7.96093798e+03,1.95117199e+03,4.83886987e+02,1.24756001e+02,1.69370007e+01,2.04099994e+00,8.41000001e-01
53219.05833333,0.62898120,3.83338288,-0.20416515,3.49500000e+05,2.57500000e+05,4.85000000e+04,7.96093798e+03,1.95117199e+03,4.83886987e+02,1.24756001e+02,1.69370007e+01,2.04099994e+00,8.41000001e-01
53219.05902778,0.61091019,3.84812641,-0.19068527,3.56000000e+05,2.63000000e+05,4.97500000e+04,8.18750000e+03,2.01171899e+03,5.00976980e+02,1.29639000e+02,1.76700000e+01,2.14800006e+00,8.92999989e-01
