# Legacy Model output file: ../../unitTests/Legacy/CRRactive_atEpoch_Intg.CRRESELE.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.01458333,1.51093106,2.07651714,-0.92525113,3.88730273e+07,2.08794277e+07,4.37782715e+06,1.05702747e+06,3.24227448e+05,1.06677444e+05,4.07024422e+04,1.42149429e+04,3.88974714e+03,1.01352572e+03
53219.01527778,1.50418085,2.11922432,-0.91794984,3.88730273e+07,2.08794277e+07,4.37782715e+06,1.05702747e+06,3.24227448e+05,1.06677444e+05,4.07024422e+04,1.42149429e+04,3.88974714e+03,1.01352572e+03
53219.01597222,1.49703211,2.16136976,-0.91040510,3.88730273e+07,2.08794277e+07,4.37782715e+06,1.05702747e+06,3.24227448e+05,1.06677444e+05,4.07024422e+04,1.42149429e+04,3.88974714e+03,1.01352572e+03
53219.01666667,1.48949758,2.20295831,-0.90262557,3.96590625e+07,2.14062637e+07,4.59466260e+06,1.11746289e+06,3.43462891e+05,1.12312889e+05,4.27128906e+04,1.49753914e+04,4.05586052e+03,1.01191449e+03
53219.01736111,1.48158981,2.24399485,-0.89462001,3.96590625e+07,2.14062637e+07,4.59466260e+06,1.11746289e+06,3.43462891e+05,1.12312889e+05,4.27128906e+04,1.49753914e+04,4.05586052e+03,1.01191449e+03
53219.01805556,1.47332072,2.28448440,-0.88639597,3.96590625e+07,2.14062637e+07,4.59466260e+06,1.11746289e+06,3.43462891e+05,1.12312889e+05,4.27128906e+04,1.49753914e+04,4.05586052e+03,1.01191449e+03
53219.01875000,1.46470178,2.32443150,-0.87796145,3.96590625e+07,2.14062637e+07,4.59466260e+06,1.11746289e+06,3.43462891e+05,1.12312889e+05,4.27128906e+04,1.49753914e+04,4.05586052e+03,1.01191449e+03
53219.01944444,1.45574413,2.36384103,-0.86932383,3.96590625e+07,2.14062637e+07,4.59466260e+06,1.11746289e+06,3.43462891e+05,1.12312889e+05,4.27128906e+04,1.49753914e+04,4.05586052e+03,1.01191449e+03
53219.02013889,1.44645844,2.40271786,-0.86049017,3.85830352e+07,2.09078340e+07,4.55503369e+06,1.10543372e+06,3.36233704e+05,1.08633698e+05,4.08836937e+04,1.42336922e+04,3.75146580e+03,8.84619415e+02
53219.02083333,1.43685460,2.44106636,-0.85146738,4.03039688e+07,2.19311699e+07,4.82477002e+06,1.17997034e+06,3.61570312e+05,1.17770317e+05,4.46953125e+04,1.57203131e+04,4.21562481e+03,1.00546873e+03
53219.02152778,1.42694265,2.47889157,-0.84226174,4.03039688e+07,2.19311699e+07,4.82477002e+06,1.17997034e+06,3.61570312e+05,1.17770317e+05,4.46953125e+04,1.57203131e+04,4.21562481e+03,1.00546873e+03
53219.02222222,1.41673201,2.51619773,-0.83287968,4.03039688e+07,2.19311699e+07,4.82477002e+06,1.17997034e+06,3.61570312e+05,1.17770317e+05,4.46953125e+04,1.57203131e+04,4.21562481e+03,1.00546873e+03
53219.02291667,1.40623164,2.55298955,-0.82332732,4.03039688e+07,2.19311699e+07,4.82477002e+06,1.17997034e+06,3.61570312e+05,1.17770317e+05,4.46953125e+04,1.57203131e+04,4.21562481e+03,1.00546873e+03
53219.02361111,1.39545046,2.58927141,-0.81361047,4.03039688e+07,2.19311699e+07,4.82477002e+06,1.17997034e+06,3.61570312e+05,1.17770317e+05,4.46953125e+04,1.57203131e+04,4.21562481e+03,1.00546873e+03
53219.02430556,1.38439666,2.62504771,-0.80373478,3.91644648e+07,2.13804648e+07,4.75886523e+06,1.16126550e+06,3.51265533e+05,1.13665527e+05,4.30405273e+04,1.50030270e+04,3.91533160e+03,9.20068026e+02
53219.02500000,1.37307870,2.66032286,-0.79370542,4.03969492e+07,2.21121465e+07,4.95294727e+06,1.21374731e+06,3.68747284e+05,1.19947266e+05,4.56722679e+04,1.60222664e+04,4.22265720e+03,9.99023795e+02
53219.02569444,1.36150411,2.69510108,-0.78352791,4.03969492e+07,2.21121465e+07,4.95294727e+06,1.21374731e+06,3.68747284e+05,1.19947266e+05,4.56722679e+04,1.60222664e+04,4.22265720e+03,9.99023795e+02
53219.02638889,1.34968075,2.72938677,-0.77320693,4.03969492e+07,2.21121465e+07,4.95294727e+06,1.21374731e+06,3.68747284e+05,1.19947266e+05,4.56722679e+04,1.60222664e+04,4.22265720e+03,9.99023795e+02
53219.02708333,1.33761568,2.76318386,-0.76274752,4.03969492e+07,2.21121465e+07,4.95294727e+06,1.21374731e+06,3.68747284e+05,1.19947266e+05,4.56722679e+04,1.60222664e+04,4.22265720e+03,9.99023795e+02
53219.02777778,1.32531611,2.79649642,-0.75215438,3.93712305e+07,2.15792285e+07,4.86162842e+06,1.18642847e+06,3.54828430e+05,1.15428413e+05,4.41034164e+04,1.52409182e+04,3.88466740e+03,9.32958663e+02
53219.02847222,1.31278896,2.82932870,-0.74143207,3.93712305e+07,2.15792285e+07,4.86162842e+06,1.18642847e+06,3.54828430e+05,1.15428413e+05,4.41034164e+04,1.52409182e+04,3.88466740e+03,9.32958663e+02
53219.02916667,1.30004065,2.86168446,-0.73058466,3.93712305e+07,2.15792285e+07,4.86162842e+06,1.18642847e+06,3.54828430e+05,1.15428413e+05,4.41034164e+04,1.52409182e+04,3.88466740e+03,9.32958663e+02
53219.02986111,1.28707747,2.89356762,-0.71961671,4.09969570e+07,2.25537539e+07,5.12615381e+06,1.25935388e+06,3.79153839e+05,1.24353813e+05,4.79038124e+04,1.67038097e+04,4.32587862e+03,1.04897428e+03
53219.03055556,1.27390601,2.92498195,-0.70853199,4.09969570e+07,2.25537539e+07,5.12615381e+06,1.25935388e+06,3.79153839e+05,1.24353813e+05,4.79038124e+04,1.67038097e+04,4.32587862e+03,1.04897428e+03
53219.03125000,1.26053177,2.95593122,-0.69733473,4.09969570e+07,2.25537539e+07,5.12615381e+06,1.25935388e+06,3.79153839e+05,1.24353813e+05,4.79038124e+04,1.67038097e+04,4.32587862e+03,1.04897428e+03
53219.03194444,1.24696101,2.98641920,-0.68602853,3.99207852e+07,2.20471855e+07,5.02278516e+06,1.22238550e+06,3.60385468e+05,1.18285454e+05,4.58604507e+04,1.57479506e+04,3.95830107e+03,9.78076279e+02
53219.03263889,1.23319893,3.01644949,-0.67461718,3.99207852e+07,2.20471855e+07,5.02278516e+06,1.22238550e+06,3.60385468e+05,1.18285454e+05,4.58604507e+04,1.57479506e+04,3.95830107e+03,9.78076279e+02
53219.03333333,1.21925132,3.04602571,-0.66310412,3.99207852e+07,2.20471855e+07,5.02278516e+06,1.22238550e+06,3.60385468e+05,1.18285454e+05,4.58604507e+04,1.57479506e+04,3.95830107e+03,9.78076279e+02
53219.03402778,1.20512321,3.07515099,-0.65149297,3.99207852e+07,2.20471855e+07,5.02278516e+06,1.22238550e+06,3.60385468e+05,1.18285454e+05,4.58604507e+04,1.57479506e+04,3.95830107e+03,9.78076279e+02
53219.03472222,1.19081978,3.10382911,-0.63978701,4.12568008e+07,2.28440020e+07,5.24080078e+06,1.28320105e+06,3.80401001e+05,1.25700981e+05,4.90259781e+04,1.69634762e+04,4.31113243e+03,1.07314432e+03
53219.03541667,1.17634606,3.13206335,-0.62798955,4.12568008e+07,2.28440020e+07,5.24080078e+06,1.28320105e+06,3.80401001e+05,1.25700981e+05,4.90259781e+04,1.69634762e+04,4.31113243e+03,1.07314432e+03
53219.03611111,1.16170690,3.15985701,-0.61610356,4.03487617e+07,2.23439629e+07,5.11836279e+06,1.23516272e+06,3.59162689e+05,1.18062698e+05,4.61876945e+04,1.59001951e+04,4.01542950e+03,1.02158177e+03
53219.03680556,1.14690686,3.18721324,-0.60413250,4.03487617e+07,2.23439629e+07,5.11836279e+06,1.23516272e+06,3.59162689e+05,1.18062698e+05,4.61876945e+04,1.59001951e+04,4.01542950e+03,1.02158177e+03
53219.03750000,1.13195050,3.21413533,-0.59207889,4.03487617e+07,2.23439629e+07,5.11836279e+06,1.23516272e+06,3.59162689e+05,1.18062698e+05,4.61876945e+04,1.59001951e+04,4.01542950e+03,1.02158177e+03
53219.03819444,1.11684235,3.24062626,-0.57994601,4.03487617e+07,2.23439629e+07,5.11836279e+06,1.23516272e+06,3.59162689e+05,1.18062698e+05,4.61876945e+04,1.59001951e+04,4.01542950e+03,1.02158177e+03
53219.03888889,1.10158683,3.26668916,-0.56773638,4.03487617e+07,2.23439629e+07,5.11836279e+06,1.23516272e+06,3.59162689e+05,1.18062698e+05,4.61876945e+04,1.59001951e+04,4.01542950e+03,1.02158177e+03
