# Irene Model output file: ../../unitTests/Legacy/Ax8max_NatEpochSaa_Intg.AE8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00694444,1.55451077,1.56830628,-0.98654759,1.23229807e+10,9.54967806e+09,7.40059676e+09,2.76158029e+09,1.28463998e+09,7.38286770e+08,4.70110957e+08,2.34834090e+08,1.15518856e+08,5.62670874e+07,2.57716767e+07,1.06593456e+07,3.72673246e+06,1.08702323e+06,2.93514399e+05,6.43431500e+04,1.14231261e+04,2.10359880e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,1.38758511e+10,1.07610305e+10,8.34554064e+09,3.12299502e+09,1.44997344e+09,8.32809303e+08,5.30848324e+08,2.66406421e+08,1.30462882e+08,6.36326156e+07,2.90232305e+07,1.19791892e+07,4.18039429e+06,1.21681341e+06,3.27172698e+05,7.15220302e+04,1.26270751e+04,2.32448291e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,1.54846507e+10,1.20176226e+10,9.32703259e+09,3.50025456e+09,1.62188364e+09,9.30990475e+08,5.94066845e+08,2.99529224e+08,1.46014684e+08,7.13201069e+07,3.23896270e+07,1.33414297e+07,4.64758479e+06,1.35015323e+06,3.61509100e+05,7.88105054e+04,1.38381861e+04,2.54654302e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,1.71481181e+10,1.33185811e+10,1.03444818e+10,3.89327905e+09,1.80028045e+09,1.03277123e+09,6.59738374e+08,3.34210142e+08,1.62167107e+08,7.93278283e+07,3.58680632e+07,1.47446639e+07,5.12776154e+06,1.48687069e+06,3.96468640e+05,8.61957979e+04,1.50541479e+04,2.76932940e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,1.88648370e+10,1.46628543e+10,1.13971125e+10,4.30184943e+09,1.98503453e+09,1.13807391e+09,7.27818019e+08,3.70438634e+08,1.78909007e+08,8.76512595e+07,3.94555025e+07,1.61875476e+07,5.62044056e+06,1.62682216e+06,4.32012438e+05,9.36698125e+04,1.62738203e+04,2.99261734e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,2.06333685e+10,1.60493645e+10,1.24841224e+10,4.72572876e+09,2.17601161e+09,1.24681831e+09,7.98258600e+08,4.08202043e+08,1.96228695e+08,9.62855189e+07,4.31488708e+07,1.76687402e+07,6.12514410e+06,1.76986722e+06,4.68103548e+05,1.01225000e+05,1.74961925e+04,3.21620833e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,2.24525420e+10,1.74771694e+10,1.36047562e+10,5.16474200e+09,2.37313852e+09,1.35895714e+09,8.71031281e+08,4.47450551e+08,2.14112732e+08,1.05223618e+08,4.69443039e+07,1.91862997e+07,6.64099434e+06,1.91575735e+06,5.04671196e+05,1.08844732e+05,1.87193366e+04,3.43937757e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,2.43208775e+10,1.89442759e+10,1.47567972e+10,5.61776914e+09,2.57628928e+09,1.47442875e+09,9.46060449e+08,4.87904810e+08,2.32517246e+08,1.14434738e+08,5.08337166e+07,2.07365578e+07,7.16613280e+06,2.06404581e+06,5.41621060e+05,1.16507980e+05,1.99444351e+04,3.66093372e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,2.62368130e+10,2.04486958e+10,1.59380885e+10,6.08369548e+09,2.78531340e+09,1.59315740e+09,1.02326555e+09,5.29322101e+08,2.51401980e+08,1.23891077e+08,5.48099166e+07,2.23163818e+07,7.69903906e+06,2.21437228e+06,5.78882620e+05,1.24200709e+05,2.11730765e+04,3.88011936e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,2.81994846e+10,2.19897449e+10,1.71480885e+10,6.56242566e+09,3.00017609e+09,1.71511608e+09,1.10263428e+09,5.71678312e+08,2.70759341e+08,1.33589232e+08,5.88701480e+07,2.39243173e+07,8.23907963e+06,2.36654909e+06,6.16405738e+05,1.31912571e+05,2.24035551e+04,4.09653459e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
