# Legacy Model output file: ../../unitTests/Legacy/CRRactive_atEpoch_Diff.CRRESPRO.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESPRO
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Active
# Energy levels (MeV):       1.5 2.1 2.5 2.9 3.6 4.3 5.7 6.8 8.5 9.7 10.7 13.2 16.9 19.4 26.3 30.9 36.3 41.1 47 55 65.7 81.3
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.00694444,1.55451077,1.56830628,-0.98654759,2.96335156e+04,4.47700146e+03,1.89594177e+03,6.24755676e+02,1.54610123e+02,4.39867439e+01,7.33579922e+00,3.99607491e+00,1.26295805e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,2.96335156e+04,4.47700146e+03,1.89594177e+03,6.24755676e+02,1.54610123e+02,4.39867439e+01,7.33579922e+00,3.99607491e+00,1.26295805e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,2.96335156e+04,4.47700146e+03,1.89594177e+03,6.24755676e+02,1.54610123e+02,4.39867439e+01,7.33579922e+00,3.99607491e+00,1.26295805e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,4.29919414e+04,7.06051758e+03,2.79737964e+03,9.27729797e+02,2.15737534e+02,6.40107269e+01,1.36117640e+01,4.80436993e+00,1.41020298e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,3.66970742e+04,5.82055322e+03,2.10194116e+03,7.16777100e+02,1.67627365e+02,4.69017830e+01,4.41961002e+00,3.60406208e+00,1.00017703e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,3.66970742e+04,5.82055322e+03,2.10194116e+03,7.16777100e+02,1.67627365e+02,4.69017830e+01,4.41961002e+00,3.60406208e+00,1.00017703e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,3.66970742e+04,5.82055322e+03,2.10194116e+03,7.16777100e+02,1.67627365e+02,4.69017830e+01,4.41961002e+00,3.60406208e+00,1.00017703e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,3.66970742e+04,5.82055322e+03,2.10194116e+03,7.16777100e+02,1.67627365e+02,4.69017830e+01,4.41961002e+00,3.60406208e+00,1.00017703e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,4.82973438e+04,7.66292725e+03,2.80458667e+03,9.20095947e+02,2.03550339e+02,5.61628876e+01,7.68409491e+00,4.13627005e+00,1.14655805e+00,1.13789998e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,3.75856133e+04,5.65696045e+03,2.09296484e+03,6.11875427e+02,1.48816208e+02,3.58448296e+01,5.54301500e+00,3.45108509e+00,1.06780899e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,3.75856133e+04,5.65696045e+03,2.09296484e+03,6.11875427e+02,1.48816208e+02,3.58448296e+01,5.54301500e+00,3.45108509e+00,1.06780899e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,3.75856133e+04,5.65696045e+03,2.09296484e+03,6.11875427e+02,1.48816208e+02,3.58448296e+01,5.54301500e+00,3.45108509e+00,1.06780899e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,3.75856133e+04,5.65696045e+03,2.09296484e+03,6.11875427e+02,1.48816208e+02,3.58448296e+01,5.54301500e+00,3.45108509e+00,1.06780899e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,3.75856133e+04,5.65696045e+03,2.09296484e+03,6.11875427e+02,1.48816208e+02,3.58448296e+01,5.54301500e+00,3.45108509e+00,1.06780899e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,4.04683633e+04,5.67934668e+03,1.99775220e+03,6.01958008e+02,1.35166183e+02,3.78726578e+01,1.74976802e+00,3.60597992e+00,9.87775981e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,4.04683633e+04,5.67934668e+03,1.99775220e+03,6.01958008e+02,1.35166183e+02,3.78726578e+01,1.74976802e+00,3.60597992e+00,9.87775981e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01805556,1.47332072,2.28448440,-0.88639597,4.04683633e+04,5.67934668e+03,1.99775220e+03,6.01958008e+02,1.35166183e+02,3.78726578e+01,1.74976802e+00,3.60597992e+00,9.87775981e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01875000,1.46470178,2.32443150,-0.87796145,4.04683633e+04,5.67934668e+03,1.99775220e+03,6.01958008e+02,1.35166183e+02,3.78726578e+01,1.74976802e+00,3.60597992e+00,9.87775981e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01944444,1.45574413,2.36384103,-0.86932383,4.04683633e+04,5.67934668e+03,1.99775220e+03,6.01958008e+02,1.35166183e+02,3.78726578e+01,1.74976802e+00,3.60597992e+00,9.87775981e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02013889,1.44645844,2.40271786,-0.86049017,3.39341836e+04,4.52977881e+03,1.63425208e+03,4.57995422e+02,1.09116554e+02,2.42272720e+01,0.00000000e+00,3.03817201e+00,9.67656016e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02083333,1.43685460,2.44106636,-0.85146738,4.68301953e+04,6.28713232e+03,2.25485425e+03,6.01801147e+02,1.38494278e+02,3.17101746e+01,1.87233698e+00,3.49458599e+00,1.08224797e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02152778,1.42694265,2.47889157,-0.84226174,4.68301953e+04,6.28713232e+03,2.25485425e+03,6.01801147e+02,1.38494278e+02,3.17101746e+01,1.87233698e+00,3.49458599e+00,1.08224797e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02222222,1.41673201,2.51619773,-0.83287968,4.68301953e+04,6.28713232e+03,2.25485425e+03,6.01801147e+02,1.38494278e+02,3.17101746e+01,1.87233698e+00,3.49458599e+00,1.08224797e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02291667,1.40623164,2.55298955,-0.82332732,4.68301953e+04,6.28713232e+03,2.25485425e+03,6.01801147e+02,1.38494278e+02,3.17101746e+01,1.87233698e+00,3.49458599e+00,1.08224797e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
