# Legacy Model output file: ../../unitTests/Legacy/CammiceAll_PaOmni.CAMMICE.output_mean_H+_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         H+
# Flux type:                Differential
# Flux direction:           Omnidirectional
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/keV)
53219.01388889,1.51726880,2.03324350,-0.93229988,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,8.08717878e+05,7.05412616e+04,6.42525955e+03,3.98506714e+03,3.44559622e+03,3.64485122e+03,6.19166515e+03,9.85964023e+03,1.51278564e+04
53219.01458333,1.51093106,2.07651714,-0.92525113,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,8.21144025e+05,7.18049193e+04,6.56939475e+03,4.07947628e+03,3.54279093e+03,3.77340283e+03,6.44656050e+03,1.03085285e+04,1.58136079e+04
53219.01527778,1.50418085,2.11922432,-0.91794984,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,8.33557774e+05,7.30673162e+04,6.71338615e+03,4.17379124e+03,3.63988868e+03,3.90182618e+03,6.70120156e+03,1.07569688e+04,1.64986753e+04
53219.01597222,1.49703211,2.16136976,-0.91040510,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,8.45956946e+05,7.43282306e+04,6.85720846e+03,4.26799545e+03,3.73687240e+03,4.03009873e+03,6.95554359e+03,1.12048826e+04,1.71829382e+04
53219.01666667,1.48949758,2.20295831,-0.90262557,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,8.58339678e+05,7.55874732e+04,7.00084008e+03,4.36207474e+03,3.83372753e+03,4.15820119e+03,7.20954838e+03,1.16522025e+04,1.78662938e+04
53219.01736111,1.48158981,2.24399485,-0.89462001,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,8.70704088e+05,7.68448526e+04,7.14425917e+03,4.45601483e+03,3.93043934e+03,4.28611411e+03,7.46317734e+03,1.20988605e+04,1.85486383e+04
53219.01805556,1.47332072,2.28448440,-0.88639597,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,8.83049286e+05,7.81002783e+04,7.28745542e+03,4.54980897e+03,4.02700089e+03,4.41382829e+03,7.71641222e+03,1.25448245e+04,1.92299225e+04
53219.01875000,1.46470178,2.32443150,-0.87796145,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,8.95373819e+05,7.93536024e+04,7.43041196e+03,4.64344609e+03,4.12340080e+03,4.54132867e+03,7.96922319e+03,1.29900420e+04,1.99100664e+04
53219.01944444,1.45574413,2.36384103,-0.86932383,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.07676752e+05,8.06047299e+04,7.57311796e+03,4.73691910e+03,4.21963176e+03,4.66860560e+03,8.22159108e+03,1.34344792e+04,2.05890182e+04
53219.02013889,1.44645844,2.40271786,-0.86049017,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.19957364e+05,8.18535876e+04,7.71556506e+03,4.83022253e+03,4.31568813e+03,4.79565161e+03,8.47350111e+03,1.38781100e+04,2.12667382e+04
53219.02083333,1.43685460,2.44106636,-0.85146738,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.32214712e+05,8.31000795e+04,7.85774230e+03,4.92334921e+03,4.41156253e+03,4.92245695e+03,8.72493393e+03,1.43209005e+04,2.19431743e+04
53219.02152778,1.42694265,2.47889157,-0.84226174,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.44448503e+05,8.43441758e+04,7.99964630e+03,5.01629691e+03,4.50725268e+03,5.04901859e+03,8.97588354e+03,1.47628399e+04,2.26183105e+04
53219.02222222,1.41673201,2.51619773,-0.83287968,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.56658223e+05,8.55858242e+04,8.14127109e+03,5.10906173e+03,4.60275455e+03,5.17533120e+03,9.22633937e+03,1.52039099e+04,2.32921182e+04
53219.02291667,1.40623164,2.55298955,-0.82332732,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.68843513e+05,8.68249883e+04,8.28261252e+03,5.20164094e+03,4.69806533e+03,5.30139109e+03,9.47629408e+03,1.56440973e+04,2.39645778e+04
53219.02361111,1.39545046,2.58927141,-0.81361047,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.81004043e+05,8.80616344e+04,8.42366673e+03,5.29403203e+03,4.79318244e+03,5.42719482e+03,9.72574087e+03,1.60833902e+04,2.46356709e+04
53219.02430556,1.38439666,2.62504771,-0.80373478,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.93139591e+05,8.92957400e+04,8.56443117e+03,5.38623332e+03,4.88810414e+03,5.55274010e+03,9.97467523e+03,1.65217807e+04,2.53053854e+04
53219.02500000,1.37307870,2.66032286,-0.79370542,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.00484858e+06,9.04021130e+04,8.72015168e+03,5.50068521e+03,5.00591740e+03,5.70818364e+03,1.02579328e+04,1.70074628e+04,2.61391075e+04
53219.02569444,1.36150411,2.69510108,-0.78352791,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.01644065e+06,9.14773854e+04,8.87904858e+03,5.62005385e+03,5.12878893e+03,5.87023114e+03,1.05486007e+04,1.75031996e+04,2.70090867e+04
53219.02638889,1.34968075,2.72938677,-0.77320693,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.02800856e+06,9.25504173e+04,9.03761439e+03,5.73917377e+03,5.25140442e+03,6.03194098e+03,1.08386630e+04,1.79979036e+04,2.78772532e+04
53219.02708333,1.33761568,2.76318386,-0.76274752,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.03955204e+06,9.36211835e+04,9.19584538e+03,5.85804215e+03,5.37376102e+03,6.19330936e+03,1.11281129e+04,1.84915629e+04,2.87435865e+04
53219.02777778,1.32531611,2.79649642,-0.75215438,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.05107101e+06,9.46896755e+04,9.35374031e+03,5.97665808e+03,5.49585774e+03,6.35433502e+03,1.14169479e+04,1.89841738e+04,2.96080798e+04
53219.02847222,1.31278896,2.82932870,-0.74143207,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.06256547e+06,9.57558946e+04,9.51129937e+03,6.09502169e+03,5.61769474e+03,6.51501815e+03,1.17051686e+04,1.94757368e+04,3.04707343e+04
53219.02916667,1.30004065,2.86168446,-0.73058466,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.07403546e+06,9.68198439e+04,9.66852301e+03,6.21313332e+03,5.73927237e+03,6.67535921e+03,1.19927757e+04,1.99662533e+04,3.13315522e+04
53219.02986111,1.28707747,2.89356762,-0.71961671,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.08548087e+06,9.78815119e+04,9.82540954e+03,6.33099170e+03,5.86058932e+03,6.83535647e+03,1.22797661e+04,2.04557180e+04,3.21905244e+04
53219.03055556,1.27390601,2.92498195,-0.70853199,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.09690173e+06,9.89409043e+04,9.98195979e+03,6.44859746e+03,5.98164623e+03,6.99501079e+03,1.25661414e+04,2.09441337e+04,3.30476554e+04
53219.03125000,1.26053177,2.95593122,-0.69733473,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.10829794e+06,9.99980088e+04,1.01381720e+04,6.56594924e+03,6.10244171e+03,7.15432031e+03,1.28518982e+04,2.14314946e+04,3.39029354e+04
53219.03194444,1.24696101,2.98641920,-0.68602853,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.11966952e+06,1.01052830e+05,1.02940467e+04,6.68304752e+03,6.22297625e+03,7.31328572e+03,1.31370378e+04,2.19178027e+04,3.47563679e+04
53219.03263889,1.23319893,3.01644949,-0.67461718,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.13101642e+06,1.02105360e+05,1.04495829e+04,6.79989151e+03,6.34324904e+03,7.47190590e+03,1.34215581e+04,2.24030547e+04,3.56079471e+04
53219.03333333,1.21925132,3.04602571,-0.66310412,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.14233857e+06,1.03155596e+05,1.06047801e+04,6.91648077e+03,6.46325963e+03,7.63018028e+03,1.37054582e+04,2.28872488e+04,3.64576697e+04
53219.03402778,1.20512321,3.07515099,-0.65149297,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.15363578e+06,1.04203518e+05,1.07596353e+04,7.03281315e+03,6.58300579e+03,7.78810594e+03,1.39887327e+04,2.33703762e+04,3.73055202e+04
53219.03472222,1.19081978,3.10382911,-0.63978701,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.16490789e+06,1.05249112e+05,1.09141465e+04,7.14888714e+03,6.70248598e+03,7.94568082e+03,1.42713781e+04,2.38524304e+04,3.81514874e+04
53219.03541667,1.17634606,3.13206335,-0.62798955,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.17615482e+06,1.06292370e+05,1.10683125e+04,7.26470179e+03,6.82169923e+03,8.10290364e+03,1.45533919e+04,2.43334076e+04,3.89955645e+04
53219.03611111,1.16170690,3.15985701,-0.61610356,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.18737643e+06,1.07333279e+05,1.12221314e+04,7.38025564e+03,6.94064401e+03,8.25977241e+03,1.48347707e+04,2.48133016e+04,3.98377409e+04
53219.03680556,1.14690686,3.18721324,-0.60413250,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.19857219e+06,1.08371790e+05,1.13755959e+04,7.49554333e+03,7.05931484e+03,8.41627986e+03,1.51155014e+04,2.52920904e+04,4.06779775e+04
53219.03750000,1.13195050,3.21413533,-0.59207889,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,8.47133626e+05,1.13152336e+05,1.46942548e+04,1.36587654e+04,1.74450774e+04,2.53086385e+04,4.35609577e+04,6.36322757e+04,7.88202125e+04
53219.03819444,1.11684235,3.24062626,-0.57994601,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,8.56932948e+05,1.14466419e+05,1.49080887e+04,1.38805332e+04,1.77849829e+04,2.58236521e+04,4.44279270e+04,6.49152432e+04,8.04048293e+04
53219.03888889,1.10158683,3.26668916,-0.56773638,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,8.66708947e+05,1.15777373e+05,1.51214136e+04,1.41017733e+04,1.81240794e+04,2.63374399e+04,4.52928329e+04,6.61951571e+04,8.19856746e+04
53219.03958333,1.08618785,3.29232703,-0.55545298,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,8.75624456e+05,1.17008927e+05,1.53314189e+04,1.43598571e+04,1.85413541e+04,2.69558243e+04,4.63479634e+04,6.77699207e+04,8.39274809e+04
53219.04027778,1.07064964,3.31754285,-0.54309832,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,8.84409563e+05,1.18229311e+05,1.55412913e+04,1.46248730e+04,1.89730633e+04,2.75936478e+04,4.74383003e+04,6.93991264e+04,8.59359657e+04
53219.04097222,1.05497614,3.34233943,-0.53067491,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,8.93048653e+05,1.19429410e+05,1.57476755e+04,1.48854842e+04,1.93975971e+04,2.82208700e+04,4.85105148e+04,7.10012533e+04,8.79110677e+04
53219.04166667,1.03917111,3.36671961,-0.51818543,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.01665734e+05,1.20626452e+05,1.59535339e+04,1.51454314e+04,1.98210494e+04,2.88464943e+04,4.95799977e+04,7.25992985e+04,8.98811378e+04
53219.04236111,1.02323848,3.39068621,-0.50563222,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.10261705e+05,1.21820561e+05,1.61588880e+04,1.54047419e+04,2.02434644e+04,2.94705861e+04,5.06468606e+04,7.41934290e+04,9.18463819e+04
53219.04305556,1.00718185,3.41424190,-0.49301780,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.18837155e+05,1.23011820e+05,1.63637518e+04,1.56634332e+04,2.06648708e+04,3.00931878e+04,5.17111765e+04,7.57837537e+04,9.38069341e+04
53219.04375000,0.99100483,3.43738935,-0.48034436,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.27392873e+05,1.24200337e+05,1.65681443e+04,1.59215293e+04,2.10853077e+04,3.07143571e+04,5.27730436e+04,7.73704192e+04,9.57629754e+04
53219.04444444,0.97471073,3.46013122,-0.46761426,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.35929454e+05,1.25386197e+05,1.67720796e+04,1.61790482e+04,2.15048041e+04,3.13341369e+04,5.38325355e+04,7.89535357e+04,9.77146414e+04
53219.04513889,0.95830315,3.48246986,-0.45482970,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.48803114e+05,1.58767489e+05,3.72417007e+04,4.65293323e+04,5.52505942e+04,7.49148291e+04,1.11307967e+05,1.27437276e+05,1.12840750e+05
53219.04583333,0.94178538,3.50440812,-0.44199272,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.58353996e+05,1.60577686e+05,3.77293013e+04,4.72674168e+04,5.61638365e+04,7.61569959e+04,1.13232089e+05,1.29683194e+05,1.15041804e+05
53219.04652778,0.92516057,3.52594833,-0.42910551,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.67885505e+05,1.62384212e+05,3.82159129e+04,4.80040043e+04,5.70752264e+04,7.73966432e+04,1.15152308e+05,1.31924557e+05,1.17238394e+05
53219.04722222,0.90843201,3.54709270,-0.41617011,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.77398226e+05,1.64187176e+05,3.87015654e+04,4.87391399e+04,5.79848198e+04,7.86338470e+04,1.17068742e+05,1.34161501e+05,1.19430653e+05
53219.04791667,0.89160268,3.56784389,-0.40318872,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.86892770e+05,1.65986696e+05,3.91862898e+04,4.94728707e+04,5.88926751e+04,7.98686867e+04,1.18981514e+05,1.36394171e+05,1.21618724e+05
53219.04861111,0.87467557,3.58820395,-0.39016292,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.96369818e+05,1.67782899e+05,3.96701210e+04,5.02052495e+04,5.97988575e+04,8.11012509e+04,1.20890761e+05,1.38622727e+05,1.23802763e+05
53219.04930556,0.85765382,3.60817538,-0.37709505,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.00582964e+06,1.69575839e+05,4.01530729e+04,5.09362972e+04,6.07033930e+04,8.23315750e+04,1.22796539e+05,1.40847233e+05,1.25982832e+05
53219.05000000,0.84054009,3.62776023,-0.36398653,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.01527305e+06,1.71365666e+05,4.06351866e+04,5.16660762e+04,6.16063587e+04,8.35597640e+04,1.24699009e+05,1.43067878e+05,1.28159118e+05
53219.05069444,0.82333736,3.64696086,-0.35083956,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.02470037e+06,1.73152445e+05,4.11164791e+04,5.23946122e+04,6.25077863e+04,8.47858609e+04,1.26598239e+05,1.45284741e+05,1.30331696e+05
53219.05138889,0.80604831,3.66577913,-0.33765586,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.03411196e+06,1.74936241e+05,4.15969683e+04,5.31219320e+04,6.34077093e+04,8.60099112e+04,1.28494298e+05,1.47497903e+05,1.32500649e+05
53219.05208333,0.78867560,3.68421742,-0.32443715,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.04350824e+06,1.76717137e+05,4.20766761e+04,5.38480692e+04,6.43061689e+04,8.72319710e+04,1.30387274e+05,1.49707466e+05,1.34666074e+05
53219.05277778,0.77122206,3.70227775,-0.31118502,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.05288972e+06,1.78495227e+05,4.25556283e+04,5.45730626e+04,6.52032133e+04,8.84521060e+04,1.32277269e+05,1.51913549e+05,1.36828089e+05
53219.05347222,0.75369020,3.71996202,-0.29790134,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.06225660e+06,1.80270550e+05,4.30338352e+04,5.52969277e+04,6.60988616e+04,8.96703421e+04,1.34164322e+05,1.54116199e+05,1.38986739e+05
53219.05416667,0.73608253,3.73727210,-0.28458768,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.07160927e+06,1.82043181e+05,4.35113166e+04,5.60196948e+04,6.69931514e+04,9.08867302e+04,1.36048512e+05,1.56315507e+05,1.41142114e+05
53219.05486111,0.71840156,3.75421020,-0.27124576,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.08192063e+06,1.83927017e+05,4.40333416e+04,5.68398756e+04,6.79733394e+04,9.21774168e+04,1.38004589e+05,1.58595439e+05,1.43527880e+05
53219.05555556,0.70064980,3.77077788,-0.25787701,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.09271342e+06,1.85866205e+05,4.45777044e+04,5.77091378e+04,6.89966230e+04,9.35050623e+04,1.39995919e+05,1.60914847e+05,1.46029409e+05
53219.05625000,0.68282945,3.78697734,-0.24448299,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.10349070e+06,1.87802608e+05,4.51212852e+04,5.85771513e+04,7.00184365e+04,9.48308006e+04,1.41984387e+05,1.63230922e+05,1.48527344e+05
53219.05694444,0.66494302,3.80280999,-0.23106542,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.11425232e+06,1.89736197e+05,4.56640760e+04,5.94439032e+04,7.10387650e+04,9.61546121e+04,1.43969966e+05,1.65543632e+05,1.51021649e+05
53219.05763889,0.64699287,3.81827803,-0.21762557,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.12499872e+06,1.91667049e+05,4.62060987e+04,6.03094287e+04,7.20576498e+04,9.74765504e+04,1.45952736e+05,1.67853069e+05,1.53512424e+05
53219.05833333,0.62898120,3.83338288,-0.20416515,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.13572959e+06,1.93595112e+05,4.67473384e+04,6.11737038e+04,7.30750626e+04,9.87965790e+04,1.47932641e+05,1.70159169e+05,1.55999601e+05
53219.05902778,0.61091019,3.84812641,-0.19068527,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.14644547e+06,1.95520483e+05,4.72878223e+04,6.20367720e+04,7.40910546e+04,1.00114764e+05,1.49909781e+05,1.72462050e+05,1.58483305e+05
53219.05972222,0.59278205,3.86251020,-0.17718781,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.15714598e+06,1.97443090e+05,4.78275307e+04,6.28986018e+04,7.51055888e+04,1.01431058e+05,1.51884084e+05,1.74761626e+05,1.60963445e+05
53219.06041667,0.57459898,3.87653597,-0.16367372,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.16783128e+06,1.99362967e+05,4.83664723e+04,6.37592073e+04,7.61186818e+04,1.02745482e+05,1.53855582e+05,1.77057935e+05,1.63440062e+05
53219.06111111,0.55636317,3.89020514,-0.15014471,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.17850093e+06,2.01280031e+05,4.89046243e+04,6.46185517e+04,7.71302903e+04,1.04057980e+05,1.55824192e+05,1.79350879e+05,1.65913049e+05
53219.06180556,0.53807650,3.90351943,-0.13660190,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.18915517e+06,2.03194326e+05,4.94419992e+04,6.54766553e+04,7.81404381e+04,1.05368582e+05,1.57789959e+05,1.81640513e+05,1.68382466e+05
53219.06250000,0.51974102,3.91648041,-0.12304668,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.19979342e+06,2.05105748e+05,4.99785673e+04,6.63334707e+04,7.91490695e+04,1.06677217e+05,1.59752775e+05,1.83926709e+05,1.70848176e+05
53219.06319444,0.50135893,3.92908934,-0.10948047,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.21041549e+06,2.07014263e+05,5.05143196e+04,6.71889833e+04,8.01561671e+04,1.07983863e+05,1.61712606e+05,1.86209429e+05,1.73310136e+05
53219.06388889,0.48293210,3.94134794,-0.09590454,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.22102087e+06,2.08919778e+05,5.10492299e+04,6.80431513e+04,8.11616820e+04,1.09288454e+05,1.63669358e+05,1.88488562e+05,1.75768227e+05
53219.06458333,0.46446258,3.95325747,-0.08232013,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.23160913e+06,2.10822218e+05,5.15832767e+04,6.88959405e+04,8.21655737e+04,1.10590940e+05,1.65622950e+05,1.90764015e+05,1.78222351e+05
53219.06527778,0.44595210,3.96481934,-0.06872834,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.24217994e+06,2.12721522e+05,5.21164432e+04,6.97473239e+04,8.31678106e+04,1.11891279e+05,1.67573323e+05,1.93035717e+05,1.80672428e+05
53219.06597222,0.42740284,3.97603497,-0.05513059,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.25273237e+06,2.14617525e+05,5.26486832e+04,7.05972279e+04,8.41683059e+04,1.13189358e+05,1.69520306e+05,1.95303472e+05,1.83118249e+05
