# Irene Model output file: ../../unitTests/Legacy/CRRactive_NatEpoch_Diff.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.01388889,1.51726880,2.03324350,-0.93229988,6.59481600e+10,6.97881601e+10,1.30531200e+10,2.91156000e+09,8.56080001e+08,2.40397500e+08,9.12562501e+07,2.19525000e+07,4.43203148e+06,1.15620103e+06
53219.01458333,1.51093106,2.07651714,-0.92525113,6.93734398e+10,7.34323198e+10,1.37836800e+10,3.07979999e+09,9.06899998e+08,2.54587499e+08,9.64987498e+07,2.31768749e+07,4.69171897e+06,1.22159166e+06
53219.01527778,1.50418085,2.11922432,-0.91794984,7.27987201e+10,7.70764801e+10,1.45142400e+10,3.24804001e+09,9.57720002e+08,2.68777500e+08,1.01741250e+08,2.44012500e+07,4.95140649e+06,1.28698231e+06
53219.01597222,1.49703211,2.16136976,-0.91040510,7.62239999e+10,8.07206399e+10,1.52448000e+10,3.41628000e+09,1.00854000e+09,2.82967500e+08,1.06983750e+08,2.56256250e+07,5.21109397e+06,1.35237294e+06
53219.01666667,1.48949758,2.20295831,-0.90262557,7.96492802e+10,8.43648002e+10,1.59753600e+10,3.58452001e+09,1.05936000e+09,2.97157501e+08,1.12226250e+08,2.68500001e+07,5.47078149e+06,1.41776359e+06
53219.01736111,1.48158981,2.24399485,-0.89462001,8.30208000e+10,8.79475200e+10,1.67025600e+10,3.75240000e+09,1.10985000e+09,3.11190000e+08,1.17367500e+08,2.80471875e+07,5.72742212e+06,1.47911124e+06
53219.01805556,1.47332072,2.28448440,-0.88639597,8.64000002e+10,9.15417602e+10,1.74456000e+10,3.92484001e+09,1.16163000e+09,3.25567501e+08,1.22610000e+08,2.92696876e+07,5.99414091e+06,1.53993157e+06
53219.01875000,1.46470178,2.32443150,-0.87796145,8.98406400e+10,9.52089600e+10,1.82078400e+10,4.10220000e+09,1.21503000e+09,3.40447500e+08,1.28055000e+08,3.05446875e+07,6.27398468e+06,1.60426752e+06
53219.01944444,1.45574413,2.36384103,-0.86932383,9.32812798e+10,9.88761598e+10,1.89700800e+10,4.27955999e+09,1.26843000e+09,3.55327499e+08,1.33500000e+08,3.18196874e+07,6.55382844e+06,1.66860348e+06
53219.02013889,1.44645844,2.40271786,-0.86049017,9.67219201e+10,1.02543360e+11,1.97323200e+10,4.45692000e+09,1.32183000e+09,3.70207500e+08,1.38945000e+08,3.30946875e+07,6.83367224e+06,1.73293944e+06
