# Legacy Model output file: ../../unitTests/Legacy/Ax8max_NatEpochSaa_Diff.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.00763889,1.55319249,1.61750188,-0.98263373,2.91660281e+08,2.04110547e+08,1.67992000e+08,2.78511113e+07,7.75910449e+06,3.28485913e+06,1.65723230e+06,9.39385986e+05,4.02121399e+05,2.26142319e+05,1.07729843e+05,5.11388474e+04,2.04092216e+04,6.26032305e+03,1.84079337e+03,4.51192737e+02,7.11095855e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,3.00279000e+08,2.10412938e+08,1.73401531e+08,2.91857578e+07,8.07404541e+06,3.39243408e+06,1.70215186e+06,9.95050232e+05,4.16300629e+05,2.38093964e+05,1.11797356e+05,5.28353729e+04,2.10356770e+04,6.45807409e+03,1.88168371e+03,4.59946513e+02,7.14852884e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,3.08599438e+08,2.16518594e+08,1.78663750e+08,3.05294453e+07,8.38678711e+06,3.49724829e+06,1.74493384e+06,1.05201257e+06,4.30208771e+05,2.50207443e+05,1.15811050e+05,5.44910583e+04,2.16428242e+04,6.65006876e+03,1.92005897e+03,4.68027830e+02,7.17424899e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,3.16596531e+08,2.22399219e+08,1.83737734e+08,3.18445840e+07,8.69094043e+06,3.59838403e+06,1.78576953e+06,1.10825562e+06,4.43662537e+05,2.62100525e+05,1.19703499e+05,5.60902901e+04,2.22279224e+04,6.83509254e+03,1.95673740e+03,4.75724578e+02,7.19899312e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,3.24303531e+08,2.28084641e+08,1.88662453e+08,3.31647461e+07,8.99235059e+06,3.69673730e+06,1.82450195e+06,1.16560632e+06,4.56830658e+05,2.74114441e+05,1.23536316e+05,5.76478462e+04,2.27938671e+04,7.01435661e+03,1.99106097e+03,4.82798398e+02,7.21331611e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,3.31926750e+08,2.33689781e+08,1.93374766e+08,3.44515781e+07,9.29139746e+06,3.79433179e+06,1.86936572e+06,1.21739990e+06,4.69637665e+05,2.85757690e+05,1.27247139e+05,5.91438293e+04,2.33007660e+04,7.17800856e+03,2.02065682e+03,4.88091946e+02,7.22950175e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,3.40679000e+08,2.39841438e+08,1.97783938e+08,3.54382305e+07,9.57823535e+06,3.89708057e+06,1.94075500e+06,1.24371387e+06,4.81866364e+05,2.95005096e+05,1.30626770e+05,6.05484276e+04,2.36810188e+04,7.30923605e+03,2.04514790e+03,4.90526974e+02,7.31182769e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,3.49185125e+08,2.45818203e+08,2.02016094e+08,3.64034141e+07,9.86050488e+06,3.99710620e+06,2.01199353e+06,1.26884937e+06,4.93737305e+05,3.04127045e+05,1.33911667e+05,6.19007568e+04,2.40346966e+04,7.43260002e+03,2.06684089e+03,4.92366880e+02,7.38792121e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,3.57637062e+08,2.51756562e+08,2.06136781e+08,3.73719648e+07,1.01462119e+07,4.09682031e+06,2.08560693e+06,1.29314075e+06,5.05514221e+05,3.13402161e+05,1.37176163e+05,6.32248917e+04,2.43605137e+04,7.54673576e+03,2.08585238e+03,4.93503273e+02,7.45523274e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,3.65865719e+08,2.57538062e+08,2.10162625e+08,3.83135039e+07,1.04237324e+07,4.19382178e+06,2.15684814e+06,1.31693237e+06,5.16970642e+05,3.22371948e+05,1.40342392e+05,6.45126495e+04,2.46861458e+04,7.66291332e+03,2.10548162e+03,4.94767487e+02,7.52182677e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
