# Legacy Model output file: ../../unitTests/Legacy/CRRactive_atEpoch_Intg.CRRESPRO.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESPRO
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Active
# Energy levels (MeV):       1.5 2.1 2.5 2.9 3.6 4.3 5.7 6.8 8.5 9.7 10.7 13.2 16.9 19.4 26.3 30.9 36.3 41.1 47 55 65.7 81.3
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00833333,1.55128673,1.66608598,-0.97834803,2.66236074e+04,2.91679590e+03,1.12599512e+03,3.67618439e+02,1.17716179e+02,1.17716179e+02,1.21479874e+01,9.21366692e+00,2.02073288e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,3.88777812e+04,4.48422559e+03,1.66001843e+03,5.41066589e+02,1.69974640e+02,1.69974640e+02,1.63488960e+01,1.09041901e+01,2.25632477e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,3.29357891e+04,3.57812842e+03,1.24990710e+03,4.09130585e+02,1.22419724e+02,1.22419724e+02,9.85543823e+00,8.08759499e+00,1.60028327e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,3.29357891e+04,3.57812842e+03,1.24990710e+03,4.09130585e+02,1.22419724e+02,1.22419724e+02,9.85543823e+00,8.08759499e+00,1.60028327e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,3.29357891e+04,3.57812842e+03,1.24990710e+03,4.09130585e+02,1.22419724e+02,1.22419724e+02,9.85543823e+00,8.08759499e+00,1.60028327e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,3.29357891e+04,3.57812842e+03,1.24990710e+03,4.09130585e+02,1.22419724e+02,1.22419724e+02,9.85543823e+00,8.08759499e+00,1.60028327e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,4.33400742e+04,4.70219727e+03,1.63702661e+03,5.15191833e+02,1.47153458e+02,1.47153458e+02,1.23625202e+01,9.28888226e+00,1.84359610e+00,9.10320040e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,3.35093750e+04,3.44088550e+03,1.17810144e+03,3.40915405e+02,9.61652527e+01,9.61652527e+01,1.01376534e+01,7.92044735e+00,1.70849442e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,3.35093750e+04,3.44088550e+03,1.17810144e+03,3.40915405e+02,9.61652527e+01,9.61652527e+01,1.01376534e+01,7.92044735e+00,1.70849442e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,3.35093750e+04,3.44088550e+03,1.17810144e+03,3.40915405e+02,9.61652527e+01,9.61652527e+01,1.01376534e+01,7.92044735e+00,1.70849442e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
