# Irene Model output file: ../../unitTests/Legacy/CRRactive_atEpoch_Diff.CRRESPRO.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESPRO
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Active
# Energy levels (MeV):       1.5 2.1 2.5 2.9 3.6 4.3 5.7 6.8 8.5 9.7 10.7 13.2 16.9 19.4 26.3 30.9 36.3 41.1 47 55 65.7 81.3
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.00694444,1.55451077,1.56830628,-0.98654759,1.63447000e+07,2.60347320e+06,1.06511688e+06,3.73287881e+05,9.57101192e+04,2.84741837e+04,5.08281494e+03,2.62208628e+03,8.65854087e+02,8.00999933e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,1.81227110e+07,2.87209330e+06,1.17887339e+06,4.10773224e+05,1.04986727e+05,3.11133885e+04,5.52296293e+03,2.86185080e+03,9.41631576e+02,8.00999933e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,1.99007219e+07,3.14071338e+06,1.29262989e+06,4.48258563e+05,1.14263334e+05,3.37525930e+04,5.96311085e+03,3.10161528e+03,1.01740905e+03,8.00999933e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,2.20794858e+07,3.48683897e+06,1.43342954e+06,4.94833130e+05,1.25373765e+05,3.69925173e+04,6.59153780e+03,3.36562864e+03,1.09760389e+03,8.00999933e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,2.44701561e+07,3.87327108e+06,1.58040916e+06,5.44168334e+05,1.36874711e+05,4.03198924e+04,7.13247899e+03,3.61788159e+03,1.16991529e+03,8.00999933e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,2.66719807e+07,4.22250430e+06,1.70652564e+06,5.87174964e+05,1.46932354e+05,4.31339996e+04,7.39765561e+03,3.83412533e+03,1.22992591e+03,8.00999933e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,2.88738050e+07,4.57173746e+06,1.83264210e+06,6.30181587e+05,1.56989995e+05,4.59481064e+04,7.66283219e+03,4.05036904e+03,1.28993653e+03,8.00999933e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,3.10756296e+07,4.92097069e+06,1.95875858e+06,6.73188216e+05,1.67047638e+05,4.87622136e+04,7.92800881e+03,4.26661278e+03,1.34994716e+03,8.00999933e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,3.36254620e+07,5.32547507e+06,2.10595440e+06,7.22294404e+05,1.78182968e+05,5.18541536e+04,8.29111994e+03,4.49882273e+03,1.41434921e+03,1.14236990e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,3.62019506e+07,5.72507168e+06,2.25288094e+06,7.68253543e+05,1.88753964e+05,5.46143849e+04,8.68793321e+03,4.72644337e+03,1.48078021e+03,1.48373988e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
