# Legacy Model output file: ../../unitTests/Legacy/Ax8min_NatEpoch_Diff.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.00763889,1.55319249,1.61750188,-0.98263373,1.10877914e+08,6.93404922e+07,2.64269219e+07,7.31904248e+06,1.77851965e+06,7.42172180e+05,5.94570068e+05,2.21944656e+05,1.40870819e+05,4.74376526e+04,3.08822727e+04,2.05392494e+04,1.20402393e+04,5.36762524e+03,1.99976289e+03,4.96572226e+02,8.35765377e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,1.14233422e+08,7.15389609e+07,2.73276523e+07,7.60332129e+06,1.79494580e+06,8.08039185e+05,6.20859253e+05,2.30723816e+05,1.46135849e+05,5.06774483e+04,3.21665382e+04,2.14563923e+04,1.24262695e+04,5.54241180e+03,2.03356338e+03,5.03282607e+02,8.32316801e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,1.17516328e+08,7.36978984e+07,2.82174844e+07,7.88705078e+06,1.80724390e+06,8.77584778e+05,6.47358521e+05,2.39496155e+05,1.51369858e+05,5.40393753e+04,3.34545212e+04,2.23796349e+04,1.28056650e+04,5.71407843e+03,2.06490278e+03,5.09320974e+02,8.27767625e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,1.20722805e+08,7.58093359e+07,2.90898398e+07,8.16643311e+06,1.81741711e+06,9.48364624e+05,6.73581116e+05,2.48139801e+05,1.56512741e+05,5.74210625e+04,3.47256012e+04,2.32917118e+04,1.31767588e+04,5.88173103e+03,2.09513092e+03,5.15114546e+02,8.23548585e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,1.23788898e+08,7.78432188e+07,2.99398926e+07,8.44387500e+06,1.82044641e+06,1.02483655e+06,7.00057129e+05,2.56741791e+05,1.61583389e+05,6.09915695e+04,3.59984322e+04,2.42114563e+04,1.35348845e+04,6.04348326e+03,2.12054396e+03,5.19581318e+02,8.16578493e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,1.26754844e+08,7.98197031e+07,3.07716602e+07,8.71853125e+06,1.81895386e+06,1.10500427e+06,7.26562256e+05,2.65268402e+05,1.66580597e+05,6.46728516e+04,3.72651825e+04,2.51303787e+04,1.38831711e+04,6.20058250e+03,2.14326048e+03,5.23340702e+02,8.08609724e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,1.29618922e+08,8.17319453e+07,3.15787363e+07,8.98658008e+06,1.81531287e+06,1.18595032e+06,7.52565308e+05,2.73593628e+05,1.71441223e+05,6.83470306e+04,3.85040894e+04,2.60302200e+04,1.42202501e+04,6.35235596e+03,2.16476464e+03,5.26850522e+02,8.01060349e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,1.32409266e+08,8.36080078e+07,3.23792324e+07,9.25706543e+06,1.80529199e+06,1.27381958e+06,7.79213074e+05,2.82012604e+05,1.76315186e+05,7.22588120e+04,3.97640305e+04,2.69504814e+04,1.45514469e+04,6.50130606e+03,2.18278456e+03,5.29380918e+02,7.91495889e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,1.35221297e+08,8.55007031e+07,3.32101406e+07,9.52324512e+06,1.83329138e+06,1.33136987e+06,8.04512695e+05,2.91491516e+05,1.81028427e+05,7.58159027e+04,4.10891800e+04,2.78023186e+04,1.48844452e+04,6.63644171e+03,2.19900608e+03,5.30743957e+02,7.86866695e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,1.38612953e+08,8.77752734e+07,3.42499023e+07,9.82144336e+06,1.95511499e+06,1.32501477e+06,8.30425903e+05,3.04769897e+05,1.86169525e+05,7.89380569e+04,4.27580338e+04,2.86287556e+04,1.52824106e+04,6.76755953e+03,2.21711850e+03,5.30698597e+02,7.93304145e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,1.42201438e+08,9.01809922e+07,3.53497695e+07,1.01368145e+07,2.08464136e+06,1.31883569e+06,8.57839355e+05,3.18865479e+05,1.91605362e+05,8.22466278e+04,4.45229492e+04,2.95018234e+04,1.57025385e+04,6.90653706e+03,2.23727345e+03,5.31144083e+02,8.00625756e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,1.45707875e+08,9.25700234e+07,3.64886875e+07,1.04632754e+07,2.23576318e+06,1.30140051e+06,8.86386475e+05,3.34576233e+05,1.97097809e+05,8.58677902e+04,4.64461632e+04,3.03933353e+04,1.61196194e+04,7.03194714e+03,2.24711752e+03,5.28213084e+02,8.03955346e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,1.49206844e+08,9.49251328e+07,3.75805977e+07,1.07763477e+07,2.37083350e+06,1.29280225e+06,9.13646484e+05,3.49014252e+05,2.02448471e+05,8.92255325e+04,4.82296638e+04,3.12547550e+04,1.65302296e+04,7.16483021e+03,2.26541018e+03,5.28402567e+02,8.10250938e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,1.52598719e+08,9.72189453e+07,3.86579141e+07,1.10850898e+07,2.50935327e+06,1.28161804e+06,9.40582458e+05,3.63607056e+05,2.07686066e+05,9.25975418e+04,5.00163498e+04,3.21004448e+04,1.69298840e+04,7.29102850e+03,2.28103352e+03,5.27946115e+02,8.15513879e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,1.55947406e+08,9.94909922e+07,3.97359102e+07,1.13940049e+07,2.65227930e+06,1.26845093e+06,9.67573914e+05,3.78502380e+05,2.12895065e+05,9.60211487e+04,5.18258209e+04,3.29433098e+04,1.73254070e+04,7.41357565e+03,2.29500771e+03,5.27094185e+02,8.20108280e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01805556,1.47332072,2.28448440,-0.88639597,1.59246203e+08,1.01738086e+08,4.08131211e+07,1.17026729e+07,2.79957202e+06,1.25329285e+06,9.94581543e+05,3.93688171e+05,2.18068832e+05,9.94926987e+04,5.36562004e+04,3.37820320e+04,1.77161541e+04,7.53223610e+03,2.30730987e+03,5.25850415e+02,8.24028924e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
