# Irene Model output file: ../../unitTests/Legacy/CammiceAll_PaOmni.CAMMICE.output_mean_He+_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         He+
# Flux type:                Differential
# Flux direction:           Omnidirectional
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.01180556,1.53366367,1.89997504,-0.95183246,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.66017029e+07,7.02946834e+06,1.85628866e+06,6.14236214e+05,6.35894830e+05,5.69524209e+05,3.12886000e+05
53219.01250000,1.52865033,1.94497724,-0.94560083,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.84751222e+07,7.33018747e+06,1.92229961e+06,6.42940474e+05,6.59701955e+05,5.85704777e+05,3.22803928e+05
53219.01319444,1.52318025,1.98939854,-0.93908636,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.03759771e+07,7.63750845e+06,1.98938976e+06,6.72077706e+05,6.84030577e+05,6.02177609e+05,3.32911265e+05
53219.01388889,1.51726880,2.03324350,-0.93229988,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.23040335e+07,7.95137494e+06,2.05754988e+06,7.01644217e+05,7.08876244e+05,6.18940209e+05,3.43206394e+05
53219.01458333,1.51093106,2.07651714,-0.92525113,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.42592724e+07,8.27178245e+06,2.12677924e+06,7.31639708e+05,7.34238601e+05,6.35992378e+05,3.53689185e+05
53219.01527778,1.50418085,2.11922432,-0.91794984,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.62416704e+07,8.59872524e+06,2.19707691e+06,7.62063806e+05,7.60117196e+05,6.53333864e+05,3.64359474e+05
53219.01597222,1.49703211,2.16136976,-0.91040510,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.82511972e+07,8.93219613e+06,2.26844171e+06,7.92916037e+05,7.86511462e+05,6.70964346e+05,3.75217055e+05
53219.01666667,1.48949758,2.20295831,-0.90262557,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.02878197e+07,9.27218705e+06,2.34087233e+06,8.24195876e+05,8.13420761e+05,6.88883470e+05,3.86261697e+05
53219.01736111,1.48158981,2.24399485,-0.89462001,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.23514992e+07,9.61868876e+06,2.41436724e+06,8.55902713e+05,8.40844362e+05,7.07090824e+05,3.97493134e+05
53219.01805556,1.47332072,2.28448440,-0.88639597,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.44421953e+07,9.97169148e+06,2.48892486e+06,8.88035910e+05,8.68781495e+05,7.25585978e+05,4.08911086e+05
53219.01875000,1.46470178,2.32443150,-0.87796145,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.65598637e+07,1.03311846e+07,2.56454345e+06,9.20594770e+05,8.97231321e+05,7.44368460e+05,4.20515249e+05
53219.01944444,1.45574413,2.36384103,-0.86932383,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.87044586e+07,1.06971571e+07,2.64122120e+06,9.53578567e+05,9.26192967e+05,7.63437783e+05,4.32305306e+05
53219.02013889,1.44645844,2.40271786,-0.86049017,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.08759322e+07,1.10695975e+07,2.71895623e+06,9.86986549e+05,9.55665524e+05,7.82793436e+05,4.44280926e+05
53219.02083333,1.43685460,2.44106636,-0.85146738,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.30742341e+07,1.14484936e+07,2.79774657e+06,1.02081792e+06,9.85648036e+05,8.02434883e+05,4.56441763e+05
53219.02152778,1.42694265,2.47889157,-0.84226174,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.52993138e+07,1.18338332e+07,2.87759022e+06,1.05507188e+06,1.01613954e+06,8.22361585e+05,4.68787465e+05
53219.02222222,1.41673201,2.51619773,-0.83287968,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.75511184e+07,1.22256038e+07,2.95848511e+06,1.08974760e+06,1.04713903e+06,8.42572982e+05,4.81317671e+05
53219.02291667,1.40623164,2.55298955,-0.82332732,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.98295957e+07,1.26237926e+07,3.04042917e+06,1.12484425e+06,1.07864552e+06,8.63068513e+05,4.94032018e+05
53219.02361111,1.39545046,2.58927141,-0.81361047,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.21346911e+07,1.30283865e+07,3.12342027e+06,1.16036098e+06,1.11065797e+06,8.83847601e+05,5.06930130e+05
53219.02430556,1.38439666,2.62504771,-0.80373478,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.44663510e+07,1.34393728e+07,3.20745630e+06,1.19629693e+06,1.14317536e+06,9.04909671e+05,5.20011636e+05
53219.02500000,1.37307870,2.66032286,-0.79370542,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.68231207e+07,1.38565354e+07,3.29250240e+06,1.23263704e+06,1.17615841e+06,9.26250144e+05,5.33267130e+05
53219.02569444,1.36150411,2.69510108,-0.78352791,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.92032270e+07,1.42796125e+07,3.37851632e+06,1.26936302e+06,1.20955913e+06,9.47863532e+05,5.46685152e+05
53219.02638889,1.34968075,2.72938677,-0.77320693,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.16062998e+07,1.47085452e+07,3.46548853e+06,1.30647080e+06,1.24336787e+06,9.69748350e+05,5.60263290e+05
53219.02708333,1.33761568,2.76318386,-0.76274752,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.40322904e+07,1.51433211e+07,3.55341700e+06,1.34395957e+06,1.27758377e+06,9.91904022e+05,5.74001203e+05
53219.02777778,1.32531611,2.79649642,-0.75215438,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.64811508e+07,1.55839280e+07,3.64229973e+06,1.38182855e+06,1.31220597e+06,1.01432998e+06,5.87898557e+05
