# Legacy Model output file: ../../unitTests/Legacy/Ax8max_atEpoch_Diff.AP8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Max
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.51180556,1.48525709,2.22069500,-0.88856589,1.03341101e+09,8.43492800e+08,3.68962080e+08,2.08949392e+08,1.30509488e+08,9.62822240e+07,8.50549800e+06,2.15440656e+05,2.01812148e+04,3.89908936e+03,1.14705823e+03,9.53082581e+01,1.59101429e+01,9.23108280e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.51250000,1.47719739,2.26152718,-0.88029602,1.08152730e+09,8.86269312e+08,3.84485312e+08,2.16618864e+08,1.36138448e+08,9.72702720e+07,8.51936300e+06,1.98636469e+05,1.84222051e+04,3.48411401e+03,1.03385547e+03,8.08158646e+01,1.33682060e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.51319444,1.46878029,2.30181206,-0.87181300,1.13590003e+09,9.28981184e+08,4.10490272e+08,2.23559056e+08,1.33982920e+08,1.00596528e+08,8.28313300e+06,1.86189281e+05,1.69611094e+04,3.08607812e+03,9.01094910e+02,6.59658737e+01,1.08069553e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.51388889,1.46001711,2.34155450,-0.86312437,1.18989632e+09,9.71434176e+08,4.36618400e+08,2.30308000e+08,1.31804088e+08,1.03925072e+08,8.06596250e+06,1.75409672e+05,1.57014053e+04,2.75655078e+03,7.92005371e+02,5.44873619e+01,8.84784031e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.51458333,1.45091851,2.38075935,-0.85423751,1.24561638e+09,1.01498554e+09,4.63530784e+08,2.36633968e+08,1.29130576e+08,1.07070240e+08,7.81049950e+06,1.64420656e+05,1.44522656e+04,2.44842896e+03,6.91811768e+02,4.46710854e+01,7.18797731e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.51527778,1.44149532,2.41943135,-0.84515947,1.30391539e+09,1.06037018e+09,4.91610944e+08,2.42773104e+08,1.26146528e+08,1.10146560e+08,7.53514550e+06,1.53572516e+05,1.32458398e+04,2.16550122e+03,6.01339722e+02,3.63952141e+01,5.79877424e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.51597222,1.43175728,2.45757518,-0.83589685,1.36163085e+09,1.10359501e+09,5.01705664e+08,2.48566256e+08,1.27107744e+08,1.10278808e+08,7.18883500e+06,1.42132594e+05,1.18381240e+04,1.85777820e+03,5.14043945e+02,2.99677391e+01,4.57854509e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.51666667,1.42171443,2.49519557,-0.82645593,1.41986061e+09,1.14687757e+09,5.05725664e+08,2.53964352e+08,1.29095128e+08,1.09347216e+08,6.81434400e+06,1.30725227e+05,1.04661836e+04,1.57159717e+03,4.35242767e+02,2.46404953e+01,3.57017732e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.51736111,1.41137588,2.53229721,-0.81684329,1.47930189e+09,1.19156416e+09,5.09568768e+08,2.59275040e+08,1.31068680e+08,1.08392416e+08,6.45657100e+06,1.20179781e+05,9.25604492e+03,1.32889685e+03,3.68485413e+02,2.02682514e+01,2.78250909e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.51805556,1.40075057,2.56888451,-0.80706445,1.53815552e+09,1.23559309e+09,5.12277600e+08,2.63930224e+08,1.32720552e+08,1.07139024e+08,6.09499850e+06,1.10124156e+05,8.16391846e+03,1.12016479e+03,3.11101990e+02,1.66399364e+01,2.16189122e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
