# Legacy Model output file: ../../unitTests/Legacy/CammiceAll_Pa70.CAMMICE.output_mean_H+_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         H+
# Flux type:                Differential
# Flux direction:           Bin 60-70
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/keV)
53219.01180556,1.53366367,1.89997504,-0.95183246,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.79988226e+04,2.94124416e+03,2.76622241e+02,1.81145086e+02,1.95531755e+02,2.07345106e+02,3.74986721e+02,6.52214931e+02,9.89824947e+02
53219.01250000,1.52865033,1.94497724,-0.94560083,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.85297364e+04,2.99701605e+03,2.81867553e+02,1.84579960e+02,1.99239430e+02,2.11276786e+02,3.82097221e+02,6.64582235e+02,1.00859401e+03
53219.01319444,1.52318025,1.98939854,-0.93908636,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.90556106e+04,3.05225853e+03,2.87063076e+02,1.87982229e+02,2.02911909e+02,2.15171144e+02,3.89140226e+02,6.76832143e+02,1.02718492e+03
53219.01388889,1.51726880,2.03324350,-0.93229988,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.95149968e+04,3.12955156e+03,3.01090523e+02,1.95602853e+02,2.11001998e+02,2.31812706e+02,4.27829357e+02,7.43823008e+02,1.13012426e+03
53219.01458333,1.51093106,2.07651714,-0.92525113,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.99438778e+04,3.21771222e+03,3.19415450e+02,2.05279073e+02,2.21245136e+02,2.54645079e+02,4.81879174e+02,8.37384761e+02,1.27400483e+03
53219.01527778,1.50418085,2.11922432,-0.91794984,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.03762830e+04,3.30616147e+03,3.37748516e+02,2.14965023e+02,2.31499160e+02,2.77466326e+02,5.35884708e+02,9.30870337e+02,1.41776621e+03
53219.01597222,1.49703211,2.16136976,-0.91040510,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.08122101e+04,3.39489053e+03,3.56086914e+02,2.24659326e+02,2.41762620e+02,3.00272543e+02,5.89836381e+02,1.02426317e+03,1.56138290e+03
53219.01666667,1.48949758,2.20295831,-0.90262557,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.12516656e+04,3.48389266e+03,3.74428285e+02,2.34360835e+02,2.52034315e+02,3.23060400e+02,6.43725974e+02,1.11754904e+03,1.70483298e+03
53219.01736111,1.48158981,2.24399485,-0.89462001,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.16946533e+04,3.57316082e+03,3.92770226e+02,2.44068380e+02,2.62313017e+02,3.45826518e+02,6.97545166e+02,1.21071355e+03,1.84809428e+03
53219.01805556,1.47332072,2.28448440,-0.88639597,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.21802805e+04,3.65056957e+03,4.06193878e+02,2.51435972e+02,2.70142327e+02,3.61458208e+02,7.33626390e+02,1.27319587e+03,1.94407564e+03
53219.01875000,1.46470178,2.32443150,-0.87796145,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.27218151e+04,3.71200190e+03,4.13029369e+02,2.55667174e+02,2.74688323e+02,3.67540881e+02,7.45971964e+02,1.29462140e+03,1.97679083e+03
53219.01944444,1.45574413,2.36384103,-0.86932383,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.32666164e+04,3.77380482e+03,4.19906095e+02,2.59923901e+02,2.79261741e+02,3.73660247e+02,7.58392013e+02,1.31617618e+03,2.00970338e+03
53219.02013889,1.44645844,2.40271786,-0.86049017,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.38147160e+04,3.83598189e+03,4.26824454e+02,2.64206398e+02,2.83862848e+02,3.79816660e+02,7.70887253e+02,1.33786145e+03,2.04281518e+03
53219.02083333,1.43685460,2.44106636,-0.85146738,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.43661345e+04,3.89853547e+03,4.33784705e+02,2.68514827e+02,2.88491816e+02,3.86010352e+02,7.83458156e+02,1.35967804e+03,2.07612749e+03
53219.02152778,1.42694265,2.47889157,-0.84226174,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.49209209e+04,3.96147110e+03,4.40787466e+02,2.72849570e+02,2.93149056e+02,3.92241873e+02,7.96105837e+02,1.38162787e+03,2.10964325e+03
53219.02222222,1.41673201,2.51619773,-0.83287968,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.54791134e+04,4.02479313e+03,4.47833221e+02,2.77210927e+02,2.97834889e+02,3.98511653e+02,8.08831169e+02,1.40371246e+03,2.14336479e+03
53219.02291667,1.40623164,2.55298955,-0.82332732,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.60407570e+04,4.08850665e+03,4.54922537e+02,2.81599247e+02,3.02549692e+02,4.04820195e+02,8.21635176e+02,1.42593359e+03,2.17729481e+03
53219.02361111,1.39545046,2.58927141,-0.81361047,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.66058969e+04,4.15261680e+03,4.62055986e+02,2.86014887e+02,3.07293846e+02,4.11168010e+02,8.34518891e+02,1.44829306e+03,2.21143605e+03
53219.02430556,1.38439666,2.62504771,-0.80373478,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.71745832e+04,4.21712926e+03,4.69234199e+02,2.90458235e+02,3.12067772e+02,4.17555659e+02,8.47483455e+02,1.47079283e+03,2.24579154e+03
53219.02500000,1.37307870,2.66032286,-0.79370542,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.77468792e+04,4.28205119e+03,4.76457973e+02,2.94929787e+02,3.16871998e+02,4.23983852e+02,8.60530308e+02,1.49343542e+03,2.28036509e+03
53219.02569444,1.36150411,2.69510108,-0.78352791,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.83228182e+04,4.34738641e+03,4.83727734e+02,2.99429804e+02,3.21706807e+02,4.30452967e+02,8.73660215e+02,1.51622215e+03,2.31515873e+03
53219.02638889,1.34968075,2.72938677,-0.77320693,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.89024728e+04,4.41314312e+03,4.91044393e+02,3.03958851e+02,3.26572807e+02,4.36963814e+02,8.86874826e+02,1.53915587e+03,2.35017683e+03
53219.02708333,1.33761568,2.76318386,-0.76274752,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.94858879e+04,4.47932643e+03,4.98408519e+02,3.08517280e+02,3.31470375e+02,4.43516901e+02,9.00175168e+02,1.56223838e+03,2.38542211e+03
53219.02777778,1.32531611,2.79649642,-0.75215438,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.00731170e+04,4.54594240e+03,5.05820787e+02,3.13105510e+02,3.36399960e+02,4.50112828e+02,9.13562458e+02,1.58547180e+03,2.42089781e+03
53219.02847222,1.31278896,2.82932870,-0.74143207,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.06642184e+04,4.61299764e+03,5.13281932e+02,3.17723995e+02,3.41362052e+02,4.56752249e+02,9.27038026e+02,1.60885841e+03,2.45660743e+03
53219.02916667,1.30004065,2.86168446,-0.73058466,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.15930796e+04,4.65793987e+03,5.23986918e+02,3.26846070e+02,3.49910932e+02,4.68430646e+02,9.45687134e+02,1.63970762e+03,2.51911828e+03
53219.02986111,1.28707747,2.89356762,-0.71961671,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.33341810e+04,4.64871445e+03,5.42475930e+02,3.46828874e+02,3.67097585e+02,4.92247109e+02,9.76736082e+02,1.68840604e+03,2.64618519e+03
53219.03055556,1.27390601,2.92498195,-0.70853199,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.50750219e+04,4.64023792e+03,5.60974789e+02,3.66785626e+02,3.84272373e+02,5.16044608e+02,1.00781164e+03,1.73717017e+03,2.77315396e+03
53219.03125000,1.26053177,2.95593122,-0.69733473,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.68155967e+04,4.63251932e+03,5.79483585e+02,3.86715980e+02,4.01435127e+02,5.39822877e+02,1.03891408e+03,1.78600073e+03,2.90002324e+03
53219.03194444,1.24696101,2.98641920,-0.68602853,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.85559253e+04,4.62556755e+03,5.98002682e+02,4.06619889e+02,4.18585932e+02,5.63582006e+02,1.07004413e+03,1.83489915e+03,3.02679352e+03
53219.03263889,1.23319893,3.01644949,-0.67461718,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.02960064e+04,4.61939152e+03,6.16532215e+02,4.26497061e+02,4.35724663e+02,5.87321789e+02,1.10120215e+03,1.88386627e+03,3.15346375e+03
53219.03333333,1.21925132,3.04602571,-0.66310412,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.20358418e+04,4.61400012e+03,6.35072357e+02,4.46347244e+02,4.52851230e+02,6.11042074e+02,1.13238854e+03,1.93290301e+03,3.28003314e+03
53219.03402778,1.20512321,3.07515099,-0.65149297,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.37754056e+04,4.60940218e+03,6.53622976e+02,4.66169872e+02,4.69965267e+02,6.34742322e+02,1.16360320e+03,1.98200949e+03,3.40649887e+03
53219.03472222,1.19081978,3.10382911,-0.63978701,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.55146786e+04,4.60560645e+03,6.72184015e+02,4.85964456e+02,4.87066476e+02,6.58422093e+02,1.19484615e+03,2.03118602e+03,3.53285863e+03
53219.03541667,1.17634606,3.13206335,-0.62798955,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.72536473e+04,4.60262153e+03,6.90755475e+02,5.05730581e+02,5.04154620e+02,6.82081030e+02,1.22611751e+03,2.08043306e+03,3.65911052e+03
53219.03611111,1.16170690,3.15985701,-0.61610356,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.87173793e+04,4.61903322e+03,7.06706799e+02,5.21784296e+02,5.18302810e+02,7.01605390e+02,1.25323058e+03,2.12373337e+03,3.76337665e+03
53219.03680556,1.14690686,3.18721324,-0.60413250,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.95114413e+04,4.68149852e+03,7.16263919e+02,5.28840624e+02,5.25312056e+02,7.11093520e+02,1.27017859e+03,2.15245358e+03,3.81427052e+03
53219.03750000,1.13195050,3.21413533,-0.59207889,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.89371024e+04,5.82608214e+03,9.93838738e+02,1.12258761e+03,1.59982811e+03,2.39813702e+03,3.99444583e+03,6.00636249e+03,7.41005985e+03
53219.03819444,1.11684235,3.24062626,-0.57994601,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.95903822e+04,5.90385671e+03,1.00710587e+03,1.13757346e+03,1.62118481e+03,2.43015066e+03,4.04776919e+03,6.08654368e+03,7.50897953e+03
53219.03888889,1.10158683,3.26668916,-0.56773638,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.02481783e+04,5.98216895e+03,1.02046471e+03,1.15266291e+03,1.64268917e+03,2.46238561e+03,4.10146119e+03,6.16727920e+03,7.60858307e+03
