# Legacy Model output file: ../../unitTests/Legacy/CammiceAll_Pa90.CAMMICE.output_mean_Ions_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         Ions
# Flux type:                Differential
# Flux direction:           Bin 80-90
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/keV)
53219.01180556,1.53366367,1.89997504,-0.95183246,3.07255139e+03,1.71246648e+03,1.38135354e+03,7.69011854e+02,1.77983105e+02,8.39091162e+01,4.40705332e+01,5.16172122e+01,6.95248867e+01,1.33546604e+02,2.28293238e+02,3.53005161e+02
53219.01250000,1.52865033,1.94497724,-0.94560083,3.13443882e+03,1.74695904e+03,1.40917680e+03,7.84501315e+02,1.81568046e+02,8.55992162e+01,4.49582033e+01,5.26568877e+01,7.09252591e+01,1.36236503e+02,2.32891528e+02,3.60115402e+02
53219.01319444,1.52318025,1.98939854,-0.93908636,3.19595262e+03,1.78124335e+03,1.43683209e+03,7.99897263e+02,1.85131345e+02,8.72791128e+01,4.58405143e+01,5.36902865e+01,7.23171773e+01,1.38910164e+02,2.37462056e+02,3.67182718e+02
53219.01388889,1.51726880,2.03324350,-0.93229988,3.25808519e+03,1.81587253e+03,1.46476557e+03,8.15448080e+02,1.88730486e+02,8.89759076e+01,4.67317005e+01,5.47340803e+01,7.37230968e+01,1.41610719e+02,2.42078561e+02,3.74321123e+02
53219.01458333,1.51093106,2.07651714,-0.92525113,3.32084175e+03,1.85084949e+03,1.49297958e+03,8.31155071e+02,1.92365774e+02,9.06897430e+01,4.76318368e+01,5.57883567e+01,7.51431357e+01,1.44338395e+02,2.46741427e+02,3.81531219e+02
53219.01527778,1.50418085,2.11922432,-0.91794984,3.38422711e+03,1.88617691e+03,1.52147629e+03,8.47019441e+02,1.96037485e+02,9.24207505e+01,4.85409922e+01,5.68531967e+01,7.65774030e+01,1.47093402e+02,2.51451015e+02,3.88813557e+02
53219.01597222,1.49703211,2.16136976,-0.91040510,3.44824870e+03,1.92185893e+03,1.55025903e+03,8.63043052e+02,1.99746052e+02,9.41691331e+01,4.94592733e+01,5.79287251e+01,7.80260669e+01,1.49876062e+02,2.56207875e+02,3.96168993e+02
53219.01666667,1.48949758,2.20295831,-0.90262557,3.51291566e+03,1.95790063e+03,1.57933191e+03,8.79228185e+02,2.03492003e+02,9.59351400e+01,5.03868110e+01,5.90150952e+01,7.94893338e+01,1.52686772e+02,2.61012686e+02,4.03598573e+02
53219.01736111,1.48158981,2.24399485,-0.89462001,3.57823708e+03,1.99430710e+03,1.60869903e+03,8.95577122e+02,2.07275865e+02,9.77190200e+01,5.13237359e+01,6.01124600e+01,8.09674098e+01,1.55525929e+02,2.65866124e+02,4.11103346e+02
53219.01805556,1.47332072,2.28448440,-0.88639597,3.64422749e+03,2.03108643e+03,1.63836691e+03,9.12093495e+02,2.11098478e+02,9.95211694e+01,5.22702562e+01,6.12210634e+01,8.24606234e+01,1.58394162e+02,2.70769269e+02,4.18684978e+02
53219.01875000,1.46470178,2.32443150,-0.87796145,3.71089863e+03,2.06824516e+03,1.66834083e+03,9.28780247e+02,2.14960525e+02,1.01341909e+02,5.32265406e+01,6.23411028e+01,8.39692406e+01,1.61291984e+02,2.75722993e+02,4.26344820e+02
53219.01944444,1.45574413,2.36384103,-0.86932383,3.77826533e+03,2.10579154e+03,1.69862746e+03,9.45641084e+02,2.18862863e+02,1.03181644e+02,5.41928015e+01,6.34728271e+01,8.54935965e+01,1.64220037e+02,2.80728397e+02,4.34084574e+02
53219.02013889,1.44645844,2.40271786,-0.86049017,3.84634387e+03,2.14373468e+03,1.72923412e+03,9.62680085e+02,2.22806436e+02,1.05040819e+02,5.51692726e+01,6.46165100e+01,8.70340599e+01,1.67179030e+02,2.85786692e+02,4.41906112e+02
53219.02083333,1.43685460,2.44106636,-0.85146738,3.91514969e+03,2.18208315e+03,1.76016775e+03,9.79901112e+02,2.26792138e+02,1.06919855e+02,5.61561753e+01,6.57724108e+01,8.85909799e+01,1.70169633e+02,2.90899024e+02,4.49811206e+02
53219.02152778,1.42694265,2.47889157,-0.84226174,3.98470226e+03,2.22084782e+03,1.79143710e+03,9.97309038e+02,2.30821096e+02,1.08819285e+02,5.71537888e+01,6.69408566e+01,9.01647972e+01,1.73192694e+02,2.96066840e+02,4.57802095e+02
53219.02222222,1.41673201,2.51619773,-0.83287968,4.05502029e+03,2.26003912e+03,1.82305059e+03,1.01490855e+03,2.34894396e+02,1.10739618e+02,5.81623816e+01,6.81221617e+01,9.17559352e+01,1.76249025e+02,3.01291531e+02,4.65880928e+02
53219.02291667,1.40623164,2.55298955,-0.82332732,4.12612390e+03,2.29966825e+03,1.85501725e+03,1.03270468e+03,2.39013201e+02,1.12681406e+02,5.91822421e+01,6.93166641e+01,9.33648490e+01,1.79339501e+02,3.06574591e+02,4.74050015e+02
53219.02361111,1.39545046,2.58927141,-0.81361047,4.19803389e+03,2.33974681e+03,1.88734645e+03,1.05070263e+03,2.43178717e+02,1.14645215e+02,6.02136688e+01,7.05247134e+01,9.49920094e+01,1.82465025e+02,3.11917566e+02,4.82311748e+02
53219.02430556,1.38439666,2.62504771,-0.80373478,4.27077232e+03,2.38028710e+03,1.92004809e+03,1.06890793e+03,2.47392223e+02,1.16631647e+02,6.12569781e+01,7.17466798e+01,9.66379154e+01,1.85626557e+02,3.17322094e+02,4.90668659e+02
53219.02500000,1.37307870,2.66032286,-0.79370542,4.29034451e+03,2.16051285e+03,1.72677209e+03,9.09063644e+02,2.42578494e+02,1.18440432e+02,6.77717414e+01,8.31536283e+01,1.13701144e+02,2.03170144e+02,3.44392496e+02,5.84016800e+02
53219.02569444,1.36150411,2.69510108,-0.78352791,4.31669498e+03,1.96972890e+03,1.55862928e+03,7.68921441e+02,2.38807440e+02,1.20295054e+02,7.37023785e+01,9.34636616e+01,1.29101226e+02,2.19183894e+02,3.69166810e+02,6.68186972e+02
53219.02638889,1.34968075,2.72938677,-0.77320693,4.39031994e+03,2.00332432e+03,1.58521305e+03,7.82036060e+02,2.42880507e+02,1.22346790e+02,7.49594363e+01,9.50577651e+01,1.31303159e+02,2.22922265e+02,3.75463268e+02,6.79583479e+02
53219.02708333,1.33761568,2.76318386,-0.76274752,4.46484934e+03,2.03733245e+03,1.61212339e+03,7.95311785e+02,2.47003609e+02,1.24423730e+02,7.62319362e+01,9.66714512e+01,1.33532142e+02,2.26706559e+02,3.81837075e+02,6.91119984e+02
53219.02777778,1.32531611,2.79649642,-0.75215438,4.54030894e+03,2.07176503e+03,1.63936959e+03,8.08753204e+02,2.51178172e+02,1.26526593e+02,7.75203182e+01,9.83052777e+01,1.35788944e+02,2.30538085e+02,3.88290434e+02,7.02800476e+02
