# Legacy Model output file: ../../unitTests/Legacy/Ax8max_NatEpochSaa_Intg.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00763889,1.55319249,1.61750188,-0.98263373,2.63533008e+07,2.05704531e+07,1.60565684e+07,6.15612744e+06,2.81081982e+06,1.60615747e+06,1.03311279e+06,5.39109558e+05,2.54169113e+05,1.25452621e+05,5.51629181e+04,2.23572388e+04,7.67627335e+03,2.19353867e+03,5.66872239e+02,1.20619312e+02,2.01360490e+01,3.69325234e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,2.72733535e+07,2.13159551e+07,1.66598320e+07,6.41919141e+06,2.91952051e+06,1.66654846e+06,1.07417139e+06,5.64983948e+05,2.64224304e+05,1.30797104e+05,5.70503082e+04,2.30507832e+04,7.89674425e+03,2.25112224e+03,5.77674568e+02,1.22329876e+02,2.02343185e+01,3.70875164e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,2.81755566e+07,2.20493223e+07,1.72551387e+07,6.68162402e+06,3.02703931e+06,1.72614294e+06,1.11487939e+06,5.91046570e+05,2.74189758e+05,1.36126923e+05,5.88975563e+04,2.37236862e+04,8.10914612e+03,2.30612612e+03,5.87643325e+02,1.23846523e+02,2.02977397e+01,3.71746044e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,2.90484102e+07,2.27597871e+07,1.78325547e+07,6.93738916e+06,3.13143066e+06,1.78394678e+06,1.15444226e+06,6.16569885e+05,2.83873596e+05,1.41320801e+05,6.06837578e+04,2.43724403e+04,8.31348896e+03,2.35892320e+03,5.97150028e+02,1.25287309e+02,2.03580074e+01,3.72547144e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,2.99026348e+07,2.34572168e+07,1.84011055e+07,7.19192090e+06,3.23447119e+06,1.84086633e+06,1.19357690e+06,6.42210327e+05,2.93449310e+05,1.46487823e+05,6.24285126e+04,2.50006409e+04,8.50996113e+03,2.40924501e+03,6.05886877e+02,1.26552254e+02,2.03877296e+01,3.72756086e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,3.07364863e+07,2.41362832e+07,1.89533555e+07,7.44185498e+06,3.33642651e+06,1.89709485e+06,1.23217932e+06,6.66073364e+05,3.02685303e+05,1.51448822e+05,6.40859299e+04,2.55846786e+04,8.68504810e+03,2.45375967e+03,6.13034785e+02,1.27438843e+02,2.03837454e+01,3.71141429e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,3.15413574e+07,2.47672617e+07,1.94480078e+07,7.65904834e+06,3.43526465e+06,1.95195862e+06,1.26879272e+06,6.82401794e+05,3.10798431e+05,1.55588501e+05,6.55611496e+04,2.60905876e+04,8.81956577e+03,2.48918867e+03,6.18627250e+02,1.28002733e+02,2.04528663e+01,3.67379002e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,3.23231641e+07,2.53800723e+07,1.99283730e+07,7.87183057e+06,3.53220679e+06,2.00566321e+06,1.30471082e+06,6.98174683e+05,3.18692749e+05,1.59622818e+05,6.69788589e+04,2.65702171e+04,8.94397736e+03,2.52169418e+03,6.23424828e+02,1.28421590e+02,2.05018520e+01,3.63239879e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,3.30992266e+07,2.59882363e+07,2.04049629e+07,8.08584326e+06,3.62988330e+06,2.05962622e+06,1.34091382e+06,7.13699097e+05,3.26552643e+05,1.63649033e+05,6.83621979e+04,2.70276337e+04,9.05737591e+03,2.55086637e+03,6.27345860e+02,1.28640473e+02,2.05141008e+01,3.58144240e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,3.38547930e+07,2.65803398e+07,2.08689668e+07,8.29377441e+06,3.72474390e+06,2.11202905e+06,1.37604700e+06,7.28825745e+05,3.34188568e+05,1.67557190e+05,6.97125320e+04,2.74781342e+04,9.17178440e+03,2.58071089e+03,6.31442726e+02,1.28894821e+02,2.05326583e+01,3.53485020e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
