# Irene Model output file: ../../unitTests/Legacy/CRRquiet_NatEpochSaa_Diff.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.01388889,1.51726880,2.03324350,-0.93229988,6.56595728e+06,2.12193750e+07,1.50567188e+07,2.85691410e+06,8.38813328e+05,2.16365008e+05,8.57536798e+04,1.19229001e+04,3.36543003e+03,3.78150002e+02
53219.01458333,1.51093106,2.07651714,-0.92525113,7.21798849e+06,2.26274999e+07,1.60078125e+07,3.04289066e+06,8.95209814e+05,2.30281047e+05,9.08842793e+04,1.26118500e+04,3.53367002e+03,4.01580000e+02
53219.01527778,1.50418085,2.11922432,-0.91794984,7.88267604e+06,2.40656250e+07,1.69846875e+07,3.23460945e+06,9.53510618e+05,2.44709789e+05,9.62236195e+04,1.33323901e+04,3.71085002e+03,4.26480001e+02
53219.01597222,1.49703211,2.16136976,-0.91040510,8.54736350e+06,2.55037500e+07,1.79615625e+07,3.42632822e+06,1.01181141e+06,2.59138528e+05,1.01562959e+05,1.40529301e+04,3.88803001e+03,4.51379999e+02
53219.01666667,1.48949758,2.20295831,-0.90262557,9.38783232e+06,2.72315626e+07,1.89909376e+07,3.62660169e+06,1.07207509e+06,2.73882210e+05,1.06898639e+05,1.47702601e+04,4.05228002e+03,4.76220000e+02
53219.01736111,1.48158981,2.24399485,-0.89462001,1.04040823e+07,2.92490625e+07,2.00728125e+07,3.83542982e+06,1.13430163e+06,2.88940830e+05,1.12230659e+05,1.54843801e+04,4.20360002e+03,5.00999999e+02
53219.01805556,1.47332072,2.28448440,-0.88639597,1.14203323e+07,3.12665626e+07,2.11546876e+07,4.04425798e+06,1.19652817e+06,3.03999451e+05,1.17562680e+05,1.61985001e+04,4.35492004e+03,5.25780001e+02
53219.01875000,1.46470178,2.32443150,-0.87796145,1.24553323e+07,3.33253125e+07,2.22646875e+07,4.25929703e+06,1.26074692e+06,3.19600051e+05,1.23107099e+05,1.69442101e+04,4.51401003e+03,5.52090000e+02
53219.01944444,1.45574413,2.36384103,-0.86932383,1.35090822e+07,3.54253124e+07,2.34028124e+07,4.48054702e+06,1.32695787e+06,3.35742629e+05,1.28863919e+05,1.77215100e+04,4.68087002e+03,5.79929999e+02
53219.02013889,1.44645844,2.40271786,-0.86049017,1.45628323e+07,3.75253125e+07,2.45409375e+07,4.70179704e+06,1.39316884e+06,3.51885211e+05,1.34620739e+05,1.84988101e+04,4.84773003e+03,6.07770002e+02
53219.02083333,1.43685460,2.44106636,-0.85146738,1.58903322e+07,3.97696874e+07,2.57024999e+07,4.93125016e+06,1.46096181e+06,3.68613720e+05,1.40362919e+05,1.92875400e+04,5.00142002e+03,6.35550000e+02
53219.02152778,1.42694265,2.47889157,-0.84226174,1.74915823e+07,4.21584376e+07,2.68875000e+07,5.16890646e+06,1.53033682e+06,3.85928162e+05,1.46090459e+05,2.00877001e+04,5.14194002e+03,6.63270002e+02
53219.02222222,1.41673201,2.51619773,-0.83287968,1.91237697e+07,4.45996874e+07,2.81053125e+07,5.41406272e+06,1.60211415e+06,4.03901791e+05,1.52056049e+05,2.09263200e+04,5.29026001e+03,6.92849999e+02
53219.02291667,1.40623164,2.55298955,-0.82332732,2.07868949e+07,4.70934376e+07,2.93559376e+07,5.66671902e+06,1.67629384e+06,4.22534612e+05,1.58259689e+05,2.18034001e+04,5.44638002e+03,7.24290000e+02
53219.02361111,1.39545046,2.58927141,-0.81361047,2.24500198e+07,4.95871875e+07,3.06065625e+07,5.91937528e+06,1.75047351e+06,4.41167430e+05,1.64463329e+05,2.26804800e+04,5.60250002e+03,7.55729997e+02
53219.02430556,1.38439666,2.62504771,-0.80373478,2.41131449e+07,5.20809376e+07,3.18571876e+07,6.17203158e+06,1.82465320e+06,4.59800252e+05,1.70666969e+05,2.35575601e+04,5.75862003e+03,7.87169998e+02
53219.02500000,1.37307870,2.66032286,-0.79370542,2.61522073e+07,5.50846875e+07,3.31781250e+07,6.42726595e+06,1.90023913e+06,4.79048310e+05,1.76855939e+05,2.44268700e+04,5.90328002e+03,8.18519995e+02
53219.02569444,1.36150411,2.69510108,-0.78352791,2.85672071e+07,5.85984372e+07,3.45693749e+07,6.68507844e+06,1.97723130e+06,4.98911607e+05,1.83030239e+05,2.52884100e+04,6.03648000e+03,8.49779993e+02
53219.02638889,1.34968075,2.72938677,-0.77320693,3.10140823e+07,6.21665625e+07,3.59868750e+07,6.94851596e+06,2.05603990e+06,5.19287609e+05,1.89380339e+05,2.61769501e+04,6.17448001e+03,8.82389997e+02
53219.02708333,1.33761568,2.76318386,-0.76274752,3.34928321e+07,6.57890623e+07,3.74306249e+07,7.21757844e+06,2.13666489e+06,5.40176308e+05,1.95906238e+05,2.70924900e+04,6.31728000e+03,9.16349994e+02
53219.02777778,1.32531611,2.79649642,-0.75215438,3.59715823e+07,6.94115626e+07,3.88743751e+07,7.48664096e+06,2.21728990e+06,5.61065010e+05,2.02432139e+05,2.80080300e+04,6.46008001e+03,9.50309998e+02
53219.02847222,1.31278896,2.82932870,-0.74143207,3.84503322e+07,7.30340623e+07,4.03181250e+07,7.75570344e+06,2.29791489e+06,5.81953709e+05,2.08958038e+05,2.89235699e+04,6.60288000e+03,9.84269995e+02
53219.02916667,1.30004065,2.86168446,-0.73058466,4.15084574e+07,7.70578127e+07,4.18453126e+07,8.02617222e+06,2.37994615e+06,6.03516211e+05,2.15458289e+05,2.98308600e+04,6.73527001e+03,1.01811000e+03
53219.02986111,1.28707747,2.89356762,-0.71961671,4.51459572e+07,8.14828124e+07,4.34559375e+07,8.29804720e+06,2.46338365e+06,6.25752509e+05,2.21932888e+05,3.07298999e+04,6.85725001e+03,1.05182999e+03
53219.03055556,1.27390601,2.92498195,-0.70853199,4.87834575e+07,8.59078127e+07,4.50665626e+07,8.56992222e+06,2.54682115e+06,6.47988810e+05,2.28407489e+05,3.16289399e+04,6.97923003e+03,1.08554999e+03
53219.03125000,1.26053177,2.95593122,-0.69733473,5.24209572e+07,9.03328125e+07,4.66771875e+07,8.84179720e+06,2.63025865e+06,6.70225109e+05,2.34882088e+05,3.25279798e+04,7.10121002e+03,1.11926999e+03
53219.03194444,1.24696101,2.98641920,-0.68602853,5.61203320e+07,9.48440622e+07,4.83281249e+07,9.12140658e+06,2.71633287e+06,6.93252447e+05,2.41609378e+05,3.34663798e+04,7.22937002e+03,1.15508999e+03
53219.03263889,1.23319893,3.01644949,-0.67461718,5.98815823e+07,9.94415625e+07,5.00193750e+07,9.40875038e+06,2.80504384e+06,7.17070830e+05,2.48589359e+05,3.44441398e+04,7.36371004e+03,1.19300999e+03
53219.03333333,1.21925132,3.04602571,-0.66310412,6.36428320e+07,1.04039062e+08,5.17106249e+07,9.69609414e+06,2.89375479e+06,7.40889209e+05,2.55569338e+05,3.54218997e+04,7.49805003e+03,1.23092999e+03
53219.03402778,1.20512321,3.07515099,-0.65149297,6.82872075e+07,1.09296563e+08,5.34656251e+07,9.99867230e+06,2.98398919e+06,7.65190982e+05,2.62476089e+05,3.63905098e+04,7.62450004e+03,1.26878999e+03
53219.03472222,1.19081978,3.10382911,-0.63978701,7.38147071e+07,1.15214062e+08,5.52843749e+07,1.03164848e+07,3.07574700e+06,7.89976140e+05,2.69309608e+05,3.73499697e+04,7.74306003e+03,1.30658999e+03
53219.03541667,1.17634606,3.13206335,-0.62798955,7.93422075e+07,1.21131563e+08,5.71031251e+07,1.06342973e+07,3.16750483e+06,8.14761302e+05,2.76143128e+05,3.83094298e+04,7.86162003e+03,1.34438999e+03
53219.03611111,1.16170690,3.15985701,-0.61610356,8.49484572e+07,1.27146562e+08,5.89593750e+07,1.09593754e+07,3.26166498e+06,8.40249570e+05,2.83189048e+05,3.93027598e+04,7.98510002e+03,1.38404999e+03
53219.03680556,1.14690686,3.18721324,-0.60413250,9.06334576e+07,1.33259063e+08,6.08531251e+07,1.12917192e+07,3.35822749e+06,8.66440951e+05,2.90447368e+05,4.03299599e+04,8.11350003e+03,1.42556999e+03
53219.03750000,1.13195050,3.21413533,-0.59207889,9.63184572e+07,1.39371562e+08,6.27468750e+07,1.16240630e+07,3.45478998e+06,8.92632329e+05,2.97705688e+05,4.13571598e+04,8.24190002e+03,1.46708999e+03
53219.03819444,1.11684235,3.24062626,-0.57994601,1.02003457e+08,1.45484062e+08,6.46406249e+07,1.19564067e+07,3.55135248e+06,9.18823707e+05,3.04964007e+05,4.23843597e+04,8.37030001e+03,1.50860998e+03
53219.03888889,1.10158683,3.26668916,-0.56773638,1.08745957e+08,1.52537813e+08,6.66000000e+07,1.22983599e+07,3.64932123e+06,9.44824678e+05,3.12116128e+05,4.33895998e+04,8.49201002e+03,1.55006999e+03
