# Irene Model output file: ../../unitTests/Legacy/Ax8min_NatEpochSaa_Intg.AE8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00694444,1.55451077,1.56830628,-0.98654759,3.15271046e+09,2.19520008e+09,1.52852232e+09,7.39592256e+08,3.38746572e+08,2.07205116e+08,1.47297539e+08,7.02694969e+07,3.78451230e+07,1.79212639e+07,1.04347188e+07,5.63221890e+06,2.61372683e+06,9.71963128e+05,2.93514399e+05,6.43431500e+04,1.14231261e+04,2.10359880e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,3.55142029e+09,2.47466070e+09,1.72439963e+09,8.35428233e+08,3.82787260e+08,2.35754215e+08,1.66703250e+08,7.95003222e+07,4.28555916e+07,2.03274458e+07,1.17809784e+07,6.34998579e+06,2.93599635e+06,1.08923011e+06,3.27172698e+05,7.15220302e+04,1.26270751e+04,2.32448291e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,3.96499445e+09,2.76486374e+09,1.92803370e+09,9.35230618e+08,4.28666413e+08,2.65834222e+08,1.86967699e+08,8.91329927e+07,4.80904702e+07,2.28504762e+07,1.31810230e+07,7.09501929e+06,3.26861767e+06,1.20986970e+06,3.61509100e+05,7.88105054e+04,1.38381861e+04,2.54654302e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,4.39314309e+09,3.06562913e+09,2.13931512e+09,1.03895897e+09,4.76366658e+08,2.97464751e+08,2.08087221e+08,9.91652098e+07,5.35490321e+07,2.54908116e+07,1.46341349e+07,7.86683254e+06,3.61124838e+06,1.33373515e+06,3.96468640e+05,8.61957979e+04,1.50541479e+04,2.76932940e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,4.83551855e+09,3.37672447e+09,2.35808945e+09,1.14654462e+09,5.25857071e+08,3.30644278e+08,2.30050384e+08,1.09591221e+08,5.92284505e+07,2.82475705e+07,1.61392694e+07,8.66481579e+06,3.96356030e+06,1.46069920e+06,4.32012438e+05,9.36698125e+04,1.62738203e+04,2.99261734e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,5.29176514e+09,3.69791046e+09,2.58419628e+09,1.25791513e+09,5.77105009e+08,3.65368962e+08,2.52844778e+08,1.20404841e+08,6.51256432e+07,3.11197142e+07,1.76953389e+07,9.48834377e+06,4.32522589e+06,1.59063664e+06,4.68103548e+05,1.01225000e+05,1.74961925e+04,3.21620833e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,5.76177151e+09,4.02914648e+09,2.81763440e+09,1.37307298e+09,6.30119748e+08,4.01590164e+08,2.76473014e+08,1.31609980e+08,7.12393243e+07,3.41071508e+07,1.93020173e+07,1.03367503e+07,4.69587562e+06,1.72334181e+06,5.04671196e+05,1.08844732e+05,1.87193366e+04,3.43937757e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,6.24581539e+09,4.37068399e+09,3.05862091e+09,1.49208140e+09,6.84958722e+08,4.38985112e+08,3.00937274e+08,1.43221249e+08,7.75609269e+07,3.72044842e+07,2.09593336e+07,1.12084518e+07,5.07504339e+06,1.85845023e+06,5.41621060e+05,1.16507980e+05,1.99444351e+04,3.66093372e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,6.74402420e+09,4.72265379e+09,3.30727739e+09,1.61496208e+09,7.41654950e+08,4.77273543e+08,3.26232295e+08,1.55247455e+08,8.40815289e+07,4.04061856e+07,2.26669185e+07,1.21019796e+07,5.46230597e+06,1.99566281e+06,5.78882620e+05,1.24200709e+05,2.11730765e+04,3.88011936e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,7.25633009e+09,5.08504753e+09,3.56362689e+09,1.74173433e+09,8.00224446e+08,5.16433467e+08,3.52365429e+08,1.67694157e+08,9.08015159e+07,4.37131021e+07,2.44246977e+07,1.30168991e+07,5.85736782e+06,2.13482286e+06,6.16405738e+05,1.31912571e+05,2.24035551e+04,4.09653459e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,7.78259447e+09,5.45778441e+09,3.82762508e+09,1.87237895e+09,8.60662622e+08,5.56447007e+08,3.79334729e+08,1.80561856e+08,9.77193853e+07,4.71249356e+07,2.62321658e+07,1.39527984e+07,6.26002604e+06,2.27585670e+06,6.54169398e+05,1.39638630e+05,2.36349579e+04,4.31002338e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
