# Legacy Model output file: ../../unitTests/Legacy/Ax8max_NatEpoch_Diff.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.00763889,1.55319249,1.61750188,-0.98263373,3.06042406e+08,2.12854703e+08,1.74105188e+08,2.68380371e+07,7.73608301e+06,3.39577441e+06,1.75607776e+06,8.58245361e+05,4.10885620e+05,2.12790649e+05,1.08813301e+05,5.27727470e+04,2.13069592e+04,6.50613499e+03,1.99976289e+03,4.96572226e+02,8.35765377e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,3.14047594e+08,2.18774703e+08,1.79235188e+08,2.81565859e+07,8.04409766e+06,3.49807935e+06,1.79787036e+06,9.13151062e+05,4.24543518e+05,2.24666855e+05,1.12766960e+05,5.43854942e+04,2.18920078e+04,6.69303036e+03,2.03356338e+03,5.03282607e+02,8.32316801e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,3.21781312e+08,2.24520406e+08,1.84239859e+08,2.94954199e+07,8.35208887e+06,3.59809937e+06,1.83758411e+06,9.69939026e+05,4.38002594e+05,2.36815948e+05,1.16691139e+05,5.59652100e+04,2.24601097e+04,6.87490749e+03,2.06490278e+03,5.09320974e+02,8.27767625e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,3.29295094e+08,2.30115031e+08,1.89120031e+08,3.08252520e+07,8.65562891e+06,3.69568115e+06,1.87577576e+06,1.02697766e+06,4.51176819e+05,2.48928864e+05,1.20544296e+05,5.75086555e+04,2.30136414e+04,7.05207539e+03,2.09513092e+03,5.15114546e+02,8.23548585e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,3.36291750e+08,2.35381875e+08,1.93760125e+08,3.21844023e+07,8.95795020e+06,3.78885132e+06,1.91023901e+06,1.08690479e+06,4.63958893e+05,2.61457947e+05,1.24332108e+05,5.89877853e+04,2.35347004e+04,7.21976709e+03,2.12054396e+03,5.19581318e+02,8.16578493e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,3.42947469e+08,2.40425797e+08,1.98230938e+08,3.35551875e+07,9.25786328e+06,3.87885400e+06,1.94217151e+06,1.14850903e+06,4.76423553e+05,2.74193573e+05,1.28058029e+05,6.04203415e+04,2.40339279e+04,7.38086081e+03,2.14326048e+03,5.23340702e+02,8.08609724e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,3.49332688e+08,2.45276812e+08,2.02539125e+08,3.49055664e+07,9.55076367e+06,3.96568286e+06,1.97232300e+06,1.20989917e+06,4.88499908e+05,2.86785919e+05,1.31681030e+05,6.18048630e+04,2.45146923e+04,7.53595018e+03,2.16476464e+03,5.26850522e+02,8.01060349e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,3.55382750e+08,2.49923953e+08,2.06709703e+08,3.63040352e+07,9.84718848e+06,4.05009961e+06,1.99965601e+06,1.27502209e+06,5.00421814e+05,2.99957916e+05,1.35303467e+05,6.31566086e+04,2.49757500e+04,7.68539715e+03,2.18278456e+03,5.29380918e+02,7.91495889e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,3.61834969e+08,2.54743812e+08,2.10709219e+08,3.75662773e+07,1.01339346e+07,4.13656885e+06,2.04063086e+06,1.32633667e+06,5.11930389e+05,3.11723022e+05,1.38713806e+05,6.44521408e+04,2.53699036e+04,7.81719303e+03,2.19900608e+03,5.30743957e+02,7.86866695e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,3.70938219e+08,2.61139312e+08,2.15116625e+08,3.86119844e+07,1.04431895e+07,4.24414893e+06,2.12065454e+06,1.35221338e+06,5.24611267e+05,3.21786987e+05,1.42236343e+05,6.58732605e+04,2.57054520e+04,7.93879747e+03,2.21711850e+03,5.30698597e+02,7.93304145e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
