# Legacy Model output file: ../../unitTests/Legacy/CammiceAll_Pa70.CAMMICE.output_mean_He+_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         He+
# Flux type:                Differential
# Flux direction:           Bin 60-70
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/keV)
53219.01180556,1.53366367,1.89997504,-0.95183246,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.12750677e+03,2.18609898e+02,4.31224812e+01,2.30103086e+01,1.93637026e+01,1.13769063e+01,8.19280547e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.14888656e+03,2.22755181e+02,4.39401699e+01,2.34466302e+01,1.97308773e+01,1.15926353e+01,8.34815749e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.17006340e+03,2.26861114e+02,4.47500968e+01,2.38788100e+01,2.00945666e+01,1.18063164e+01,8.50203486e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.20844484e+03,2.36568094e+02,4.55624583e+01,2.33341129e+01,2.06377780e+01,1.21694417e+01,8.68297826e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.25523389e+03,2.49003108e+02,4.63786472e+01,2.23173736e+01,2.12691857e+01,1.26056952e+01,8.87754250e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.30210897e+03,2.61448430e+02,4.71999692e+01,2.13061238e+01,2.19023968e+01,1.30428846e+01,9.07300721e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.34906414e+03,2.73902247e+02,4.80263899e+01,2.03006319e+01,2.25373433e+01,1.34809572e+01,9.26935799e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.39609458e+03,2.86363047e+02,4.88578926e+01,1.93011388e+01,2.31739723e+01,1.39198704e+01,9.46658489e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.44319534e+03,2.98829284e+02,4.96944561e+01,1.83078850e+01,2.38122282e+01,1.43595806e+01,9.66467707e+00
53219.01805556,1.47332072,2.28448440,-0.88639597,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.48082513e+03,3.08184492e+02,5.05376975e+01,1.78686351e+01,2.43530770e+01,1.47173186e+01,9.84906759e+00
53219.01875000,1.46470178,2.32443150,-0.87796145,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.50574468e+03,3.13370667e+02,5.13881534e+01,1.81693311e+01,2.47628942e+01,1.49649838e+01,1.00148092e+01
53219.01944444,1.45574413,2.36384103,-0.86932383,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.53081455e+03,3.18588126e+02,5.22437396e+01,1.84718411e+01,2.51751836e+01,1.52141431e+01,1.01815506e+01
53219.02013889,1.44645844,2.40271786,-0.86049017,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.55603620e+03,3.23837173e+02,5.31045056e+01,1.87761825e+01,2.55899691e+01,1.54648108e+01,1.03493014e+01
53219.02083333,1.43685460,2.44106636,-0.85146738,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.58141057e+03,3.29118005e+02,5.39704839e+01,1.90823668e+01,2.60072662e+01,1.57169963e+01,1.05180681e+01
53219.02152778,1.42694265,2.47889157,-0.84226174,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.60693992e+03,3.34431089e+02,5.48417511e+01,1.93904212e+01,2.64271120e+01,1.59707221e+01,1.06878655e+01
