# Irene Model output file: ../../unitTests/Legacy/Ax8max_NatEpoch_Intg.AE8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00694444,1.55451077,1.56830628,-0.98654759,1.26280083e+10,9.74962129e+09,7.52733147e+09,2.77994643e+09,1.28314937e+09,7.39444938e+08,4.72176693e+08,2.30947252e+08,1.14566819e+08,5.63680197e+07,2.57298572e+07,1.09211031e+07,3.96982415e+06,1.21463894e+06,3.41370263e+05,7.66802146e+04,1.45496143e+04,2.69172820e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,1.42195853e+10,1.09832649e+10,8.48353888e+09,3.13675079e+09,1.44956616e+09,8.35076222e+08,5.32998947e+08,2.61343940e+08,1.29544481e+08,6.36435330e+07,2.90734424e+07,1.22993692e+07,4.44886768e+06,1.35334340e+06,3.78626247e+05,8.48196409e+04,1.59794689e+04,2.95616222e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,1.58647965e+10,1.22605823e+10,9.47522905e+09,3.50915849e+09,1.62239435e+09,9.34260519e+08,5.96248128e+08,2.93275870e+08,1.45116381e+08,7.12361276e+07,3.25267538e+07,1.37172230e+07,4.94025864e+06,1.49518371e+06,4.16380817e+05,9.30169928e+04,1.74023421e+04,3.21895662e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,1.75625367e+10,1.35808006e+10,1.05018745e+10,3.89709513e+09,1.80155278e+09,1.03694506e+09,6.61898676e+08,3.26749868e+08,1.61276035e+08,7.91441819e+07,3.60873466e+07,1.51734721e+07,5.44354597e+06,1.64002069e+06,4.54594109e+05,1.01264009e+05,1.88172578e+04,3.47992732e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,1.93118714e+10,1.49432702e+10,1.15630354e+10,4.30050673e+09,1.98697432e+09,1.14308571e+09,7.29929736e+08,3.61773632e+08,1.78018127e+08,8.73665060e+07,3.97531506e+07,1.66671041e+07,5.95834803e+06,1.78773723e+06,4.93233435e+05,1.09554133e+05,2.02235517e+04,3.73894996e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,2.11114659e+10,1.63470808e+10,1.26581074e+10,4.71933733e+09,2.17856895e+09,1.25262210e+09,8.00314254e+08,3.98360193e+08,1.95335722e+08,9.59018289e+07,4.35211888e+07,1.81966096e+07,6.48408000e+06,1.93814807e+06,5.32241047e+05,1.17874371e+05,2.16191199e+04,3.99562441e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,2.29599111e+10,1.77913133e+10,1.37865199e+10,5.15360503e+09,2.37625847e+09,1.36549733e+09,8.73031476e+08,4.36534742e+08,2.13223394e+08,1.04750379e+08,4.73882570e+07,1.97602541e+07,7.02004770e+06,2.09102701e+06,5.71541320e+05,1.26206869e+05,2.30006990e+04,4.24932841e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,2.48558540e+10,1.92749738e+10,1.49475510e+10,5.60313375e+09,2.57992490e+09,1.48163917e+09,9.48041297e+08,4.76293767e+08,2.31671126e+08,1.13908497e+08,5.13514329e+07,2.13567328e+07,7.56578338e+06,2.24623700e+06,6.11100162e+05,1.34545318e+05,2.43678185e+04,4.49998290e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,2.67982392e+10,2.07973563e+10,1.61407481e+10,6.06791847e+09,2.78950375e+09,1.60100248e+09,1.02532568e+09,5.17655077e+08,2.50674230e+08,1.23375955e+08,5.54083471e+07,2.29848253e+07,8.12081381e+06,2.40362905e+06,6.50872909e+05,1.42880095e+05,2.57191175e+04,4.74733734e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,2.87861211e+10,2.23575063e+10,1.73652017e+10,6.54761648e+09,3.00492765e+09,1.72354878e+09,1.10485078e+09,5.60521273e+08,2.70214379e+08,1.33141142e+08,5.95549936e+07,2.46426622e+07,8.68424604e+06,2.56297907e+06,6.90811418e+05,1.51201441e+05,2.70552653e+04,4.99095545e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,3.08215035e+10,2.39557701e+10,1.86202226e+10,7.04146196e+09,3.22640286e+09,1.84941732e+09,1.18664904e+09,6.04576725e+08,2.90266964e+08,1.43178210e+08,6.37892948e+07,2.63292293e+07,9.25504116e+06,2.72412467e+06,7.30920216e+05,1.59511776e+05,2.83833787e+04,5.23016735e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,3.29084953e+10,2.55944761e+10,1.99069345e+10,7.54958801e+09,3.45439949e+09,1.97888649e+09,1.27086461e+09,6.49661953e+08,3.10842776e+08,1.53483496e+08,6.81150610e+07,2.80457304e+07,9.83306633e+06,2.88711062e+06,7.71234264e+05,1.67818355e+05,2.97088749e+04,5.46456936e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
