# Irene Model output file: ../../unitTests/Legacy/CRRquiet_NatEpochSaa_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.01388889,1.51726880,2.03324350,-0.93229988,1.79386960e+07,1.41372316e+07,4.99992295e+06,1.04077852e+06,3.01633034e+05,9.05973580e+04,3.01736195e+04,8.25372318e+03,2.05425529e+03,3.11973748e+02
53219.01458333,1.51093106,2.07651714,-0.92525113,1.91388443e+07,1.50472588e+07,5.31921973e+06,1.10888391e+06,3.21263811e+05,9.61656291e+04,3.19325629e+04,8.71096665e+03,2.16441679e+03,3.31303497e+02
53219.01527778,1.50418085,2.11922432,-0.91794984,2.03685199e+07,1.59808483e+07,5.64769981e+06,1.17922335e+06,3.41599325e+05,1.01955234e+05,3.37685511e+04,9.19087071e+03,2.28080329e+03,3.51845998e+02
53219.01597222,1.49703211,2.16136976,-0.91040510,2.15981952e+07,1.69144377e+07,5.97617984e+06,1.24956277e+06,3.61934837e+05,1.07744837e+05,3.56045391e+04,9.67077471e+03,2.39718978e+03,3.72388496e+02
53219.01666667,1.48949758,2.20295831,-0.90262557,2.29859738e+07,1.79391576e+07,6.32079030e+06,1.32250915e+06,3.82773779e+05,1.13582308e+05,3.74261378e+04,1.01383053e+04,2.50798204e+03,3.92881497e+02
53219.01736111,1.48158981,2.24399485,-0.89462001,2.45318551e+07,1.90550077e+07,6.68153108e+06,1.39806245e+06,4.04116147e+05,1.19467646e+05,3.92333467e+04,1.05934622e+04,2.61318004e+03,4.13324996e+02
53219.01805556,1.47332072,2.28448440,-0.88639597,2.60777366e+07,2.01708581e+07,7.04227191e+06,1.47361576e+06,4.25458518e+05,1.25352983e+05,4.10405559e+04,1.10486193e+04,2.71837806e+03,4.33768498e+02
53219.01875000,1.46470178,2.32443150,-0.87796145,2.76593916e+07,2.13140444e+07,7.41295823e+06,1.55154429e+06,4.47535481e+05,1.31466077e+05,4.29246459e+04,1.15255413e+04,2.82940280e+03,4.55474247e+02
53219.01944444,1.45574413,2.36384103,-0.86932383,2.92768203e+07,2.24845668e+07,7.79359007e+06,1.63184803e+06,4.70347038e+05,1.37806928e+05,4.48856168e+04,1.20242283e+04,2.94625430e+03,4.78442245e+02
53219.02013889,1.44645844,2.40271786,-0.86049017,3.08942491e+07,2.36550895e+07,8.17422197e+06,1.71215179e+06,4.93158598e+05,1.44147780e+05,4.68465880e+04,1.25229153e+04,3.06310581e+03,5.01410248e+02
53219.02083333,1.43685460,2.44106636,-0.85146738,3.26235370e+07,2.48715179e+07,8.56426767e+06,1.79495534e+06,5.16512925e+05,1.50597811e+05,4.88024814e+04,1.30148808e+04,3.17426106e+03,5.24328746e+02
53219.02152778,1.42694265,2.47889157,-0.84226174,3.44646842e+07,2.61338526e+07,8.96372730e+06,1.88025870e+06,5.40410027e+05,1.57157024e+05,5.07532975e+04,1.35001249e+04,3.27972006e+03,5.47197747e+02
53219.02222222,1.41673201,2.51619773,-0.83287968,3.63507149e+07,2.74290943e+07,9.37492999e+06,1.96842235e+06,5.65186957e+05,1.63983760e+05,5.27921905e+04,1.40104519e+04,3.39156305e+03,5.71601245e+02
53219.02291667,1.40623164,2.55298955,-0.82332732,3.82816295e+07,2.87572434e+07,9.79787585e+06,2.05944631e+06,5.90843723e+05,1.71078023e+05,5.49191607e+04,1.45458620e+04,3.50979006e+03,5.97539245e+02
53219.02361111,1.39545046,2.58927141,-0.81361047,4.02125438e+07,3.00853924e+07,1.02208216e+07,2.15047026e+06,6.16500485e+05,1.78172285e+05,5.70461306e+04,1.50812720e+04,3.62801704e+03,6.23477242e+02
53219.02430556,1.38439666,2.62504771,-0.80373478,4.21434584e+07,3.14135415e+07,1.06437675e+07,2.24149422e+06,6.42157250e+05,1.85266548e+05,5.91731009e+04,1.56166821e+04,3.74624405e+03,6.49415242e+02
53219.02500000,1.37307870,2.66032286,-0.79370542,4.43464017e+07,3.28841801e+07,1.10843515e+07,2.33382041e+06,6.68319384e+05,1.92461884e+05,6.12810312e+04,1.61390946e+04,3.85945204e+03,6.75278991e+02
53219.02569444,1.36150411,2.69510108,-0.78352791,4.68213738e+07,3.44973085e+07,1.15425736e+07,2.42744885e+06,6.94986889e+05,1.99758294e+05,6.33699221e+04,1.66485095e+04,3.96764103e+03,7.01068490e+02
53219.02638889,1.34968075,2.72938677,-0.77320693,4.93373137e+07,3.61390295e+07,1.20099820e+07,2.52323217e+06,7.22320988e+05,2.07255474e+05,6.55218808e+04,1.71750320e+04,4.08009754e+03,7.27971742e+02
53219.02708333,1.33761568,2.76318386,-0.76274752,5.18942205e+07,3.78093427e+07,1.24865764e+07,2.62117035e+06,7.50321673e+05,2.14953419e+05,6.77369067e+04,1.77186620e+04,4.19682153e+03,7.55988741e+02
