# Legacy Model output file: ../../unitTests/Legacy/Ax8max_NatEpoch_Intg.AP8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Max
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00763889,1.55319249,1.61750188,-0.98263373,4.78318360e+07,2.50838140e+07,9.16458700e+06,3.69817900e+06,1.60575200e+06,7.80266375e+05,3.38990938e+04,6.18192017e+02,4.68373375e+01,7.05000401e+00,1.78962469e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,4.89007800e+07,2.59724620e+07,9.37083700e+06,3.81996925e+06,1.67352000e+06,8.04013625e+05,3.43138203e+04,6.15150574e+02,4.52054176e+01,6.66018295e+00,1.68924809e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,5.02362160e+07,2.68159900e+07,9.61483000e+06,3.93604775e+06,1.73927162e+06,8.29578688e+05,3.48050078e+04,6.11873474e+02,4.36931305e+01,6.31275415e+00,1.59942341e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,5.17826520e+07,2.76201180e+07,9.93237600e+06,4.04584225e+06,1.80288138e+06,8.60227312e+05,3.53066367e+04,6.07169495e+02,4.21538429e+01,5.97687674e+00,1.51287401e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,5.33919920e+07,2.83589180e+07,1.02875720e+07,4.14487800e+06,1.86189288e+06,8.88401625e+05,3.57747773e+04,6.00471558e+02,4.05582695e+01,5.64639807e+00,1.42865598e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,5.50853880e+07,2.90345080e+07,1.06216080e+07,4.23199800e+06,1.91589425e+06,9.13766000e+05,3.62797461e+04,5.90647278e+02,3.88954964e+01,5.29744530e+00,1.34167433e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,5.68720680e+07,2.96660680e+07,1.09476150e+07,4.31374350e+06,1.96760825e+06,9.37956625e+05,3.67380352e+04,5.81182129e+02,3.75732040e+01,4.98660946e+00,1.26477420e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,5.87643600e+07,3.02468720e+07,1.12595450e+07,4.38738450e+06,2.01581862e+06,9.60228688e+05,3.70864922e+04,5.70605835e+02,3.62792282e+01,4.68551254e+00,1.19178712e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,6.01576920e+07,3.06959480e+07,1.15756080e+07,4.46299850e+06,2.05269550e+06,9.79291438e+05,3.70724492e+04,5.49767822e+02,3.46286469e+01,4.40168047e+00,1.14663541e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,6.13696120e+07,3.11779700e+07,1.18827990e+07,4.60899950e+06,2.08537800e+06,9.97206312e+05,3.70127031e+04,5.29423279e+02,3.30455360e+01,4.15125513e+00,1.11062884e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
