# Legacy Model output file: ../../unitTests/Legacy/Ax8min_NatEpochSaa_Intg.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00763889,1.55319249,1.61750188,-0.98263373,6.77044092e+06,4.74808447e+06,3.32981372e+06,1.63053577e+06,7.49425903e+05,4.88508179e+05,3.30609436e+05,1.57209854e+05,8.53833389e+04,4.10760193e+04,2.28895245e+04,1.21923847e+04,5.45902014e+03,1.98323095e+03,5.66872239e+02,1.20619312e+02,2.01360490e+01,3.69325234e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,7.01536523e+06,4.92535107e+06,3.45798901e+06,1.69621057e+06,7.79879272e+05,5.14158752e+05,3.44872223e+05,1.63879181e+05,8.91126251e+04,4.30250015e+04,2.37786312e+04,1.26420670e+04,5.62835789e+03,2.03808904e+03,5.77674568e+02,1.22329876e+02,2.02343185e+01,3.70875164e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,7.25625488e+06,5.10016113e+06,3.58472437e+06,1.76140088e+06,8.10128784e+05,5.40192139e+05,3.59111786e+05,1.70528030e+05,9.28394241e+04,4.49861717e+04,2.46584282e+04,1.30850391e+04,5.79266500e+03,2.09075880e+03,5.87643325e+02,1.23846523e+02,2.02977397e+01,3.71746044e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,7.48959473e+06,5.26968408e+06,3.70775366e+06,1.82478772e+06,8.39551758e+05,5.65792175e+05,3.72993713e+05,1.77005707e+05,9.64745331e+04,4.69057961e+04,2.55127258e+04,1.35144043e+04,5.95106649e+03,2.14137650e+03,5.97150028e+02,1.25287309e+02,2.03580074e+01,3.72547144e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,7.71862354e+06,5.43651465e+06,3.82914014e+06,1.88756238e+06,8.68712708e+05,5.91697205e+05,3.86819366e+05,1.83448257e+05,1.00098541e+05,4.88323212e+04,2.63562527e+04,1.39365263e+04,6.10445213e+03,2.18987131e+03,6.05886877e+02,1.26552254e+02,2.03877296e+01,3.72756086e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,7.94825684e+06,5.60468701e+06,3.95213110e+06,1.95103296e+06,8.98445374e+05,6.15676270e+05,4.00788544e+05,1.90056412e+05,1.03690842e+05,5.07489052e+04,2.71996994e+04,1.43436947e+04,6.25053978e+03,2.23363447e+03,6.13034785e+02,1.27438843e+02,2.03837454e+01,3.71141429e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,8.18653760e+06,5.77989551e+06,4.08075171e+06,2.01591382e+06,9.29520264e+05,6.30821899e+05,4.14686707e+05,1.96985840e+05,1.07029228e+05,5.24955330e+04,2.80441704e+04,1.47130165e+04,6.38838482e+03,2.26997924e+03,6.18627250e+02,1.28002733e+02,2.04528663e+01,3.67379002e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,8.42042383e+06,5.95243213e+06,4.20779834e+06,2.08010913e+06,9.60354126e+05,6.45459229e+05,4.28480743e+05,2.03887711e+05,1.10324188e+05,5.42278519e+04,2.88753300e+04,1.50712481e+04,6.52036858e+03,2.30377388e+03,6.23424828e+02,1.28421590e+02,2.05018520e+01,3.63239879e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,8.65644043e+06,6.12735986e+06,4.33718555e+06,2.14563281e+06,9.91962524e+05,6.59871643e+05,4.42623749e+05,2.11002411e+05,1.13675392e+05,5.60027046e+04,2.97173157e+04,1.54260702e+04,6.64836073e+03,2.33489466e+03,6.27345860e+02,1.28640473e+02,2.05141008e+01,3.58144240e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,8.88570410e+06,6.29720166e+06,4.46275342e+06,2.20918750e+06,1.02264319e+06,6.73912903e+05,4.56352875e+05,2.17920853e+05,1.16920235e+05,5.77250710e+04,3.05316143e+04,1.57705698e+04,6.77357864e+03,2.36623311e+03,6.31442726e+02,1.28894821e+02,2.05326583e+01,3.53485020e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
