# Irene Model output file: ../../unitTests/Legacy/CammiceAll_PaOmni.CAMMICE.output_mean_Ions_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         Ions
# Flux type:                Differential
# Flux direction:           Omnidirectional
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.01180556,1.53366367,1.89997504,-0.95183246,1.65288870e+08,8.27233744e+07,6.33666202e+07,2.90111887e+07,1.10282377e+07,3.96645045e+06,2.14463509e+06,2.09634306e+06,2.02787287e+06,2.83981894e+06,4.16852201e+06,6.62030451e+06
53219.01250000,1.52865033,1.94497724,-0.94560083,1.81566081e+08,9.14054454e+07,6.97882642e+07,3.17921747e+07,1.18810052e+07,4.31618471e+06,2.35583820e+06,2.31196898e+06,2.25098112e+06,3.17319517e+06,4.69147945e+06,7.42943176e+06
53219.01319444,1.52318025,1.98939854,-0.93908636,1.98199352e+08,1.00286814e+08,7.63703939e+07,3.46570548e+07,1.27544382e+07,4.67614110e+06,2.57220329e+06,2.53373368e+06,2.48208051e+06,3.52210519e+06,5.24129742e+06,8.28008143e+06
53219.01388889,1.51726880,2.03324350,-0.93229988,2.15185646e+08,1.09365779e+08,8.31116396e+07,3.76051128e+07,1.36483602e+07,5.04623235e+06,2.79368630e+06,2.76158476e+06,2.72110282e+06,3.88641639e+06,5.81774659e+06,9.17189900e+06
53219.01458333,1.51093106,2.07651714,-0.92525113,2.32524718e+08,1.18642204e+08,9.00118920e+07,4.06362919e+07,1.45627571e+07,5.42645153e+06,3.02028371e+06,2.99551804e+06,2.96804265e+06,4.26611827e+06,6.42080885e+06,1.01048565e+07
53219.01527778,1.50418085,2.11922432,-0.91794984,2.50216261e+08,1.28115918e+08,9.70710118e+07,4.37505190e+07,1.54976111e+07,5.81678974e+06,3.25199103e+06,3.23552820e+06,3.22289302e+06,4.66119727e+06,7.05046072e+06,1.10789176e+07
53219.01597222,1.49703211,2.16136976,-0.91040510,2.68259886e+08,1.37786702e+08,1.04288825e+08,4.69477030e+07,1.64528996e+07,6.21723589e+06,3.48880267e+06,3.48160855e+06,3.48564528e+06,5.07163658e+06,7.70667314e+06,1.20940374e+07
53219.01666667,1.48949758,2.20295831,-0.90262557,2.86655159e+08,1.47654314e+08,1.11665134e+08,5.02277412e+07,1.74285974e+07,6.62777745e+06,3.73071230e+06,3.73375160e+06,3.75628962e+06,5.49741711e+06,8.38941309e+06,1.31501648e+07
53219.01736111,1.48158981,2.24399485,-0.89462001,3.05401581e+08,1.57718474e+08,1.19199715e+08,5.35905164e+07,1.84246756e+07,7.04840015e+06,3.97771271e+06,3.99194875e+06,4.03481490e+06,5.93851723e+06,9.09864318e+06,1.42472421e+07
53219.01805556,1.47332072,2.28448440,-0.88639597,3.24498625e+08,1.67978887e+08,1.26892331e+08,5.70359040e+07,1.94411035e+07,7.47908881e+06,4.22979624e+06,4.25619090e+06,4.32120923e+06,6.39491381e+06,9.83432343e+06,1.53852074e+07
53219.01875000,1.46470178,2.32443150,-0.87796145,3.43945720e+08,1.78435234e+08,1.34742724e+08,6.05637699e+07,2.04778480e+07,7.91982708e+06,4.48695461e+06,4.52646822e+06,4.61545985e+06,6.86658206e+06,1.05964109e+07,1.65639945e+07
53219.01944444,1.45574413,2.36384103,-0.86932383,3.63742268e+08,1.89087180e+08,1.42750624e+08,6.41739730e+07,2.15348745e+07,8.37059778e+06,4.74917918e+06,4.80277041e+06,4.91755333e+06,7.35349586e+06,1.13848606e+07,1.77835334e+07
53219.02013889,1.44645844,2.40271786,-0.86049017,3.83887649e+08,1.99934378e+08,1.50915752e+08,6.78663673e+07,2.26121469e+07,8.83138310e+06,5.01646094e+06,5.08508676e+06,5.22747573e+06,7.85562810e+06,1.21996254e+07,1.90437519e+07
53219.02083333,1.43685460,2.44106636,-0.85146738,4.04381211e+08,2.10976463e+08,1.59237815e+08,7.16407990e+07,2.37096273e+07,9.30216433e+06,5.28879044e+06,5.37340604e+06,5.54521244e+06,8.37295042e+06,1.30406565e+07,2.03445740e+07
53219.02152778,1.42694265,2.47889157,-0.84226174,4.25222295e+08,2.22213066e+08,1.67716515e+08,7.54971130e+07,2.48272776e+07,9.78292254e+06,5.56615812e+06,5.66771687e+06,5.87074864e+06,8.90543398e+06,1.39079039e+07,2.16859227e+07
53219.02222222,1.41673201,2.51619773,-0.83287968,4.46410220e+08,2.33643805e+08,1.76351545e+08,7.94351487e+07,2.59650582e+07,1.02736382e+07,5.84855411e+06,5.96800753e+06,6.20406908e+06,9.45304915e+06,1.48013163e+07,2.30677188e+07
53219.02291667,1.40623164,2.55298955,-0.82332732,4.67944302e+08,2.45268300e+08,1.85142597e+08,8.34547452e+07,2.71229295e+07,1.07742916e+07,6.13596851e+06,6.27426624e+06,6.54515839e+06,1.00157660e+07,1.57208422e+07,2.44898823e+07
53219.02361111,1.39545046,2.58927141,-0.81361047,4.89823839e+08,2.57086155e+08,1.94089354e+08,8.75557368e+07,2.83008506e+07,1.12848628e+07,6.42839113e+06,6.58648086e+06,6.89400083e+06,1.05935541e+07,1.66664286e+07,2.59523316e+07
