# GTO_1DAY_TOTALDOSE test orbit
# System: GEI
# Data Delimiter: Space
# Year Doy x1 x2 x3
2.015000000000e+03 1.000000000000e+00 -1.186484729947e+00 6.509593129097e+00 0.000000000000e+00
2.015000000000e+03 1.010416666628e+00 -1.411409557744e+00 6.454098865885e+00 0.000000000000e+00
2.015000000000e+03 1.020833333372e+00 -1.630219851649e+00 6.370651309415e+00 0.000000000000e+00
2.015000000000e+03 1.031250000000e+00 -1.841866858606e+00 6.259223606539e+00 0.000000000000e+00
2.015000000000e+03 1.041666666628e+00 -2.045226575747e+00 6.119650892495e+00 0.000000000000e+00
2.015000000000e+03 1.052083333372e+00 -2.239069834616e+00 5.951625758595e+00 0.000000000000e+00
2.015000000000e+03 1.062500000000e+00 -2.422026306184e+00 5.754689991957e+00 0.000000000000e+00
2.015000000000e+03 1.072916666628e+00 -2.592539503293e+00 5.528222150136e+00 0.000000000000e+00
2.015000000000e+03 1.083333333372e+00 -2.748808558382e+00 5.271420389000e+00 0.000000000000e+00
2.015000000000e+03 1.093750000000e+00 -2.888710596006e+00 4.983279719181e+00 0.000000000000e+00
2.015000000000e+03 1.104166666628e+00 -3.009694168878e+00 4.662562695767e+00 0.000000000000e+00
2.015000000000e+03 1.114583333372e+00 -3.108628505051e+00 4.307762688567e+00 0.000000000000e+00
2.015000000000e+03 1.125000000000e+00 -3.181583377777e+00 3.917059491976e+00 0.000000000000e+00
2.015000000000e+03 1.135416666628e+00 -3.223496067651e+00 3.488269452541e+00 0.000000000000e+00
2.015000000000e+03 1.145833333372e+00 -3.227646543570e+00 3.018799822913e+00 0.000000000000e+00
2.015000000000e+03 1.156250000000e+00 -3.184789963853e+00 2.505638827771e+00 0.000000000000e+00
2.015000000000e+03 1.159722222248e+00 -3.157922136159e+00 2.324306321546e+00 0.000000000000e+00
2.015000000000e+03 1.163194444496e+00 -3.123780184215e+00 2.137626232879e+00 0.000000000000e+00
2.015000000000e+03 1.166666666628e+00 -3.081638506274e+00 1.945479533347e+00 0.000000000000e+00
2.015000000000e+03 1.170138888876e+00 -3.030653333604e+00 1.747759171164e+00 0.000000000000e+00
2.015000000000e+03 1.173611111124e+00 -2.969835630485e+00 1.544380062538e+00 0.000000000000e+00
2.015000000000e+03 1.177083333372e+00 -2.898016034726e+00 1.335294383320e+00 0.000000000000e+00
2.015000000000e+03 1.180555555504e+00 -2.813799106431e+00 1.120515350386e+00 0.000000000000e+00
2.015000000000e+03 1.184027777752e+00 -2.715503094818e+00 9.001545101186e-01 0.000000000000e+00
2.015000000000e+03 1.187500000000e+00 -2.601080233107e+00 6.744812570413e-01 0.000000000000e+00
2.015000000000e+03 1.190972222248e+00 -2.468011135768e+00 4.440192939014e-01 0.000000000000e+00
2.015000000000e+03 1.194444444496e+00 -2.313166421575e+00 2.097063239934e-01 0.000000000000e+00
2.015000000000e+03 1.197916666628e+00 -2.132631716365e+00 -2.683611975753e-02 0.000000000000e+00
2.015000000000e+03 1.200694444473e+00 -1.966452637760e+00 -2.158706493726e-01 0.000000000000e+00
2.015000000000e+03 1.201388888876e+00 -1.921507575060e+00 -2.628381300972e-01 0.000000000000e+00
2.015000000000e+03 1.202083333279e+00 -1.875100798957e+00 -3.096052614357e-01 0.000000000000e+00
2.015000000000e+03 1.202777777798e+00 -1.827178196162e+00 -3.561216669746e-01 0.000000000000e+00
2.015000000000e+03 1.203472222202e+00 -1.777683922483e+00 -4.023312379030e-01 0.000000000000e+00
2.015000000000e+03 1.204166666721e+00 -1.726560508679e+00 -4.481715444445e-01 0.000000000000e+00
2.015000000000e+03 1.204861111124e+00 -1.673749161696e+00 -4.935730669767e-01 0.000000000000e+00
2.015000000000e+03 1.205555555527e+00 -1.619190030113e+00 -5.384584774544e-01 0.000000000000e+00
2.015000000000e+03 1.206250000047e+00 -1.562822664756e+00 -5.827417784359e-01 0.000000000000e+00
2.015000000000e+03 1.206944444450e+00 -1.504586621472e+00 -6.263273824845e-01 0.000000000000e+00
2.015000000000e+03 1.207638888853e+00 -1.444422144243e+00 -6.691092052996e-01 0.000000000000e+00
2.015000000000e+03 1.208333333372e+00 -1.382271132731e+00 -7.109696536551e-01 0.000000000000e+00
2.015000000000e+03 1.209027777775e+00 -1.318078354894e+00 -7.517786017871e-01 0.000000000000e+00
2.015000000000e+03 1.209722222178e+00 -1.251792845321e+00 -7.913924517551e-01 0.000000000000e+00
2.015000000000e+03 1.210416666698e+00 -1.183369719975e+00 -8.296532013993e-01 0.000000000000e+00
2.015000000000e+03 1.211111111101e+00 -1.112772363242e+00 -8.663876564932e-01 0.000000000000e+00
2.015000000000e+03 1.211805555504e+00 -1.039974911642e+00 -9.014069314847e-01 0.000000000000e+00
2.015000000000e+03 1.212500000023e+00 -9.649652625494e-01 -9.345062394317e-01 0.000000000000e+00
2.015000000000e+03 1.213194444426e+00 -8.877485116023e-01 -9.654651788765e-01 0.000000000000e+00
2.015000000000e+03 1.213888888946e+00 -8.083506463544e-01 -9.940487347512e-01 0.000000000000e+00
2.015000000000e+03 1.214583333349e+00 -7.268227280887e-01 -1.020009048942e+00 0.000000000000e+00
2.015000000000e+03 1.215277777752e+00 -6.432450169172e-01 -1.043088309404e+00 0.000000000000e+00
2.015000000000e+03 1.215972222271e+00 -5.577311277293e-01 -1.063022807339e+00 0.000000000000e+00
2.015000000000e+03 1.216666666674e+00 -4.704317631258e-01 -1.079548347950e+00 0.000000000000e+00
2.015000000000e+03 1.217361111077e+00 -3.815374712408e-01 -1.092407066014e+00 0.000000000000e+00
2.015000000000e+03 1.218055555597e+00 -2.912802096899e-01 -1.101355476011e+00 0.000000000000e+00
2.015000000000e+03 1.218750000000e+00 -1.999331026837e-01 -1.106173507026e+00 0.000000000000e+00
2.015000000000e+03 1.219444444403e+00 -1.078078215392e-01 -1.106674020294e+00 0.000000000000e+00
2.015000000000e+03 1.220138888923e+00 -1.524958944366e-02 -1.102712083062e+00 0.000000000000e+00
2.015000000000e+03 1.220833333326e+00 7.737034682441e-02 -1.094193191947e+00 0.000000000000e+00
2.015000000000e+03 1.221527777729e+00 1.696646299270e-01 -1.081079557248e+00 0.000000000000e+00
2.015000000000e+03 1.222222222248e+00 2.612411908035e-01 -1.063393706336e+00 0.000000000000e+00
2.015000000000e+03 1.222916666651e+00 3.517153859852e-01 -1.041218921629e+00 0.000000000000e+00
2.015000000000e+03 1.223611111054e+00 4.407219781388e-01 -1.014696338761e+00 0.000000000000e+00
2.015000000000e+03 1.224305555574e+00 5.279256726633e-01 -9.840190297237e-01 0.000000000000e+00
2.015000000000e+03 1.224999999977e+00 6.130295312191e-01 -9.494236849940e-01 0.000000000000e+00
2.015000000000e+03 1.225694444496e+00 6.957808854578e-01 -9.111806836348e-01 0.000000000000e+00
2.015000000000e+03 1.226388888899e+00 7.759742286187e-01 -8.695836288144e-01 0.000000000000e+00
2.015000000000e+03 1.227083333302e+00 8.534516763853e-01 -8.249390430970e-01 0.000000000000e+00
2.015000000000e+03 1.227777777822e+00 9.281010518135e-01 -7.775570623308e-01 0.000000000000e+00
2.015000000000e+03 1.228472222225e+00 9.998522901222e-01 -7.277435336096e-01 0.000000000000e+00
2.015000000000e+03 1.229166666628e+00 1.068672846101e+00 -6.757936567482e-01 0.000000000000e+00
2.015000000000e+03 1.229861111147e+00 1.134562413885e+00 -6.219873372951e-01 0.000000000000e+00
2.015000000000e+03 1.230555555550e+00 1.197547524504e+00 -5.665860679283e-01 0.000000000000e+00
2.015000000000e+03 1.231249999953e+00 1.257676438497e+00 -5.098310422771e-01 0.000000000000e+00
2.015000000000e+03 1.231944444473e+00 1.315014353355e+00 -4.519424195138e-01 0.000000000000e+00
2.015000000000e+03 1.232638888876e+00 1.369639159481e+00 -3.931194169163e-01 0.000000000000e+00
2.015000000000e+03 1.233333333279e+00 1.421637870021e+00 -3.335409122595e-01 0.000000000000e+00
2.015000000000e+03 1.234027777798e+00 1.471103548801e+00 -2.733665386647e-01 0.000000000000e+00
2.015000000000e+03 1.234722222202e+00 1.518132795982e+00 -2.127380316909e-01 0.000000000000e+00
2.015000000000e+03 1.235416666721e+00 1.562823807582e+00 -1.517806046488e-01 0.000000000000e+00
2.015000000000e+03 1.236111111124e+00 1.605274744676e+00 -9.060451719803e-02 0.000000000000e+00
2.015000000000e+03 1.236805555527e+00 1.645582583989e+00 -2.930647024846e-02 0.000000000000e+00
2.015000000000e+03 1.237500000047e+00 1.683842194272e+00 3.202895984127e-02 0.000000000000e+00
2.015000000000e+03 1.238194444450e+00 1.720145666937e+00 9.332797496212e-02 0.000000000000e+00
2.015000000000e+03 1.238888888853e+00 1.754581902114e+00 1.545264037692e-01 0.000000000000e+00
2.015000000000e+03 1.239583333372e+00 1.787236293653e+00 2.155685652534e-01 0.000000000000e+00
2.015000000000e+03 1.240277777775e+00 1.818190543344e+00 2.764062400935e-01 0.000000000000e+00
2.015000000000e+03 1.240972222178e+00 1.847522618205e+00 3.369978375818e-01 0.000000000000e+00
2.015000000000e+03 1.241666666698e+00 1.875306729524e+00 3.973075675629e-01 0.000000000000e+00
2.015000000000e+03 1.242361111101e+00 1.901613370539e+00 4.573047029441e-01 0.000000000000e+00
2.015000000000e+03 1.243055555504e+00 1.926509433877e+00 5.169630148626e-01 0.000000000000e+00
2.015000000000e+03 1.246527777752e+00 2.031935203907e+00 8.095024073326e-01 0.000000000000e+00
2.015000000000e+03 1.250000000000e+00 2.110289518486e+00 1.091403481194e+00 0.000000000000e+00
2.015000000000e+03 1.253472222248e+00 2.166715122150e+00 1.362062268721e+00 0.000000000000e+00
2.015000000000e+03 1.256944444496e+00 2.205137705546e+00 1.621473146711e+00 0.000000000000e+00
2.015000000000e+03 1.260416666628e+00 2.228589548855e+00 1.869926153508e+00 0.000000000000e+00
