# GEO_1DAY_SPME test orbit
# System: GEO
# Units: Re
# Data Delimiter: Tab
# Year	Doy	Gmt	X	Y	Z
2.015000000000e+03	1.000000000000e+00	0.000000000000e+00	6.617932571201e+00	-1.475720434740e-09	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	3.599999996647e+03	6.617932571201e+00	1.673450364947e-07	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	7.200000003353e+03	6.617932571201e+00	3.361657481271e-07	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	1.080000000000e+04	6.617932571201e+00	5.049864917339e-07	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	1.439999999665e+04	6.617932571201e+00	6.738072468870e-07	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	1.800000000335e+04	6.617932571201e+00	8.426279580753e-07	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	2.160000000000e+04	6.617932571201e+00	1.011448718113e-06	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	2.519999999665e+04	6.617932571201e+00	1.180269473711e-06	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	2.880000000335e+04	6.617932571201e+00	1.349090173353e-06	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	3.240000000000e+04	6.617932571201e+00	1.517910779292e-06	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	3.599999999665e+04	6.617932571201e+00	1.686731523343e-06	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	3.960000000335e+04	6.617932571201e+00	1.855552228758e-06	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	4.320000000000e+04	6.617932571200e+00	2.024372987242e-06	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	4.679999999665e+04	6.617932571200e+00	2.193193668454e-06	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	5.040000000335e+04	6.617932571200e+00	2.362014379198e-06	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	5.400000000000e+04	6.617932571200e+00	2.530835126802e-06	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	5.759999999665e+04	6.617932571200e+00	2.699655885063e-06	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	6.120000000335e+04	6.617932571200e+00	2.868476607687e-06	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	6.480000000000e+04	6.617932571200e+00	3.037297271469e-06	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	6.839999999665e+04	6.617932571200e+00	3.206118022181e-06	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	7.200000000335e+04	6.617932571200e+00	3.374938738254e-06	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	7.560000000000e+04	6.617932571200e+00	3.543759488966e-06	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	7.919999999665e+04	6.617932571200e+00	3.712580232573e-06	0.000000000000e+00
2.015000000000e+03	1.000000000000e+00	8.280000000335e+04	6.617932571200e+00	3.881400950145e-06	0.000000000000e+00
2.015000000000e+03	2.000000000000e+00	0.000000000000e+00	6.617932571200e+00	4.050221702245e-06	0.000000000000e+00
