# GPS_1DAY_SPMHE directions
# System: MAG
# Data Delimiter: Comma
# d1,d2,d3,d1,d2,d3
7.364421867448e-02,4.752136374844e-01,8.767830562943e-01,4.312038659703e-01,5.666581238675e-01,7.021123817647e-01
7.488531855085e-02,4.756604493137e-01,8.764355800766e-01,4.313288873570e-01,5.666753026079e-01,7.020217178589e-01
7.612137762671e-02,4.761046164289e-01,8.760878552310e-01,4.314536994363e-01,5.666924403659e-01,7.019311812955e-01
7.735241972276e-02,4.765461572206e-01,8.757398947184e-01,4.315783027232e-01,5.667095372704e-01,7.018407718175e-01
7.857846857504e-02,4.769850899467e-01,8.753917113184e-01,4.317026977310e-01,5.667265934498e-01,7.017504891687e-01
7.979954783437e-02,4.774214327332e-01,8.750433176320e-01,4.318268849711e-01,5.667436090324e-01,7.016603330936e-01
8.101568106581e-02,4.778552035746e-01,8.746947260834e-01,4.319508649537e-01,5.667605841455e-01,7.015703033373e-01
8.222689174816e-02,4.782864203351e-01,8.743459489221e-01,4.320746381870e-01,5.667775189162e-01,7.014803996455e-01
8.343320327343e-02,4.787151007492e-01,8.739969982250e-01,4.321982051776e-01,5.667944134711e-01,7.013906217645e-01
8.463463894640e-02,4.791412624224e-01,8.736478858984e-01,4.323215664307e-01,5.668112679361e-01,7.013009694415e-01
8.583122198417e-02,4.795649228322e-01,8.732986236802e-01,4.324447224498e-01,5.668280824369e-01,7.012114424239e-01
8.702297551568e-02,4.799860993287e-01,8.729492231417e-01,4.325676737366e-01,5.668448570984e-01,7.011220404603e-01
8.820992258138e-02,4.804048091355e-01,8.725996956896e-01,4.326904207914e-01,5.668615920454e-01,7.010327632994e-01
8.939208613278e-02,4.808210693505e-01,8.722500525683e-01,4.328129641128e-01,5.668782874018e-01,7.009436106908e-01
9.056948903210e-02,4.812348969467e-01,8.719003048613e-01,4.329353041980e-01,5.668949432914e-01,7.008545823847e-01
9.174215405194e-02,4.816463087727e-01,8.715504634934e-01,4.330574415423e-01,5.669115598372e-01,7.007656781320e-01
9.291010387491e-02,4.820553215539e-01,8.712005392328e-01,4.331793766396e-01,5.669281371619e-01,7.006768976841e-01
9.407336109335e-02,4.824619518930e-01,8.708505426927e-01,4.333011099823e-01,5.669446753877e-01,7.005882407931e-01
9.523194820902e-02,4.828662162711e-01,8.705004843332e-01,4.334226420611e-01,5.669611746364e-01,7.004997072117e-01
9.638588763285e-02,4.832681310481e-01,8.701503744633e-01,4.335439733651e-01,5.669776350292e-01,7.004112966932e-01
9.753520168464e-02,4.836677124635e-01,8.698002232425e-01,4.336651043821e-01,5.669940566869e-01,7.003230089916e-01
9.867991259283e-02,4.840649766378e-01,8.694500406828e-01,4.337860355981e-01,5.670104397297e-01,7.002348438614e-01
9.982004249432e-02,4.844599395724e-01,8.690998366505e-01,4.339067674976e-01,5.670267842777e-01,7.001468010578e-01
1.009556134342e-01,4.848526171510e-01,8.687496208678e-01,4.340273005637e-01,5.670430904502e-01,7.000588803366e-01
1.020866473655e-01,4.852430251401e-01,8.683994029147e-01,4.341476352778e-01,5.670593583660e-01,6.999710814542e-01
1.032131661494e-01,4.856311791899e-01,8.680491922305e-01,4.342677721198e-01,5.670755881438e-01,6.998834041677e-01
1.043351915543e-01,4.860170948351e-01,8.676989981159e-01,4.343877115683e-01,5.670917799015e-01,6.997958482347e-01
1.054527452565e-01,4.864007874954e-01,8.673488297344e-01,4.345074541000e-01,5.671079337568e-01,6.997084134135e-01
1.065658488395e-01,4.867822724768e-01,8.669986961140e-01,4.346270001905e-01,5.671240498267e-01,6.996210994628e-01
1.076745237943e-01,4.871615649716e-01,8.666486061490e-01,4.347463503137e-01,5.671401282279e-01,6.995339061422e-01
1.087787915188e-01,4.875386800601e-01,8.662985686015e-01,4.348655049418e-01,5.671561690768e-01,6.994468332117e-01
1.098786733182e-01,4.879136327106e-01,8.659485921029e-01,4.349844645460e-01,5.671721724890e-01,6.993598804320e-01
1.109741904046e-01,4.882864377803e-01,8.655986851560e-01,4.351032295955e-01,5.671881385799e-01,6.992730475643e-01
1.120653638971e-01,4.886571100166e-01,8.652488561361e-01,4.352218005585e-01,5.672040674645e-01,6.991863343705e-01
1.131522148217e-01,4.890256640572e-01,8.648991132926e-01,4.353401779013e-01,5.672199592572e-01,6.990997406130e-01
1.142347641112e-01,4.893921144311e-01,8.645494647509e-01,4.354583620890e-01,5.672358140720e-01,6.990132660550e-01
1.153130326053e-01,4.897564755594e-01,8.641999185136e-01,4.355763535852e-01,5.672516320226e-01,6.989269104600e-01
1.163870410503e-01,4.901187617562e-01,8.638504824622e-01,4.356941528520e-01,5.672674132221e-01,6.988406735923e-01
1.174568100996e-01,4.904789872289e-01,8.635011643583e-01,4.358117603500e-01,5.672831577833e-01,6.987545552167e-01
1.185223603131e-01,4.908371660794e-01,8.631519718456e-01,4.359291765384e-01,5.672988658185e-01,6.986685550986e-01
1.195837121579e-01,4.911933123044e-01,8.628029124510e-01,4.360464018751e-01,5.673145374396e-01,6.985826730041e-01
1.206408860076e-01,4.915474397968e-01,8.624539935860e-01,4.361634368163e-01,5.673301727580e-01,6.984969086996e-01
1.216939021428e-01,4.918995623457e-01,8.621052225485e-01,4.362802818171e-01,5.673457718848e-01,6.984112619525e-01
1.227427807512e-01,4.922496936374e-01,8.617566065237e-01,4.363969373308e-01,5.673613349306e-01,6.983257325304e-01
1.237875419272e-01,4.925978472566e-01,8.614081525861e-01,4.365134038096e-01,5.673768620056e-01,6.982403202016e-01
1.248282056725e-01,4.929440366864e-01,8.610598677002e-01,4.366296817041e-01,5.673923532196e-01,6.981550247351e-01
1.258647918959e-01,4.932882753093e-01,8.607117587226e-01,4.367457714636e-01,5.674078086820e-01,6.980698459004e-01
1.268973204134e-01,4.936305764081e-01,8.603638324028e-01,4.368616735359e-01,5.674232285017e-01,6.979847834674e-01
1.279258109483e-01,4.939709531665e-01,8.600160953848e-01,4.369773883676e-01,5.674386127873e-01,6.978998372069e-01
1.289502831313e-01,4.943094186698e-01,8.596685542084e-01,4.370929164037e-01,5.674539616469e-01,6.978150068901e-01
1.299707565007e-01,4.946459859055e-01,8.593212153102e-01,4.372082580878e-01,5.674692751882e-01,6.977302922886e-01
1.309872505024e-01,4.949806677641e-01,8.589740850257e-01,4.373234138624e-01,5.674845535186e-01,6.976456931749e-01
1.319997844903e-01,4.953134770399e-01,8.586271695894e-01,4.374383841683e-01,5.674997967451e-01,6.975612093218e-01
1.330083777260e-01,4.956444264316e-01,8.582804751373e-01,4.375531694451e-01,5.675150049740e-01,6.974768405029e-01
1.340130493791e-01,4.959735285432e-01,8.579340077072e-01,4.376677701310e-01,5.675301783116e-01,6.973925864921e-01
1.350138185276e-01,4.963007958840e-01,8.575877732404e-01,4.377821866629e-01,5.675453168635e-01,6.973084470641e-01
1.360107041580e-01,4.966262408704e-01,8.572417775828e-01,4.378964194763e-01,5.675604207351e-01,6.972244219940e-01
1.370037251649e-01,4.969498758256e-01,8.568960264862e-01,4.380104690052e-01,5.675754900314e-01,6.971405110575e-01
1.379929003522e-01,4.972717129807e-01,8.565505256093e-01,4.381243356826e-01,5.675905248567e-01,6.970567140309e-01
1.389782484321e-01,4.975917644756e-01,8.562052805191e-01,4.382380199399e-01,5.676055253154e-01,6.969730306910e-01
1.399597880263e-01,4.979100423591e-01,8.558602966919e-01,4.383515222072e-01,5.676204915112e-01,6.968894608151e-01
1.409375376657e-01,4.982265585901e-01,8.555155795146e-01,4.384648429133e-01,5.676354235474e-01,6.968060041814e-01
1.419115157905e-01,4.985413250381e-01,8.551711342856e-01,4.385779824858e-01,5.676503215269e-01,6.967226605681e-01
1.428817407508e-01,4.988543534836e-01,8.548269662163e-01,4.386909413507e-01,5.676651855525e-01,6.966394297543e-01
1.438482308065e-01,4.991656556191e-01,8.544830804318e-01,4.388037199330e-01,5.676800157263e-01,6.965563115197e-01
1.448110041275e-01,4.994752430499e-01,8.541394819723e-01,4.389163186562e-01,5.676948121502e-01,6.964733056443e-01
1.457700787941e-01,4.997831272941e-01,8.537961757940e-01,4.390287379425e-01,5.677095749256e-01,6.963904119087e-01
1.467254727972e-01,5.000893197838e-01,8.534531667705e-01,4.391409782128e-01,5.677243041536e-01,6.963076300943e-01
1.476772040385e-01,5.003938318658e-01,8.531104596932e-01,4.392530398870e-01,5.677389999349e-01,6.962249599828e-01
1.486252903305e-01,5.006966748018e-01,8.527680592732e-01,4.393649233832e-01,5.677536623698e-01,6.961424013564e-01
1.495697493972e-01,5.009978597694e-01,8.524259701416e-01,4.394766291186e-01,5.677682915583e-01,6.960599539979e-01
1.505105988739e-01,5.012973978624e-01,8.520841968509e-01,4.395881575090e-01,5.677828875999e-01,6.959776176908e-01
1.514478563080e-01,5.015953000920e-01,8.517427438760e-01,4.396995089689e-01,5.677974505939e-01,6.958953922189e-01
1.523815391584e-01,5.018915773867e-01,8.514016156151e-01,4.398106839116e-01,5.678119806392e-01,6.958132773667e-01
1.533116647966e-01,5.021862405937e-01,8.510608163907e-01,4.399216827491e-01,5.678264778341e-01,6.957312729191e-01
1.542382505067e-01,5.024793004787e-01,8.507203504508e-01,4.400325058921e-01,5.678409422769e-01,6.956493786617e-01
1.551613134852e-01,5.027707677272e-01,8.503802219693e-01,4.401431537502e-01,5.678553740653e-01,6.955675943803e-01
1.560808708421e-01,5.030606529448e-01,8.500404350476e-01,4.402536267315e-01,5.678697732966e-01,6.954859198617e-01
1.569969396004e-01,5.033489666578e-01,8.497009937152e-01,4.403639252430e-01,5.678841400679e-01,6.954043548928e-01
1.579095366970e-01,5.036357193138e-01,8.493619019307e-01,4.404740496906e-01,5.678984744759e-01,6.953228992613e-01
1.588186789824e-01,5.039209212826e-01,8.490231635827e-01,4.405840004786e-01,5.679127766169e-01,6.952415527552e-01
1.597243832216e-01,5.042045828562e-01,8.486847824907e-01,4.406937780104e-01,5.679270465869e-01,6.951603151633e-01
1.606266660937e-01,5.044867142499e-01,8.483467624061e-01,4.408033826881e-01,5.679412844814e-01,6.950791862747e-01
1.615255441929e-01,5.047673256029e-01,8.480091070129e-01,4.409128149125e-01,5.679554903958e-01,6.949981658790e-01
1.624210340283e-01,5.050464269785e-01,8.476718199288e-01,4.410220750832e-01,5.679696644249e-01,6.949172537665e-01
1.633131520243e-01,5.053240283651e-01,8.473349047058e-01,4.411311635986e-01,5.679838066632e-01,6.948364497279e-01
1.642019145210e-01,5.056001396762e-01,8.469983648314e-01,4.412400808559e-01,5.679979172051e-01,6.947557535544e-01
1.650873377745e-01,5.058747707518e-01,8.466622037291e-01,4.413488272511e-01,5.680119961444e-01,6.946751650377e-01
1.659694379570e-01,5.061479313582e-01,8.463264247594e-01,4.414574031790e-01,5.680260435745e-01,6.945946839701e-01
1.668482311574e-01,5.064196311891e-01,8.459910312207e-01,4.415658090332e-01,5.680400595888e-01,6.945143101443e-01
1.677237333815e-01,5.066898798658e-01,8.456560263501e-01,4.416740452061e-01,5.680540442799e-01,6.944340433537e-01
1.685959605521e-01,5.069586869379e-01,8.453214133238e-01,4.417821120889e-01,5.680679977404e-01,6.943538833919e-01
1.694649285097e-01,5.072260618841e-01,8.449871952585e-01,4.418900100717e-01,5.680819200625e-01,6.942738300533e-01
1.703306530123e-01,5.074920141121e-01,8.446533752119e-01,4.419977395433e-01,5.680958113380e-01,6.941938831327e-01
1.711931497365e-01,5.077565529599e-01,8.443199561834e-01,4.421053008915e-01,5.681096716584e-01,6.941140424252e-01
1.720524342769e-01,5.080196876960e-01,8.439869411150e-01,4.422126945026e-01,5.681235011147e-01,6.940343077268e-01
1.729085221471e-01,5.082814275196e-01,8.436543328921e-01,4.423199207622e-01,5.681372997980e-01,6.939546788337e-01
1.737614287797e-01,5.085417815618e-01,8.433221343439e-01,4.424269800544e-01,5.681510677985e-01,6.938751555426e-01
1.746111695267e-01,5.088007588857e-01,8.429903482448e-01,4.425338727623e-01,5.681648052066e-01,6.937957376509e-01
1.754577596600e-01,5.090583684871e-01,8.426589773143e-01,4.426405992677e-01,5.681785121120e-01,6.937164249563e-01
1.763012143713e-01,5.093146192949e-01,8.423280242184e-01,4.427471599513e-01,5.681921886042e-01,6.936372172571e-01
1.771415487730e-01,5.095695201716e-01,8.419974915702e-01,4.428535551929e-01,5.682058347725e-01,6.935581143520e-01
1.779787778979e-01,5.098230799140e-01,8.416673819301e-01,4.429597853708e-01,5.682194507056e-01,6.934791160404e-01
1.788129167001e-01,5.100753072536e-01,8.413376978071e-01,4.430658508624e-01,5.682330364921e-01,6.934002221218e-01
1.796439800551e-01,5.103262108572e-01,8.410084416592e-01,4.431717520438e-01,5.682465922202e-01,6.933214323966e-01
1.804719827599e-01,5.105757993271e-01,8.406796158943e-01,4.432774892902e-01,5.682601179779e-01,6.932427466655e-01
1.812969395338e-01,5.108240812021e-01,8.403512228704e-01,4.433830629755e-01,5.682736138526e-01,6.931641647297e-01
1.821188650183e-01,5.110710649575e-01,8.400232648967e-01,4.434884734725e-01,5.682870799316e-01,6.930856863908e-01
1.829377737777e-01,5.113167590059e-01,8.396957442342e-01,4.435937211530e-01,5.683005163020e-01,6.930073114510e-01
1.837536802994e-01,5.115611716977e-01,8.393686630961e-01,4.436988063875e-01,5.683139230502e-01,6.929290397130e-01
1.845665989942e-01,5.118043113215e-01,8.390420236487e-01,4.438037295456e-01,5.683273002627e-01,6.928508709799e-01
1.853765441967e-01,5.120461861043e-01,8.387158280119e-01,4.439084909956e-01,5.683406480254e-01,6.927728050552e-01
1.861835301654e-01,5.122868042127e-01,8.383900782599e-01,4.440130911049e-01,5.683539664240e-01,6.926948417431e-01
1.869875710834e-01,5.125261737526e-01,8.380647764218e-01,4.441175302397e-01,5.683672555439e-01,6.926169808482e-01
1.877886810584e-01,5.127643027702e-01,8.377399244819e-01,4.442218087651e-01,5.683805154702e-01,6.925392221754e-01
1.885868741233e-01,5.130011992521e-01,8.374155243810e-01,4.443259270451e-01,5.683937462877e-01,6.924615655302e-01
1.893821642366e-01,5.132368711263e-01,8.370915780161e-01,4.444298854427e-01,5.684069480807e-01,6.923840107187e-01
1.901745652822e-01,5.134713262621e-01,8.367680872419e-01,4.445336843198e-01,5.684201209335e-01,6.923065575473e-01
1.909640910706e-01,5.137045724705e-01,8.364450538705e-01,4.446373240372e-01,5.684332649300e-01,6.922292058228e-01
1.917507553383e-01,5.139366175055e-01,8.361224796728e-01,4.447408049545e-01,5.684463801536e-01,6.921519553527e-01
1.925345717489e-01,5.141674690636e-01,8.358003663783e-01,4.448441274306e-01,5.684594666877e-01,6.920748059449e-01
1.933155538932e-01,5.143971347848e-01,8.354787156763e-01,4.449472918229e-01,5.684725246152e-01,6.919977574075e-01
1.940937152893e-01,5.146256222527e-01,8.351575292161e-01,4.450502984880e-01,5.684855540188e-01,6.919208095495e-01
1.948690693831e-01,5.148529389952e-01,8.348368086073e-01,4.451531477815e-01,5.684985549808e-01,6.918439621801e-01
1.956416295491e-01,5.150790924851e-01,8.345165554212e-01,4.452558400577e-01,5.685115275833e-01,6.917672151088e-01
1.964114090898e-01,5.153040901400e-01,8.341967711903e-01,4.453583756701e-01,5.685244719081e-01,6.916905681460e-01
1.971784212369e-01,5.155279393232e-01,8.338774574095e-01,4.454607549710e-01,5.685373880366e-01,6.916140211022e-01
1.979426791511e-01,5.157506473438e-01,8.335586155364e-01,4.455629783117e-01,5.685502760501e-01,6.915375737885e-01
1.987041959229e-01,5.159722214574e-01,8.332402469918e-01,4.456650460426e-01,5.685631360295e-01,6.914612260164e-01
1.994629845726e-01,5.161926688664e-01,8.329223531602e-01,4.457669585128e-01,5.685759680554e-01,6.913849775980e-01
2.002190580505e-01,5.164119967205e-01,8.326049353904e-01,4.458687160705e-01,5.685887722081e-01,6.913088283456e-01
2.009724292379e-01,5.166302121169e-01,8.322879949959e-01,4.459703190631e-01,5.686015485676e-01,6.912327780721e-01
2.017231109466e-01,5.168473221009e-01,8.319715332553e-01,4.460717678366e-01,5.686142972138e-01,6.911568265909e-01
2.024711159199e-01,5.170633336664e-01,8.316555514129e-01,4.461730627362e-01,5.686270182260e-01,6.910809737158e-01
2.032164568327e-01,5.172782537560e-01,8.313400506793e-01,4.462742041061e-01,5.686397116835e-01,6.910052192610e-01
2.039591462918e-01,5.174920892617e-01,8.310250322316e-01,4.463751922893e-01,5.686523776653e-01,6.909295630412e-01
2.046991968363e-01,5.177048470251e-01,8.307104972139e-01,4.464760276281e-01,5.686650162498e-01,6.908540048715e-01
2.054366209378e-01,5.179165338379e-01,8.303964467380e-01,4.465767104635e-01,5.686776275155e-01,6.907785445675e-01
2.061714310010e-01,5.181271564423e-01,8.300828818835e-01,4.466772411358e-01,5.686902115405e-01,6.907031819453e-01
2.069036393638e-01,5.183367215313e-01,8.297698036987e-01,4.467776199839e-01,5.687027684026e-01,6.906279168212e-01
2.076332582979e-01,5.185452357492e-01,8.294572132005e-01,4.468778473461e-01,5.687152981792e-01,6.905527490122e-01
2.083603000088e-01,5.187527056920e-01,8.291451113752e-01,4.469779235595e-01,5.687278009476e-01,6.904776783356e-01
2.090847766363e-01,5.189591379076e-01,8.288334991789e-01,4.470778489604e-01,5.687402767848e-01,6.904027046092e-01
2.098067002550e-01,5.191645388963e-01,8.285223775377e-01,4.471776238838e-01,5.687527257675e-01,6.903278276512e-01
2.105260828743e-01,5.193689151113e-01,8.282117473483e-01,4.472772486640e-01,5.687651479722e-01,6.902530472803e-01
2.112429364391e-01,5.195722729588e-01,8.279016094785e-01,4.473767236342e-01,5.687775434749e-01,6.901783633156e-01
2.119572728297e-01,5.197746187985e-01,8.275919647673e-01,4.474760491268e-01,5.687899123516e-01,6.901037755764e-01
2.126691038627e-01,5.199759589442e-01,8.272828140257e-01,4.475752254730e-01,5.688022546780e-01,6.900292838830e-01
2.133784412906e-01,5.201762996637e-01,8.269741580367e-01,4.476742530032e-01,5.688145705293e-01,6.899548880554e-01
2.140852968030e-01,5.203756471795e-01,8.266659975560e-01,4.477731320467e-01,5.688268599807e-01,6.898805879147e-01
2.147896820261e-01,5.205740076691e-01,8.263583333122e-01,4.478718629319e-01,5.688391231070e-01,6.898063832821e-01
2.154916085236e-01,5.207713872653e-01,8.260511660071e-01,4.479704459864e-01,5.688513599828e-01,6.897322739791e-01
2.161910877968e-01,5.209677920566e-01,8.257444963165e-01,4.480688815367e-01,5.688635706824e-01,6.896582598280e-01
2.168881312849e-01,5.211632280874e-01,8.254383248900e-01,4.481671699083e-01,5.688757552797e-01,6.895843406511e-01
2.175827503654e-01,5.213577013587e-01,8.251326523520e-01,4.482653114259e-01,5.688879138487e-01,6.895105162715e-01
2.182749563546e-01,5.215512178279e-01,8.248274793013e-01,4.483633064132e-01,5.689000464629e-01,6.894367865126e-01
2.189647605073e-01,5.217437834098e-01,8.245228063123e-01,4.484611551929e-01,5.689121531954e-01,6.893631511980e-01
2.196521740181e-01,5.219354039764e-01,8.242186339347e-01,4.485588580868e-01,5.689242341194e-01,6.892896101520e-01
2.203372080208e-01,5.221260853574e-01,8.239149626939e-01,4.486564154159e-01,5.689362893076e-01,6.892161631992e-01
2.210198735893e-01,5.223158333406e-01,8.236117930920e-01,4.487538275001e-01,5.689483188324e-01,6.891428101647e-01
2.217001817375e-01,5.225046536724e-01,8.233091256073e-01,4.488510946585e-01,5.689603227662e-01,6.890695508739e-01
2.223781434201e-01,5.226925520576e-01,8.230069606951e-01,4.489482172092e-01,5.689723011810e-01,6.889963851527e-01
2.230537695326e-01,5.228795341603e-01,8.227052987879e-01,4.490451954694e-01,5.689842541484e-01,6.889233128274e-01
2.237270709117e-01,5.230656056037e-01,8.224041402958e-01,4.491420297554e-01,5.689961817400e-01,6.888503337246e-01
2.243980583354e-01,5.232507719711e-01,8.221034856068e-01,4.492387203826e-01,5.690080840271e-01,6.887774476715e-01
2.250667425239e-01,5.234350388055e-01,8.218033350872e-01,4.493352676655e-01,5.690199610805e-01,6.887046544956e-01
2.257331341391e-01,5.236184116103e-01,8.215036890815e-01,4.494316719176e-01,5.690318129712e-01,6.886319540248e-01
2.263972437856e-01,5.238008958495e-01,8.212045479133e-01,4.495279334517e-01,5.690436397696e-01,6.885593460875e-01
2.270590820109e-01,5.239824969481e-01,8.209059118854e-01,4.496240525795e-01,5.690554415459e-01,6.884868305124e-01
2.277186593051e-01,5.241632202925e-01,8.206077812798e-01,4.497200296119e-01,5.690672183702e-01,6.884144071286e-01
2.283759861023e-01,5.243430712303e-01,8.203101563583e-01,4.498158648589e-01,5.690789703123e-01,6.883420757657e-01
2.290310727797e-01,5.245220550713e-01,8.200130373629e-01,4.499115586296e-01,5.690906974417e-01,6.882698362538e-01
2.296839296589e-01,5.247001770873e-01,8.197164245158e-01,4.500071112323e-01,5.691023998277e-01,6.881976884230e-01
2.303345670056e-01,5.248774425127e-01,8.194203180198e-01,4.501025229742e-01,5.691140775392e-01,6.881256321043e-01
2.309829950302e-01,5.250538565444e-01,8.191247180587e-01,4.501977941619e-01,5.691257306453e-01,6.880536671287e-01
2.316292238881e-01,5.252294243427e-01,8.188296247973e-01,4.502929251010e-01,5.691373592144e-01,6.879817933278e-01
2.322732636797e-01,5.254041510309e-01,8.185350383821e-01,4.503879160961e-01,5.691489633148e-01,6.879100105336e-01
2.329151244511e-01,5.255780416961e-01,8.182409589411e-01,4.504827674511e-01,5.691605430147e-01,6.878383185784e-01
