# File: Run/ephem_molinya.dat
#
# Ephemeris generated from specified elements
# Propagator: SGP4 (improved,WGS84)
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
57040.58263889,3.49651603,0.69380785,1.83604281
57040.58333333,3.48086815,0.70465699,1.80313054
57040.58402778,3.46491460,0.71544431,1.77005989
57040.58472222,3.44865053,0.72616758,1.73683056
57040.58541667,3.43207097,0.73682446,1.70344230
57040.58611111,3.41517080,0.74741258,1.66989487
57040.58680556,3.39794479,0.75792945,1.63618807
57040.58750000,3.38038754,0.76837249,1.60232172
57040.58819444,3.36249353,0.77873905,1.56829571
57040.58888889,3.34425709,0.78902637,1.53410994
57040.58958333,3.32567238,0.79923159,1.49976437
57040.59027778,3.30673342,0.80935174,1.46525899
57040.59097222,3.28743404,0.81938374,1.43059387
57040.59166667,3.26776792,0.82932440,1.39576910
57040.59236111,3.24772855,0.83917040,1.36078487
57040.59305556,3.22730924,0.84891830,1.32564140
57040.59375000,3.20650310,0.85856452,1.29033899
57040.59444444,3.18530306,0.86810535,1.25487803
57040.59513889,3.16370182,0.87753691,1.21925897
57040.59583333,3.14169189,0.88685518,1.18348236
57040.59652778,3.11926554,0.89605599,1.14754885
57040.59722222,3.09641482,0.90513496,1.11145916
57040.59791667,3.07313154,0.91408757,1.07521417
57040.59861111,3.04940726,0.92290909,1.03881484
57040.59930556,3.02523328,0.93159459,1.00226228
57040.60000000,3.00060065,0.94013893,0.96555772
57040.60069444,2.97550011,0.94853676,0.92870255
57040.60138889,2.94992216,0.95678248,0.89169833
57040.60208333,2.92385696,0.96487026,0.85454679
57040.60277778,2.89729438,0.97279399,0.81724985
57040.60347222,2.87022396,0.98054729,0.77980961
57040.60416667,2.84263492,0.98812352,0.74222844
57040.60486111,2.81451613,0.99551569,0.70450891
57040.60555556,2.78585608,1.00271651,0.66665386
57040.60625000,2.75664293,1.00971834,0.62866642
57040.60694444,2.72686441,1.01651318,0.59055002
