# File: Run/ephem_cnofs_tle.dat
#
# Ephemeris generated from TLE input file: ../../samples/cnofs_tle.dat
# Propagator: Kepler with J2
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
55711.44125000,-0.87863653,0.57715134,0.16786543
55711.44472222,-1.01673742,0.24377471,0.21623127
55711.44819444,-1.04017965,-0.11719638,0.24015456
55711.45166667,-0.94828592,-0.46532263,0.23738729
55711.45513889,-0.75364741,-0.76322654,0.20884112
55711.45861111,-0.47948791,-0.98085182,0.15821218
55711.46208333,-0.15606022,-1.09806605,0.09130046
55711.46555556,0.18308631,-1.10566141,0.01521639
55711.46902778,0.50443579,-1.00513970,-0.06238497
55711.47250000,0.77723631,-0.80773304,-0.13397384
55711.47597222,0.97566550,-0.53300538,-0.19270955
55711.47944444,1.08056578,-0.20721219,-0.23291906
55711.48291667,1.08087448,0.13856143,-0.25051727
55711.48638889,0.97478850,0.47057271,-0.24338226
55711.48986111,0.77056801,0.75503089,-0.21167018
55711.49333333,0.48672860,0.96121486,-0.15801636
55711.49680556,0.15124763,1.06499334,-0.08753274
55711.50027778,-0.20059479,1.05235131,-0.00749572
55711.50375000,-0.52990960,0.92220586,0.07334988
55711.50722222,-0.79913889,0.68762421,0.14584955
55711.51069444,-0.97738647,0.37474826,0.20170148
55711.51416667,-1.04491301,0.01933827,0.23464898
55711.51763889,-0.99568997,-0.33836461,0.24131702
55711.52111111,-0.83752142,-0.65922087,0.22151976
55711.52458333,-0.59002152,-0.90999098,0.17804239
55711.52805556,-0.28126224,-1.06659510,0.11604414
55711.53152778,0.05600218,-1.11568948,0.04228062
55711.53500000,0.38786772,-1.05485323,-0.03568871
55711.53847222,0.68225054,-0.89184055,-0.11021238
55711.54194444,0.91125521,-0.64329947,-0.17414920
55711.54541667,1.05305263,-0.33320225,-0.22137339
55711.54888889,1.09340792,0.00893473,-0.24721037
55711.55236111,1.02693915,0.35009464,-0.24882375
55711.55583333,0.85806885,0.65618905,-0.22555065
55711.55930556,0.60147869,0.89497683,-0.17914730
55711.56277778,0.28173421,1.03945041,-0.11386821
55711.56625000,-0.06831671,1.07141658,-0.03627581
55711.56972222,-0.41065120,0.98467492,0.04531152
55711.57319444,-0.70659846,0.78694225,0.12175466
55711.57666667,-0.92214737,0.49970330,0.18430634
55711.58013889,-1.03290814,0.15562453,0.22586279
55711.58361111,-1.02750931,-0.20606872,0.24195839
55711.58708333,-0.90865794,-0.54516754,0.23127547
55711.59055556,-0.69185840,-0.82570601,0.19560546
55711.59402778,-0.40245014,-1.01986276,0.13936405
55711.59750000,-0.07188763,-1.11016364,0.06885192
55711.60097222,0.26595120,-1.09014255,-0.00855261
55711.60444444,0.57797349,-0.96388662,-0.08514541
55711.60791667,0.83446361,-0.74490777,-0.15354075
55711.61138889,1.01112825,-0.45465336,-0.20720855
55711.61486111,1.09073683,-0.12079689,-0.24092982
55711.61833333,1.06447044,0.22469928,-0.25119603
55711.62180556,0.93299325,0.54785216,-0.23656027
55711.62527778,0.70711865,0.81538003,-0.19791669
55711.62875000,0.40778899,0.99791854,-0.13864622
55711.63222222,0.06498365,1.07356878,-0.06453337
55711.63569444,-0.28479538,1.03130872,0.01664719
55711.63916667,-0.60254457,0.87349579,0.09592926
55711.64263889,-0.85187254,0.61658395,0.16428513
55711.64611111,-1.00424026,0.28946641,0.21389467
55711.64958333,-1.04308267,-0.07046633,0.23926581
55711.65305556,-0.96580914,-0.42269563,0.23793869
55711.65652778,-0.78336848,-0.72908366,0.21064209
55711.66000000,-0.51781962,-0.95836597,0.16094882
55711.66347222,-0.19878503,-1.08901097,0.09460095
55711.66694444,0.14033514,-1.11042396,0.01870350
55711.67041667,0.46579534,-1.02285370,-0.05906178
55711.67388889,0.74633588,-0.83646349,-0.13112472
55711.67736111,0.95542042,-0.56994129,-0.19060122
55711.68083333,1.07300891,-0.24885725,-0.23177330
55711.68430556,1.08700073,0.09618595,-0.25050317
55711.68777778,0.99440820,0.43168334,-0.24459772
55711.69125000,0.80219140,0.72376352,-0.21411353
55711.69472222,0.52753257,0.94121540,-0.16155535
55711.69819444,0.19719567,1.05893666,-0.09188443
55711.70166667,-0.15441420,1.06146242,-0.01223379
55711.70513889,-0.48870861,0.94591026,0.06874850
55711.70861111,-0.76769050,0.72346929,0.14192111
55711.71208333,-0.95928164,0.41868224,0.19889534
55711.71555556,-1.04201435,0.06631491,0.23324364
55711.71902778,-1.00792551,-0.29360933,0.24137997
55711.72250000,-0.86303918,-0.62142597,0.22291965
55711.72597222,-0.62560713,-0.88282416,0.18050044
55711.72944444,-0.32286930,-1.05236641,0.11920042
55711.73291667,0.01273974,-1.11529561,0.04575326
55711.73638889,0.34721449,-1.06787579,-0.03226341
55711.73986111,0.64805495,-0.91671936,-0.10716006
55711.74333333,0.88672029,-0.67752653,-0.17175152
55711.74680556,1.04055763,-0.37351409,-0.21986715
55711.75027778,1.09435108,-0.03363912,-0.24678304
55711.75375000,1.04158821,0.30941579,-0.24959946
55711.75722222,0.88543083,0.62160987,-0.22756538
55711.76069444,0.63922893,0.87037627,-0.18231794
55711.76416667,0.32626971,1.02792405,-0.11796684
55711.76763889,-0.02162822,1.07478612,-0.04092522
55711.77111111,-0.36698516,1.00307300,0.04060654
55711.77458333,-0.67098336,0.81861560,0.11753615
55711.77805556,-0.89870044,0.54115101,0.18106598
55711.78152778,-1.02419177,0.20209007,0.22394815
55711.78500000,-1.03418445,-0.15986290,0.24151428
55711.78847222,-0.92950653,-0.50423993,0.23223729
55711.79194444,-0.72411766,-0.79418026,0.19773879
55711.79541667,-0.44231904,-1.00058044,0.14232874
55711.79888889,-0.11505984,-1.10454827,0.07226639
55711.80236111,0.22382519,-1.09825008,-0.00506332
55711.80583333,0.54093138,-0.98455961,-0.08192245
